feature,value,1,2,3,4,5,6,7
mlp_0_0_outputs,0,0.036779556,0.15614435,-0.34256014,-0.13490218,-0.25958985,-0.7069002,-0.5912527
mlp_0_0_outputs,1,-0.19585554,0.03364935,-0.38096178,-0.4074326,-0.693791,-0.837045,0.31935066
mlp_0_0_outputs,10,0.8856012,-0.22835697,0.20411019,-0.51565146,0.2553212,-0.6704486,-0.5363217
mlp_0_0_outputs,11,-0.18532893,0.10722764,-0.13170299,0.31412917,-0.14194176,-0.53710777,-0.12755355
mlp_0_0_outputs,12,3.1342921,1.424112,10.335337,0.8113142,-8.060984,-14.513816,-10.713567
mlp_0_0_outputs,13,1.0295712,0.4222808,-0.25270504,0.780002,-0.5889052,-0.6584161,-0.5838837
mlp_0_0_outputs,14,0.37568542,0.56712234,0.33283627,0.12420283,-0.49576968,-1.5315448,-0.20122808
mlp_0_0_outputs,15,-0.13961716,0.3856613,-0.0016617959,-0.67165905,-0.994208,-0.8252906,-0.6332251
mlp_0_0_outputs,2,0.5350365,0.7883222,0.24412078,-0.052453347,0.15640154,-0.5702662,-0.4576458
mlp_0_0_outputs,3,-0.022160739,0.39234316,-0.18342516,0.2111762,0.36320165,0.5119944,-0.0944589
mlp_0_0_outputs,4,0.23718803,0.13135651,0.39150944,0.18451679,-0.2716229,-0.2562144,-0.42548266
mlp_0_0_outputs,5,1.0615927,-0.21648832,0.12858361,0.35616013,-0.6614902,-0.44124132,-0.6411932
mlp_0_0_outputs,6,0.20305514,0.46061155,0.19458883,0.24163935,-0.58288765,-1.0410092,-1.1027337
mlp_0_0_outputs,7,-0.19609353,-0.31601134,-0.033727113,-0.6375346,-0.44554582,-0.4060858,-0.81094134
mlp_0_0_outputs,8,0.7760043,0.19176482,0.2115361,0.08499725,-0.045611504,-0.19015162,-0.6944451
mlp_0_0_outputs,9,0.23703855,-0.17912865,-0.11797726,-0.07739003,-0.25705865,-0.50091326,-0.10566534
num_attn_0_0_outputs,_,-1.8801788,-0.6674845,-7.39124,-1.3839755,2.796156,4.4373393,3.824199
num_attn_0_1_outputs,_,1.3154963,0.06955779,8.430731,3.061495,-4.0231733,-4.977575,-3.9987273
num_attn_0_2_outputs,_,-1.1297894,-0.29131514,-7.2046785,-0.68363297,2.861226,4.375689,3.640797
num_attn_0_3_outputs,_,0.4939234,0.53777945,0.050603,0.68964577,1.4392518,0.64851457,-2.402504
num_mlp_0_0_outputs,0,2.340281,-1.4823467,-4.0823517,-2.6296134,-1.460764,-0.3530911,-0.6177769
num_mlp_0_0_outputs,1,0.53033704,0.0020398612,-0.09096837,-0.45389175,-0.50865513,0.12289386,-0.117730126
num_mlp_0_0_outputs,10,0.4786119,0.8614171,-0.19380885,0.04324506,-0.16505077,-0.987642,-0.7903329
num_mlp_0_0_outputs,11,0.84877163,-0.02056362,-0.920495,-0.4370294,-0.9377288,-0.19088902,-0.50535303
num_mlp_0_0_outputs,12,-2.1200528,10.418974,-7.964096,-4.6731977,-2.994514,-1.5369581,-1.4063369
num_mlp_0_0_outputs,13,-0.013952355,0.22749306,-0.2127018,0.13611758,-0.64241844,0.13885325,-0.41724062
num_mlp_0_0_outputs,14,0.08732305,-0.16461726,-0.2789247,0.013408981,-0.37033716,0.1102412,-0.48734826
num_mlp_0_0_outputs,15,-0.37657568,0.32376212,-0.07485886,-0.26116106,-1.0241542,-0.65945274,0.13167849
num_mlp_0_0_outputs,2,1.1948057,1.8278311,-2.9009087,-3.4946744,-1.8365874,-0.74483496,-0.8803042
num_mlp_0_0_outputs,3,-0.42372727,-0.10398518,-0.2402256,-0.48678732,-0.35715297,-0.47852176,-0.1181855
num_mlp_0_0_outputs,4,0.47210714,0.009529276,-1.6380587,-0.943333,-0.8252636,0.0634216,-0.5513619
num_mlp_0_0_outputs,5,0.34106368,0.5725953,0.024046388,-0.15387955,-1.1686889,-0.7793268,-0.30004555
num_mlp_0_0_outputs,6,-0.19956355,0.10995559,-0.8982052,0.094401866,-0.23230435,-0.14730704,-0.32811865
num_mlp_0_0_outputs,7,7.6610675,-3.1015623,-24.367842,-7.8100133,-2.9257345,-1.5129545,-1.7800193
num_mlp_0_0_outputs,8,0.7435481,0.46027103,0.25818053,-0.34235248,-0.13214867,-0.85806614,-1.1284679
num_mlp_0_0_outputs,9,-1.7007871,-4.5888877,21.296253,5.400326,-4.909309,-12.315231,-9.047241
ones,_,0.619446,1.0230107,8.89817,1.2638737,-3.6282976,-3.9719858,-2.6307087
positions,0,-0.044266727,0.5817135,-0.4761253,-0.1952696,0.33926156,0.4873709,0.06744001
positions,1,0.67758673,-0.06575605,4.7656603,0.6694117,-3.3676114,-3.8644083,-2.6020386
positions,10,0.6334885,0.29265434,5.158453,1.2241895,-2.7844338,-3.5399966,-2.4091108
positions,11,0.13815059,0.048251815,4.9779654,0.9996942,-3.0996113,-3.1376967,-6.4398007
positions,12,0.40033787,-0.3111933,4.790004,0.85413027,-3.2559807,-4.024138,-1.8059719
positions,13,0.8421022,0.3407675,5.2321706,1.3462912,-2.7428496,-2.9062603,-5.872594
positions,14,0.010492624,0.08961218,4.8128114,0.8590552,-3.090701,-3.3320954,-2.7963765
positions,15,0.22296448,-0.062340494,4.7455115,0.8348777,-3.0423877,-3.9391866,-6.6239967
positions,2,0.80902565,0.46148142,5.302838,1.2040771,-2.8815832,-2.9791093,-4.0443377
positions,3,1.1020408,0.49027234,5.5313363,1.4435495,-2.6800275,-2.8412018,-4.3859234
positions,4,0.9313649,0.7252916,5.326233,1.3129598,-2.8058212,-3.6439447,-1.9583218
positions,5,1.153388,0.9196531,5.5341234,1.4520895,-2.8000202,-3.0472143,-2.0005844
positions,6,1.0363541,0.90242106,5.5984836,1.5498942,-2.4469905,-3.219209,-2.3531687
positions,7,1.1822778,1.1133337,5.962094,1.9124035,-2.1596227,-3.2877064,-2.1746995
positions,8,0.65539795,0.65886337,5.182265,1.1423013,-2.8948479,-3.413473,-3.0583494
positions,9,0.73428357,0.49790105,5.408769,1.3696458,-2.666745,-3.1591587,-2.660357
tokens,0,1.4472358,0.17317012,4.438016,0.05497781,-3.4424398,-5.61132,-1.6096762
tokens,1,0.54279375,0.0030445687,4.2178035,-0.34966135,-3.4291701,-2.4397144,-1.4122293
tokens,10,0.6965017,0.35504508,4.5483174,0.11127658,-3.4373116,-1.844357,-1.1547515
tokens,11,1.3966643,0.28690967,4.4911656,0.05416113,-3.478051,-4.9001193,-1.2032596
tokens,12,0.24605629,0.37934908,3.9443645,1.081155,0.22840434,-3.162236,-2.4809685
tokens,13,0.88865304,-0.17347579,4.220497,-0.2705743,-3.4234366,-2.523758,-1.1662902
tokens,2,1.3826773,0.08945393,4.3495297,-0.21967332,-4.1492796,-1.8024229,-0.5917709
tokens,3,0.59810096,0.16446269,4.0025244,1.1270635,0.37037218,-2.153382,-2.4499924
tokens,4,1.0398108,0.598086,3.5708883,-0.52975297,-3.6188319,-6.0218325,-0.8261307
tokens,5,-0.13126932,0.18807359,3.3533156,0.57581407,-0.45799232,-1.9558514,-9.357575
tokens,6,1.0096977,-0.14373982,4.331259,-0.16338478,-3.4455168,-2.26444,-1.4529507
tokens,7,1.1870898,-0.11289385,4.1938086,-0.34520698,-4.0710664,-2.0200374,-1.823746
tokens,8,0.46250293,0.72242284,3.56366,0.6817199,-0.1582209,-2.2239475,-9.557266
tokens,9,1.3545276,0.298453,4.7917666,0.3567407,-3.148801,-4.56091,-1.0452753
tokens,<pad>,-0.5520117,0.36092198,0.17911606,-0.9009651,-1.3322641,0.17144327,-0.6743034
tokens,<s>,1.082717,0.7818952,0.6836811,-0.4177343,-0.6139436,-0.42940918,0.3501799
