feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,-0.2424305,0.07961444,0.25968158,-0.93273675,-1.6055142,-2.6220915
attn_0_0_outputs,1,0.036475994,0.15980163,0.6083879,-0.6948764,-0.9282291,-1.92021
attn_0_0_outputs,2,1.0251489,0.801977,0.41360605,-1.5966779,-2.5244808,-1.202284
attn_0_0_outputs,3,0.3841498,0.39491743,0.7268108,-0.4485922,-1.0171047,-2.011779
attn_0_0_outputs,4,0.07627799,0.22197767,0.4274251,-0.8575755,-1.2030667,-2.1787694
attn_0_0_outputs,5,0.07622801,0.30808654,0.802707,-0.3600776,-0.4642088,-0.81641924
attn_0_0_outputs,<pad>,0.45196322,-0.068934664,-0.41958478,-0.08636871,0.2478225,0.3554505
attn_0_0_outputs,<s>,0.7412437,0.84280735,0.12135566,-1.4697025,-1.7709539,-1.6675668
attn_0_0_outputs,_,0.4193956,-0.19268121,0.31466565,0.07035381,-1.0382389,-0.29383427
attn_0_0_outputs,_,0.29923892,0.6997438,-0.5046657,0.31322226,-1.3040789,-0.05994457
attn_0_0_outputs,_,0.27505326,0.0870696,1.4295367,-1.4993682,-0.5597124,0.06947771
attn_0_0_outputs,_,0.37061545,0.23631682,1.2276579,-1.6444871,-0.6300507,-0.49675
attn_0_0_outputs,_,-0.0689915,-0.044178814,0.7048698,0.2815328,-1.5687788,-0.3656003
attn_0_0_outputs,_,0.6657046,0.357215,1.451732,-1.6944292,0.3621377,-0.20880283
attn_0_0_outputs,_,0.5259041,1.0229595,-0.18440624,0.8404949,-0.4303739,-0.14740577
attn_0_0_outputs,_,-0.3123981,0.4120574,-1.1721826,1.055437,-0.8708004,-0.61279637
attn_0_1_outputs,0,-0.0030698644,0.86713755,0.33591515,-0.12178637,-0.5349193,-2.062109
attn_0_1_outputs,1,-0.23480603,0.49465156,-0.21614572,-0.79237306,-1.0884229,-2.3523974
attn_0_1_outputs,2,0.66508615,0.9744081,-0.18053345,-1.3194605,-2.028947,-0.9287228
attn_0_1_outputs,3,-0.23021564,0.5578765,-0.15454274,-0.61521024,-0.9188043,-2.277576
attn_0_1_outputs,4,-0.16942644,0.68407226,-0.050486743,-0.6867811,-1.0201405,-2.2695882
attn_0_1_outputs,5,0.43046272,1.1420858,0.8543972,0.5422776,0.40801078,-0.44309518
attn_0_1_outputs,<pad>,-0.18926525,0.1897014,-0.5833151,1.1635762,0.30086258,1.0207292
attn_0_1_outputs,<s>,0.18981051,0.98473066,0.1808414,0.0234382,0.9264706,-2.0174026
attn_0_1_outputs,_,-0.092620745,-0.39062515,-0.13617557,0.24250035,-1.0677218,-0.51267093
attn_0_1_outputs,_,0.048585378,0.8278646,-0.9226084,1.0814478,-1.78085,-1.2194932
attn_0_1_outputs,_,0.14294092,0.22012055,0.43526566,-1.5872916,-0.48190933,-0.19634391
attn_0_1_outputs,_,0.34798992,0.40988463,1.9443573,-2.2427964,-0.4465643,-0.8769471
attn_0_1_outputs,_,0.179102,-0.100054294,0.23836473,0.80587894,-2.2981625,-0.26620474
attn_0_1_outputs,_,0.008158056,0.11200497,0.43578205,-1.8279953,0.6701152,-0.6978705
attn_0_1_outputs,_,-0.41354463,0.76220304,-0.8419927,1.4033303,-1.5643238,0.021783188
attn_0_1_outputs,_,0.27904493,1.1966407,-1.0901631,1.9603615,-0.021850262,-0.104185306
attn_1_0_outputs,0,-0.663273,0.4126496,0.10297816,0.7543405,0.7886603,0.06122076
attn_1_0_outputs,1,0.08715869,0.52076226,-0.031183256,-0.45857945,-0.8816777,-0.23796682
attn_1_0_outputs,10,0.4274723,0.67399824,0.46060616,-0.43735355,-1.4088727,-1.0660955
attn_1_0_outputs,11,0.16240367,0.58677197,0.92094326,1.1021171,0.727319,0.6499582
attn_1_0_outputs,12,0.665264,0.92841566,0.98302555,0.8950906,-0.6401388,-8.547621
attn_1_0_outputs,13,0.15243988,0.22118898,-0.22367857,-0.64724565,-0.9356713,0.8182038
attn_1_0_outputs,14,0.16703546,0.5733443,0.3852701,0.3000351,-0.41890293,-1.0315968
attn_1_0_outputs,15,0.5066554,0.5645733,0.45133305,0.23164089,-0.07785117,-0.43136123
attn_1_0_outputs,2,0.9630888,0.92732257,0.14138423,-1.2288797,-4.381184,-4.160439
attn_1_0_outputs,3,0.05098623,0.41622207,0.029697165,0.029704291,-0.6997661,-1.1575743
attn_1_0_outputs,4,-0.14267494,-0.4380085,-0.4509867,0.29675227,0.84512246,-0.94927454
attn_1_0_outputs,5,-1.151589,-0.14521226,0.63166,-0.62123674,0.4820588,0.48093146
attn_1_0_outputs,6,0.21254764,0.28092524,0.41789037,0.14219736,-0.004950272,-0.67763704
attn_1_0_outputs,7,-0.114627786,-0.7102512,1.1714083,-0.46560955,-0.0975383,-0.5940807
attn_1_0_outputs,8,-0.3692953,0.063888215,0.7927018,1.1313314,-0.64633155,-1.5577236
attn_1_0_outputs,9,0.85883826,0.8779202,-0.16964152,-1.5169477,-1.9426206,-1.4301159
attn_1_1_outputs,0,-0.4084931,0.18285689,-0.0051372503,0.22048005,-0.19513826,-0.41077897
attn_1_1_outputs,1,0.29938984,0.6252544,0.2992569,-0.33357933,-0.51602274,0.1713201
attn_1_1_outputs,10,0.45718923,0.68781847,0.41485223,-0.6293358,-1.8916966,-1.5687197
attn_1_1_outputs,11,-0.10357036,0.33996397,0.43060517,0.17711769,-0.27322802,-0.5310631
attn_1_1_outputs,12,1.4807187,1.1939354,0.4013756,-2.6047087,-3.3195028,-9.59462
attn_1_1_outputs,13,0.22704408,0.61254036,0.31716046,-0.09676419,-0.6253284,0.9845078
attn_1_1_outputs,14,0.021576092,0.39526165,0.22728623,-0.081828915,-0.6950581,-1.1837887
attn_1_1_outputs,15,-0.58462167,-0.063508086,0.22588539,0.74092686,0.8863276,-0.32206455
attn_1_1_outputs,2,0.35337737,0.66470057,0.7049091,0.05104951,-0.16316302,-2.371771
attn_1_1_outputs,3,0.2094499,0.31194925,0.28077483,-0.35756984,-0.56160396,-0.8459057
attn_1_1_outputs,4,0.2053827,0.045607727,0.2530854,0.55069226,0.9223682,-0.45957264
attn_1_1_outputs,5,-0.06717658,0.24044874,0.813704,-1.2448808,1.4328017,-0.50162446
attn_1_1_outputs,6,0.10920942,0.6523655,-0.03499569,-0.2079584,-1.1522825,-0.13154803
attn_1_1_outputs,7,-0.39443097,-0.14445207,0.8552392,-1.061793,2.1706152,-0.6474597
attn_1_1_outputs,8,-0.02936599,0.3703706,0.7159061,-0.061422855,-0.3787251,0.3878549
attn_1_1_outputs,9,0.14009272,0.6821738,-0.25840077,-0.8823714,-2.3688233,-0.8778071
attn_2_0_outputs,0,-2.2628968,-0.88994706,1.5048511,4.501316,9.496614,3.1237135
attn_2_0_outputs,1,-0.17795926,0.05396792,-0.06920563,-0.008787948,-0.9235304,-0.7896862
attn_2_0_outputs,10,0.06737111,0.8705586,1.3672415,-0.34121776,0.43980834,-0.17541653
attn_2_0_outputs,11,1.3013256,0.91640854,0.89934534,-0.16084327,-1.8909408,-0.46611112
attn_2_0_outputs,12,0.60581714,0.5127632,0.038650297,-0.7164202,-1.2735504,-1.1662439
attn_2_0_outputs,13,-1.1881505,0.018583214,0.9076416,1.0327333,1.6995753,0.7117357
attn_2_0_outputs,14,0.6699319,-0.8393307,-0.44681117,0.8338584,1.2014301,0.58310825
attn_2_0_outputs,15,2.260715,2.1058388,0.07548878,-2.3609247,-4.896924,-6.183529
attn_2_0_outputs,2,0.16349013,-0.20504123,-0.1223454,0.11343344,0.54907477,0.3215106
attn_2_0_outputs,3,0.2040015,0.36171097,0.28692105,0.014657947,-0.74597055,-0.5753349
attn_2_0_outputs,4,2.1972172,-1.2840191,-0.28260934,-0.8490636,-0.23883173,-0.2170755
attn_2_0_outputs,5,-0.47864494,0.2137225,0.764114,-0.97714347,1.2404485,-0.59058136
attn_2_0_outputs,6,-0.34748748,0.9000522,-0.07619219,0.39886752,-1.8668832,-1.1388726
attn_2_0_outputs,7,2.5206325,3.3612292,0.078146994,-5.1198254,-12.299597,-10.410725
attn_2_0_outputs,8,0.06617032,0.8263236,0.52115947,-0.4591003,-1.3550816,-0.48136353
attn_2_0_outputs,9,2.280099,2.4987385,-1.1448467,-6.311895,-8.017888,-8.060136
attn_2_1_outputs,0,-0.30260012,0.56741387,0.39074868,0.043193184,0.1344694,0.48005724
attn_2_1_outputs,1,0.42402163,0.30124113,-0.19729677,0.26434362,-0.28694952,-0.44454777
