feature,value,1,2,3,4,5,6,7,8,9
mlp_0_0_outputs,0,0.572805,0.27922097,0.41039398,0.101424,0.07510763,-0.09229805,-0.54378086,-0.30851814,-0.35113344
mlp_0_0_outputs,1,0.10487256,0.45468733,0.3009728,-0.42672744,-0.11650676,-0.22711508,0.033527307,-0.6852556,0.026031671
mlp_0_0_outputs,10,0.020941267,0.63931185,0.15196016,-0.2030679,-0.35412824,0.0078119887,-0.08429905,-0.37476787,-1.1208954
mlp_0_0_outputs,11,0.5937592,0.8014966,-0.21041241,-0.023316551,-0.7236676,-0.028323216,-0.36802855,-0.36509478,-0.49301833
mlp_0_0_outputs,12,0.48184636,0.23608476,0.6330692,-0.13910243,-0.94560516,0.30131397,-0.4185436,-0.23966676,-0.1712929
mlp_0_0_outputs,13,0.67357117,0.27671182,0.6910441,-0.4604175,-0.8106211,0.2505234,-0.57206446,0.17499292,-0.205865
mlp_0_0_outputs,14,0.3952688,-0.08264123,0.15999131,-0.44928646,-0.2923123,0.21919066,-0.58482534,-0.08033868,-0.037819948
mlp_0_0_outputs,15,0.11435839,0.51738423,0.52192885,-0.09652133,-0.37725317,-0.12525757,-0.7794742,-0.27468088,-0.53576
mlp_0_0_outputs,2,0.9517113,0.14915518,0.26895362,0.18972166,-0.6956259,-0.4221867,-0.4860381,0.15826842,-0.22239502
mlp_0_0_outputs,3,0.3775579,0.29218125,0.72397804,-0.19133897,-0.08927466,0.16865991,0.41625595,-0.39085108,-0.3950333
mlp_0_0_outputs,4,0.9743358,0.7621568,-0.26766735,0.5835962,-0.17882578,-0.25766924,-0.4522989,-0.39411318,-0.6691195
mlp_0_0_outputs,5,0.5028562,0.47793797,0.24301939,-1.0379542,-0.05360473,-0.060029875,-0.8442469,-0.31961527,-0.47356406
mlp_0_0_outputs,6,-0.33652946,-0.16170405,0.0019028311,-0.49170345,-0.20987302,-0.4583459,-0.84452635,-0.5175346,-0.30801746
