feature,value,0,1,2,3,4
attn_0_0_outputs,0,2.4424193,-2.6242907,-1.8346102,0.42772117,0.5121461
attn_0_0_outputs,1,-2.5749304,-1.2901535,-1.1587825,0.8882574,0.6806641
attn_0_0_outputs,2,-4.06583,-2.4214363,-0.78329223,1.465931,1.4067155
attn_0_0_outputs,3,-3.7566524,-1.3963559,-1.0944359,1.2396781,0.9485632
attn_0_0_outputs,4,-2.8408654,-0.93375087,-0.62543523,1.0197862,1.6723175
attn_0_0_outputs,</s>,-1.804327,-1.0628046,-0.80997634,0.52498794,1.3146393
attn_0_0_outputs,<pad>,-1.6870143,0.44743204,-0.1694416,-0.028349103,0.4414741
attn_0_0_outputs,<s>,-2.7218864,0.60336983,1.0649207,-2.5254586,3.9524095
attn_0_0_outputs,_,0.8222871,0.44454128,-0.7483365,-0.8091352,-0.15828246
attn_0_0_outputs,_,1.3604568,0.59246814,0.11592258,-0.49881887,-0.7152358
attn_0_0_outputs,_,0.6053747,0.52976155,-0.22990708,-0.3516501,-0.6112006
attn_0_0_outputs,_,1.3517803,0.017745597,-0.7361413,-1.0735372,-1.2214812
attn_0_0_outputs,_,1.0135874,0.13641083,-0.4033363,-0.66276145,-1.5670054
attn_0_0_outputs,_,1.3499964,0.84087944,0.8238463,-0.2122949,-1.8740661
attn_0_0_outputs,_,0.9303332,0.5700007,0.12878622,0.5447426,-2.3522317
attn_0_0_outputs,_,0.8570751,0.28193152,0.9772085,0.6455979,-1.9522303
attn_0_1_outputs,0,-1.6884882,-0.87082916,-1.3093688,0.6460004,1.3090649
attn_0_1_outputs,1,-1.247191,-0.07035125,-1.4835958,0.7726546,1.179735
attn_0_1_outputs,2,-6.985595,-5.5017495,0.26842242,1.8248293,2.212139
attn_0_1_outputs,3,-1.6756796,-0.68027353,-1.0533633,0.64745265,0.7566569
attn_0_1_outputs,4,-1.5994458,-0.90044385,-1.2825032,0.5470388,1.1646329
attn_0_1_outputs,</s>,-1.269124,-0.67740726,-0.73304725,0.8277354,1.5015051
attn_0_1_outputs,<pad>,-0.50391823,0.31691486,-0.6223776,0.6761906,0.3631787
