feature,value,0,1,2,3,4
attn_0_0_outputs,0,3.2523851,-0.42786315,-2.5160966,-1.8351868,-1.5982091
attn_0_0_outputs,1,0.42498457,2.7816262,-1.7414409,-0.6196827,-1.5939304
attn_0_0_outputs,2,-2.6439166,-0.2768247,3.9353523,-1.392008,-2.236812
attn_0_0_outputs,3,-1.8616712,0.2680141,-2.096536,4.455573,-2.9412203
attn_0_0_outputs,4,-2.2144892,-1.8835343,-2.8176067,-0.3337432,4.1683464
attn_0_0_outputs,</s>,1.963338,0.13900895,1.1291645,-2.454692,-0.7634535
attn_0_0_outputs,<pad>,-0.028697416,0.29866913,-0.45156506,-0.5119788,-0.26112214
attn_0_0_outputs,<s>,0.6309468,-0.95390356,-0.93380076,-0.33551162,1.2927632
attn_0_1_outputs,0,3.4096947,-1.658856,-2.7172718,-3.6974556,-0.6608025
attn_0_1_outputs,1,-0.23353992,4.2856984,-3.1697001,-1.3732648,-0.6318231
attn_0_1_outputs,2,-0.48328266,-2.5148942,5.0951705,-1.6435498,-1.7989203
attn_0_1_outputs,3,-2.406628,-1.5078738,-3.4512408,6.118664,-1.2307332
attn_0_1_outputs,4,-0.42190912,-1.8703747,-3.8202999,-2.5781527,3.4192996
attn_0_1_outputs,</s>,1.326055,-0.939202,-1.1443012,0.23213507,-1.7052872
attn_0_1_outputs,<pad>,0.10367254,-0.13453394,-0.5531242,0.07835946,0.29942152
attn_0_1_outputs,<s>,-0.65803224,0.52569056,-0.32583135,-0.46167594,-0.29341188
attn_0_2_outputs,0,2.3092723,-0.39889202,-1.6170841,-1.8199259,-0.053059768
attn_0_2_outputs,1,0.7141932,0.9596944,-1.248104,-0.9196893,-0.29374945
attn_0_2_outputs,2,-0.80368495,-0.81548965,2.7594497,-1.3011984,-0.9727822
attn_0_2_outputs,3,-1.1078528,-0.58694315,-1.6731844,3.5990653,-0.3324559
attn_0_2_outputs,4,-0.24659516,-0.79504186,-1.6541631,-1.4110618,1.9135234
attn_0_2_outputs,</s>,1.2962793,-0.57041943,-0.33477938,0.374954,-1.3315679
attn_0_2_outputs,<pad>,0.22857775,-0.011680154,-0.32749397,-0.19164608,0.43376595
attn_0_2_outputs,<s>,-0.34770155,0.35129768,-0.41259748,-0.13662958,-0.2673137
attn_0_3_outputs,0,-0.5112379,2.5385978,-1.273507,1.9190606,-2.2017617
attn_0_3_outputs,1,1.0587593,0.41095287,-0.1635323,-0.3521327,-1.4072845
attn_0_3_outputs,2,0.7046718,-0.22906561,2.0633035,-0.7200581,-1.1900054
attn_0_3_outputs,3,1.9213053,-0.85854286,-1.0850633,0.79946995,-0.09288096
attn_0_3_outputs,4,0.630048,-1.6755238,-0.46606007,-2.9239252,2.03169
attn_0_3_outputs,</s>,-1.1417373,-0.2747988,-1.8445396,2.4624252,1.5060878
attn_0_3_outputs,<pad>,0.3388739,-0.1902363,-0.17889944,-0.2727785,-0.43988895
attn_0_3_outputs,<s>,-0.71482867,0.29881635,-0.47752526,-0.693705,-0.5110406
attn_1_0_outputs,0,0.24492204,2.6630774,-1.7910042,1.8390093,-0.64005864
attn_1_0_outputs,1,1.9886085,-0.40294626,-0.2948387,0.2885808,0.75768507
attn_1_0_outputs,2,1.2853986,-0.8080329,-0.90343815,-0.05112541,0.25138304
attn_1_0_outputs,3,1.6299583,-0.75835365,-0.8663173,0.06394084,-0.37511128
