feature,value,0,1,2,3,4
attn_0_0_outputs,0,0.6771889,0.6692657,-0.679625,-1.7712858,-0.9686064
attn_0_0_outputs,1,0.88596725,3.8108175,0.11654436,-1.506737,-3.8190463
attn_0_0_outputs,2,-0.7466089,-2.154159,0.08003279,0.44185305,1.1748121
attn_0_0_outputs,3,-0.9357975,-1.7922579,-2.19265,2.365315,2.7043736
attn_0_0_outputs,4,-3.4079409,-3.1639707,0.20461985,1.2322013,2.8391848
attn_0_0_outputs,</s>,-0.010875907,-0.121929474,-0.28514436,-0.16704467,0.35211173
attn_0_0_outputs,<pad>,-0.34500104,0.09391538,-0.40869266,0.6573298,0.4567373
attn_0_0_outputs,<s>,-1.282412,-1.8964915,0.60458183,-0.2413309,1.7141978
attn_0_1_outputs,0,1.0355515,0.45785248,0.25697234,-1.2072877,-2.5782
attn_0_1_outputs,1,0.49041662,3.4689713,0.8496497,-1.6973119,-4.449558
attn_0_1_outputs,2,-0.9882111,0.1416549,1.7580638,-0.34223738,-2.7713535
attn_0_1_outputs,3,-1.4656069,0.010273681,0.6338493,0.7399128,-1.1251761
attn_0_1_outputs,4,-3.018945,-1.7489946,-0.71606296,1.2789181,2.678076
attn_0_1_outputs,</s>,-4.5921984,-4.468926,-2.1343164,2.2468565,9.015958
attn_0_1_outputs,<pad>,0.35204226,-0.3800464,-0.3748494,-0.10717073,-0.11937245
attn_0_1_outputs,<s>,-0.39024168,-0.8937031,-2.7259374,3.5833259,3.9577513
attn_0_2_outputs,0,1.7783017,0.6707066,-0.036572944,-0.83792007,-3.2909434
attn_0_2_outputs,1,-0.63660514,2.8764849,-1.6296372,-1.2501233,-0.20829718
attn_0_2_outputs,2,-2.0246475,-0.6797975,1.0362517,0.09178009,-0.071614824
attn_0_2_outputs,3,-1.5567511,-0.05141013,0.084931634,1.3899652,1.2159549
attn_0_2_outputs,4,-3.5702221,-2.5767515,0.27869555,0.85927165,2.9161031
attn_0_2_outputs,</s>,0.09784512,-0.19277237,-0.10022218,0.062004726,0.45835173
attn_0_2_outputs,<pad>,0.15489292,-0.34238148,0.3452033,0.08898865,0.56616074
attn_0_2_outputs,<s>,-0.57019466,-1.4736186,-0.8227271,0.42539912,3.760945
attn_0_3_outputs,0,1.1102135,0.48570997,-0.115794,-1.5763791,-2.8781536
attn_0_3_outputs,1,0.62388897,3.596994,0.24209903,-2.184849,-4.0751815
attn_0_3_outputs,2,-0.53927636,0.4336298,1.9785819,-0.7677994,-3.0515254
attn_0_3_outputs,3,-0.7628293,0.43293282,0.43291268,0.28392977,-1.0556928
attn_0_3_outputs,4,-2.593856,-1.5887606,-1.050522,0.7926061,1.9425293
attn_0_3_outputs,</s>,-4.8368,-5.2251763,-1.8540237,1.2314521,8.614912
attn_0_3_outputs,<pad>,0.21255915,0.36527836,0.28100398,0.5888945,0.47521868
attn_0_3_outputs,<s>,-1.4946455,-5.423864,-2.3929162,3.9783058,5.4920945
attn_1_0_outputs,0,1.840481,0.10677852,0.111285746,-1.4859687,-1.2916135
attn_1_0_outputs,1,0.24641241,3.2279825,0.6756869,-1.9470824,-3.6598496
attn_1_0_outputs,2,-1.4369283,-1.464501,1.4981401,-0.15499018,-0.7280207
attn_1_0_outputs,3,-1.0991364,-0.33201867,0.3073966,0.7610254,0.09659872
attn_1_0_outputs,4,-2.7016714,-2.6543903,-1.6613868,1.2868392,4.869126
attn_1_0_outputs,</s>,-0.7711258,0.33957464,0.2666014,-1.6598847,0.92577773
attn_1_0_outputs,<pad>,0.663411,0.009239463,0.92647326,0.6272009,0.47889385
attn_1_0_outputs,<s>,-2.1158347,-0.44125676,-0.19984575,0.7009869,2.3131287
attn_1_1_outputs,0,-0.03212965,0.12139972,0.41610745,-0.2661355,-0.32315925
attn_1_1_outputs,1,-0.35362354,0.8520855,-0.15196295,-0.8360781,-0.8814063
attn_1_1_outputs,2,-0.77049035,-0.11419864,0.39095786,-0.03974132,0.20050292
attn_1_1_outputs,3,-0.75259805,-0.11607492,0.446056,0.57358253,0.7905773
attn_1_1_outputs,4,-1.4721957,-0.39084005,0.4000419,0.89511585,1.7465138
attn_1_1_outputs,</s>,-1.0125794,-0.30311617,0.09512853,0.11770121,1.0917082
attn_1_1_outputs,<pad>,-0.18643928,0.0125506455,0.15346959,0.2546353,0.54477745
attn_1_1_outputs,<s>,-1.3927786,-0.94781834,0.21164563,-0.43726888,1.54233
attn_1_2_outputs,0,1.7621226,0.29234847,0.13916191,-1.0500627,-0.9323205
attn_1_2_outputs,1,0.6307526,3.615004,0.22112525,-2.359808,-3.530667
attn_1_2_outputs,2,-0.5858777,-0.41060054,1.8916146,-0.044195123,-1.5776604
attn_1_2_outputs,3,-1.5273603,-0.5421253,-0.24383871,0.78371024,0.86627257
attn_1_2_outputs,4,-3.0683587,-2.4401643,-1.9334247,1.5199912,4.8005524
attn_1_2_outputs,</s>,-1.7528323,-1.8168879,-1.5760701,1.7576165,2.9426677
attn_1_2_outputs,<pad>,-0.25002486,0.59697735,-0.3546965,0.06469911,0.46448267
attn_1_2_outputs,<s>,-2.5287127,-0.37858802,-0.6804525,0.84880906,2.4948735
attn_1_3_outputs,0,1.573896,0.95094275,0.17386763,-2.013535,-2.50521
attn_1_3_outputs,1,-0.30528516,4.1545815,0.69438744,-1.5948291,-3.218313
attn_1_3_outputs,2,-1.7966222,-0.92541826,2.154297,-0.465308,-1.8439941
attn_1_3_outputs,3,-1.9158202,-0.21467492,0.5909964,0.99169225,0.18960452
attn_1_3_outputs,4,-2.9037097,-1.6986136,-1.4270321,1.4250741,4.017962
attn_1_3_outputs,</s>,-0.46697763,-3.212924,-2.2942905,1.3714701,4.150181
attn_1_3_outputs,<pad>,0.056198224,0.7746693,-0.18758482,0.015945325,0.4210768
attn_1_3_outputs,<s>,-0.7710826,-1.0794787,-0.9765182,2.6356971,0.49857494
attn_2_0_outputs,0,0.55019987,0.4125828,0.43201485,-0.3871455,-1.860638
attn_2_0_outputs,1,-0.34137493,1.955093,0.3191486,-0.92177695,-2.3534667
attn_2_0_outputs,2,-1.9475749,-1.2937677,1.3072884,0.67533046,-0.17995714
attn_2_0_outputs,3,0.1587313,0.46201646,-0.12692837,1.1674532,0.5458581
attn_2_0_outputs,4,-1.3411694,-2.6685712,-2.1906004,0.8382583,3.7015429
attn_2_0_outputs,</s>,-1.213443,-0.6320986,0.6561475,0.5454842,0.8120105
attn_2_0_outputs,<pad>,0.2402112,-0.34613574,-0.2575515,-0.688432,0.22735348
attn_2_0_outputs,<s>,-1.1450678,-0.45785007,-0.039703354,0.93124866,1.2926723
attn_2_1_outputs,0,10.127552,-6.9501157,-2.3730557,-3.0917034,-2.0133128
attn_2_1_outputs,1,-1.0362886,3.49201,-1.2545998,0.06716863,-1.8945794
attn_2_1_outputs,2,-1.605054,-0.097395055,0.5266807,0.48186737,-0.6969039
attn_2_1_outputs,3,-1.0965214,-0.23551731,-0.031409048,2.3028607,0.53544354
attn_2_1_outputs,4,-8.64842,-2.4695604,-1.3474288,2.235026,6.7083836
attn_2_1_outputs,</s>,-2.6882973,0.24075091,0.65030277,1.1503158,-0.040686682
attn_2_1_outputs,<pad>,-0.71806985,-0.31201327,-0.011600694,0.23372997,0.025469279
attn_2_1_outputs,<s>,-2.9549453,2.7465732,3.1988754,0.31414258,-6.16258
attn_2_2_outputs,0,3.5129285,-0.002134391,-1.7058929,-1.9545271,-0.92967397
attn_2_2_outputs,1,-1.0756414,7.0718627,-3.325968,-2.5544221,-1.0212897
attn_2_2_outputs,2,0.23652586,0.40561426,4.0026455,-2.7172823,-6.851824
attn_2_2_outputs,3,-9.283357,-2.3337152,0.038709145,5.1876645,0.41151133
attn_2_2_outputs,4,-1.208744,-1.6530781,-2.13249,-6.552213,9.824155
attn_2_2_outputs,</s>,-0.58967066,-1.3882529,-0.60078925,0.4015948,0.94175094
attn_2_2_outputs,<pad>,-0.10998219,-0.030848801,0.021583777,0.29243276,-0.039532717
attn_2_2_outputs,<s>,0.84935236,-2.188414,-0.69712716,1.274449,1.4710776
attn_2_3_outputs,0,-0.36052305,-0.3111779,0.11312599,-0.29652935,-0.074249655
attn_2_3_outputs,1,-0.51264477,0.22489536,0.23308563,-0.09617374,0.051908396
attn_2_3_outputs,2,-0.7144676,-0.48517615,0.27907327,0.20859885,0.5883613
attn_2_3_outputs,3,-0.82422245,-0.39097968,0.18089454,0.32650214,0.50261533
attn_2_3_outputs,4,-1.1666453,-0.74866045,-0.103182994,0.60934216,1.4420217
attn_2_3_outputs,</s>,-1.1384888,-0.7397749,-0.11715384,0.25759494,1.0544453
attn_2_3_outputs,<pad>,0.0009287759,0.5602607,0.3293052,0.7793806,0.31469917
attn_2_3_outputs,<s>,-1.0750884,-0.79089475,0.20241733,0.33851084,1.123224
mlp_0_0_outputs,0,-0.47219217,0.42083672,-0.33170214,0.14179075,0.14904979
mlp_0_0_outputs,1,-2.3433843,0.70668644,1.263541,0.46124592,-1.1579456
mlp_0_0_outputs,2,0.36979225,0.12461959,-0.040613748,0.3520161,0.17577294
mlp_0_0_outputs,3,0.23161168,-0.21693282,0.39448148,0.35275248,1.3825289
mlp_0_0_outputs,4,3.232604,2.958639,0.43561888,-4.6046376,-7.3000875
mlp_0_0_outputs,5,-2.9602876,-2.0374453,-2.0334647,0.8965932,4.475757
mlp_0_0_outputs,6,-0.053042922,-0.38996387,0.013139075,-0.22564377,0.23092996
mlp_0_0_outputs,7,-5.3689203,-2.9789064,1.4247084,2.7483335,2.556252
mlp_0_1_outputs,0,6.1045475,1.729449,1.585791,-7.6643367,-12.417798
mlp_0_1_outputs,1,-1.1206553,5.0539446,-0.7249915,0.6237565,-1.857177
mlp_0_1_outputs,2,-0.6026258,-0.13003659,-0.16309719,0.18562376,-0.1882094
mlp_0_1_outputs,3,-6.663316,-3.9261248,-0.96201456,1.6741363,5.1562495
mlp_0_1_outputs,4,0.33219042,0.45502138,-0.16229388,0.9870026,0.90889573
mlp_0_1_outputs,5,-0.9311909,-0.26212475,0.019063786,1.4014508,0.52726126
mlp_0_1_outputs,6,0.94410855,-0.10131826,-0.3873125,-0.301343,-0.32376167
mlp_0_1_outputs,7,-1.4333751,1.4978739,1.5970625,-0.36770397,-3.0485787
mlp_1_0_outputs,0,2.9295797,1.8389714,0.50463897,-3.8194456,-6.580535
mlp_1_0_outputs,1,0.11679236,0.51201093,-0.2707507,0.12183732,-2.0500774
mlp_1_0_outputs,2,-1.7436212,1.0025872,-0.16596828,0.37410972,0.5049604
mlp_1_0_outputs,3,-0.012124289,-0.52450347,-0.23647462,0.42483717,1.1314744
mlp_1_0_outputs,4,-2.0176566,-0.6745446,-0.5387079,1.1884059,1.7273192
mlp_1_0_outputs,5,-3.2550535,-0.23023783,0.31062934,1.1478318,0.7796389
mlp_1_0_outputs,6,-3.6831563,-1.950642,-0.15068498,1.634763,3.1251168
mlp_1_0_outputs,7,0.64952904,1.0330948,-0.2984177,-0.39234176,-0.44257525
mlp_1_1_outputs,0,-0.28593776,0.98084766,0.59022313,-1.0675445,-1.1756079
mlp_1_1_outputs,1,3.1340597,0.16390541,0.089632206,-3.3481286,-1.1697011
mlp_1_1_outputs,2,-0.13198236,0.93942714,1.2374529,-0.033058453,-4.19914
mlp_1_1_outputs,3,-1.2655987,1.0957493,1.1445739,0.86220914,0.019784845
mlp_1_1_outputs,4,-1.7012825,0.8812915,0.714068,0.27816868,-0.3002452
mlp_1_1_outputs,5,-3.0493782,0.056959666,0.671891,0.67678523,-0.110963985
mlp_1_1_outputs,6,-0.89440835,-4.6092067,-1.5623112,0.043029875,3.9130259
mlp_1_1_outputs,7,-3.4167628,-0.9579778,0.74068105,1.4113079,1.8602872
mlp_2_0_outputs,0,-2.0770974,-1.3823664,0.3184945,0.32217687,2.3691032
mlp_2_0_outputs,1,-0.42271662,0.14715025,0.630866,-0.1715538,-0.6592226
mlp_2_0_outputs,2,0.90399134,0.91208607,0.64905626,-0.5560765,-2.8549025
mlp_2_0_outputs,3,-0.17741518,-0.31260958,-0.10188022,0.099880345,0.31246382
mlp_2_0_outputs,4,0.27651247,0.37221575,0.48736003,-0.04760907,-0.67352366
mlp_2_0_outputs,5,-3.5281928,-0.037701838,1.2612233,1.024691,1.1622766
mlp_2_0_outputs,6,-0.55707395,0.13299592,-0.17091183,0.19536106,1.3989742
mlp_2_0_outputs,7,0.43015772,-0.4494996,0.12230544,-0.23901801,0.21754701
mlp_2_1_outputs,0,0.09406252,-0.25766346,0.10867461,-0.11563142,0.07318964
mlp_2_1_outputs,1,-0.11757535,-0.39082557,-0.17246534,0.19269161,-0.16442327
mlp_2_1_outputs,2,0.24975355,0.1533,-0.0065298034,-0.39479247,-0.03714623
mlp_2_1_outputs,3,-5.9220724,-1.4805968,1.2531413,1.0661223,2.2430146
mlp_2_1_outputs,4,2.8337548,2.5127444,0.47539937,-3.8841474,-7.472192
mlp_2_1_outputs,5,0.8135746,0.30090207,0.5436386,-0.31738257,-0.31858027
mlp_2_1_outputs,6,-3.2757936,-5.02115,-1.6930069,2.0077765,2.768919
mlp_2_1_outputs,7,-0.26443765,-0.049068406,-0.75070626,0.26331338,0.20870163
num_attn_0_0_outputs,_,3.2482576,2.9057546,0.15261172,-4.6997476,-5.236077
num_attn_0_1_outputs,_,3.975397,-1.3260304,-2.6921878,-4.5699196,4.539943
num_attn_0_2_outputs,_,3.7498162,-4.9083066,-3.3355935,1.4685014,2.2523751
num_attn_0_3_outputs,_,3.591034,0.28617302,0.30052307,0.17612857,-5.0663934
num_attn_1_0_outputs,_,-0.0010144442,0.01563252,0.30348805,0.01542014,0.100124136
num_attn_1_1_outputs,_,2.2246037,0.64731354,-0.5842099,-1.1887761,-1.9281515
num_attn_1_2_outputs,_,1.8462294,1.6552416,0.18164216,-1.3894544,-3.2993593
num_attn_1_3_outputs,_,0.48113054,0.52005976,0.52709335,-0.36753303,-1.3253881
num_attn_2_0_outputs,_,1.9736351,2.199892,0.60868216,-0.8655416,-2.1131682
num_attn_2_1_outputs,_,0.4872923,0.886637,0.39304745,0.17259282,-0.454392
num_attn_2_2_outputs,_,0.19140482,0.17639217,0.7987076,-0.054324605,-0.6412458
num_attn_2_3_outputs,_,-0.7804655,-0.50685406,1.2555804,5.1820097,-4.4066505
num_mlp_0_0_outputs,0,0.09182489,-0.33381253,0.40147433,0.8551256,0.03852082
num_mlp_0_0_outputs,1,0.21783762,-0.5521342,0.10585851,0.566284,0.48567134
num_mlp_0_0_outputs,2,-0.19391811,-0.4261492,-0.6410459,0.4859135,0.103712924
num_mlp_0_0_outputs,3,0.18372455,0.2927202,0.37827802,0.4731529,0.7052685
num_mlp_0_0_outputs,4,-4.655135,-1.6786555,1.7866412,2.0552258,0.7284787
num_mlp_0_0_outputs,5,-0.46805215,-1.2878609,0.796186,0.97000754,1.2508003
num_mlp_0_0_outputs,6,1.0910828,-3.9116845,-0.39298907,0.5208748,2.3715992
num_mlp_0_0_outputs,7,-0.74084264,2.0909367,-0.3209285,-0.41864413,0.32234955
num_mlp_0_1_outputs,0,-0.70903456,0.026807413,-0.1736828,0.27229038,0.30469945
num_mlp_0_1_outputs,1,-0.5990088,0.102386184,-0.2849524,0.5484939,0.21405122
num_mlp_0_1_outputs,2,-0.79535717,2.8648107,-0.67492,-1.5369232,-0.8162607
