epoch,epoch_loss,split,loss,acc,sample_fn
0,2.1070206,train,1.9544259,0.2314085472173034,gumbel_soft
0,2.1070206,val,1.9433209,0.23799582463465555,gumbel_soft
0,2.1070206,test,1.9344169,0.2407200357781753,gumbel_soft
1,1.8733191,train,1.7992975,0.2598495179553982,gumbel_soft
1,1.8733191,val,1.7930509,0.2612059437553727,gumbel_soft
1,1.8733191,test,1.772471,0.2697338998211091,gumbel_soft
2,1.7557172,train,1.7052182,0.2844368457118045,gumbel_soft
2,1.7557172,val,1.6753017,0.28840722092594867,gumbel_soft
2,1.7557172,test,1.6787773,0.2879584078711986,gumbel_soft
3,1.6788102,train,1.6383234,0.3065681545256559,gumbel_soft
3,1.6788102,val,1.5885515,0.3205206926194277,gumbel_soft
3,1.6788102,test,1.6149722,0.31663685152057247,gumbel_soft
4,1.581827,train,1.5279559,0.3436798219725496,gumbel_soft
4,1.581827,val,1.5179868,0.34090629988947563,gumbel_soft
4,1.581827,test,1.550534,0.3369856887298748,gumbel_soft
5,1.422701,train,1.3213086,0.4032891656998636,gumbel_soft
5,1.422701,val,1.2958473,0.4208522657497237,gumbel_soft
5,1.422701,test,1.3529463,0.39546064400715564,gumbel_soft
6,1.2517122,train,1.175946,0.450618414714403,gumbel_soft
6,1.2517122,val,1.163204,0.44903598182488025,gumbel_soft
6,1.2517122,test,1.1434261,0.4623211091234347,gumbel_soft
7,1.123812,train,1.0727801,0.5081720298793023,gumbel_soft
7,1.123812,val,1.064212,0.5050349993859757,gumbel_soft
7,1.123812,test,1.0581161,0.526554114490161,gumbel_soft
8,1.0105124,train,0.95299214,0.5528485070525737,gumbel_soft
8,1.0105124,val,0.9827242,0.5507798108805109,gumbel_soft
8,1.0105124,test,0.90927833,0.5773703041144902,gumbel_soft
9,0.92909795,train,0.89748824,0.578026093505119,gumbel_soft
9,0.92909795,val,0.8985376,0.5756477956527078,gumbel_soft
9,0.92909795,test,0.9081217,0.5766435599284436,gumbel_soft
10,0.8791091,train,0.8349888,0.5858080098783525,gumbel_soft
10,0.8791091,val,0.8595354,0.5876826722338204,gumbel_soft
10,0.8791091,test,0.81091136,0.6042039355992844,gumbel_soft
11,0.8283583,train,0.7866762,0.6130888169723121,gumbel_soft
11,0.8283583,val,0.8091539,0.6043227311801548,gumbel_soft
11,0.8283583,test,0.76889026,0.6288573345259392,gumbel_soft
12,0.7853442,train,0.7720601,0.623028230648674,gumbel_soft
12,0.7853442,val,0.83416736,0.5926562691882599,gumbel_soft
12,0.7853442,test,0.7418225,0.634559481216458,gumbel_soft
13,0.76401395,train,0.7469459,0.6275467627363579,gumbel_soft
13,0.76401395,val,0.760282,0.6202259609480535,gumbel_soft
13,0.76401395,test,0.7218671,0.6350626118067979,gumbel_soft
14,0.72837085,train,0.71117663,0.6475070050816525,gumbel_soft
14,0.72837085,val,0.73974055,0.6271644357116541,gumbel_soft
14,0.72837085,test,0.6787856,0.6744186046511628,gumbel_soft
15,0.7055049,train,0.7058317,0.6407088532019838,gumbel_soft
15,0.7055049,val,0.7150846,0.6412255925334643,gumbel_soft
