feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.0015937042,0.2569965,-0.0475931,0.29336235,0.18522526,0.031739604,-0.03200082
attn_0_0_outputs,1,-0.20278785,-0.11937747,-0.34538823,0.121988334,-0.037891246,-0.14604975,-0.015752172
attn_0_0_outputs,2,-0.1432676,-0.09379352,-0.15119739,0.08523607,-0.04525067,-0.265356,-0.29759976
attn_0_0_outputs,3,-0.22644518,-0.081164084,-0.2684351,0.11916693,-0.052900545,-0.2566346,-0.13411276
attn_0_0_outputs,4,-0.38844424,-0.22417381,-0.35341018,-0.08880913,-0.17753473,-0.34954712,-0.4615396
attn_0_0_outputs,5,0.074065216,0.17735949,0.092405476,0.29648966,0.191509,0.03244012,0.023409734
attn_0_0_outputs,<pad>,-0.65458834,-0.1009665,-0.6427227,0.05308419,-0.076176636,0.1113725,0.18271674
attn_0_0_outputs,<s>,0.0140142515,-0.015852816,0.40132132,-0.13018,0.5948542,-0.109005466,0.92923826
attn_0_0_outputs,_,-0.09508838,-0.017148143,0.4334765,0.2583834,0.84791046,-0.4375303,-1.1344597
attn_0_0_outputs,_,-0.78181267,-0.09072084,-0.4395096,-0.23019725,0.21275847,0.4423289,0.14444579
attn_0_0_outputs,_,0.03559131,-0.2143647,-0.18418555,0.1766666,0.70225745,0.7095377,0.21136548
attn_0_0_outputs,_,-0.12649278,-0.0019722478,0.43223926,0.4341351,-0.19363864,-0.009413803,-0.016915105
attn_0_0_outputs,_,-0.6806412,-0.13642448,0.22509775,-0.40294117,-0.01895431,-0.18439294,-0.06884572
attn_0_0_outputs,_,-0.3910252,-0.25053677,-0.15054981,-0.1944061,-0.24906816,-0.373775,-0.35650527
attn_0_0_outputs,_,-0.20567748,-0.02867009,-0.6869311,-0.15689377,-0.04429957,-0.16357441,0.7778392
attn_0_0_outputs,_,-0.45176432,-0.5353076,-0.29027477,-0.10841685,-0.025004633,-0.24084692,0.30976933
attn_0_1_outputs,0,0.83140904,0.010623637,0.37565467,0.1521179,0.27665377,0.12248081,0.04063294
attn_0_1_outputs,1,-0.35929686,-0.13321416,-0.13416511,-0.39721832,-0.24498717,-0.31979382,-0.39341888
attn_0_1_outputs,2,-0.20478433,-0.4282634,0.30905265,-0.21263708,-0.1073523,-0.21396892,-0.7942394
attn_0_1_outputs,3,0.21951629,-0.019974582,0.31176555,0.51846844,0.23023191,0.0067713815,0.15553437
attn_0_1_outputs,4,-0.1043966,-0.30545133,0.090533406,-0.15536287,0.27715448,-0.20234439,-0.6661124
attn_0_1_outputs,5,-0.036050133,-0.2982387,0.13986218,-0.0057949764,0.10524378,0.5127856,-0.0056376695
attn_0_1_outputs,<pad>,-0.0064191413,-0.47511718,-0.07272032,-0.16051444,-0.20988433,-0.13698319,0.6861261
attn_0_1_outputs,<s>,0.020496065,-0.28849068,0.31263492,-0.26482952,0.050179627,-0.17134194,0.8455413
attn_0_1_outputs,_,0.23328847,0.53431374,0.52131295,0.48077843,0.91764706,0.4684431,-0.9056053
attn_0_1_outputs,_,-0.16925901,0.18999343,0.35292175,0.040347457,0.60183,-0.014709694,-0.009472982
attn_0_1_outputs,_,0.330759,-0.16830488,0.31645164,-0.27424344,0.34971872,0.35533774,0.06580332
attn_0_1_outputs,_,0.297331,-0.11875273,-0.20335211,-0.20337614,0.033864867,0.0022890621,-0.37344283
attn_0_1_outputs,_,-0.15600012,0.057496447,-0.39375815,0.23903003,0.35414192,0.02592933,0.30796984
attn_0_1_outputs,_,0.21885419,-0.47954515,0.09352747,0.18952164,0.11688933,-0.012361468,-0.14366266
attn_0_1_outputs,_,-0.5430843,-0.31074125,-0.31018695,0.037956767,-0.013193873,-0.52998435,0.2520671
attn_0_1_outputs,_,-0.5768814,-0.3060057,-0.1912525,-0.39961335,0.15436217,0.26771444,0.34583887
attn_0_2_outputs,0,-0.22171882,-0.059552737,-0.28767857,-0.07454676,0.0710572,0.060054388,-0.43141094
attn_0_2_outputs,1,-0.082649164,-0.25088486,-0.14497483,-0.052079704,0.10947467,-0.029342754,-0.33886468
attn_0_2_outputs,2,0.017371807,0.008803964,-0.25780678,-0.070786506,0.12999444,0.05843851,-0.5074391
attn_0_2_outputs,3,0.1752122,0.19041772,-0.020046042,0.025734263,0.34197265,0.24451503,-0.18119374
attn_0_2_outputs,4,0.08244839,0.00079339027,-0.16311295,-0.05057829,0.041396577,0.015921362,-0.48879412
attn_0_2_outputs,5,0.27081922,0.22396308,0.1077899,0.22711073,0.4107772,0.34489143,-0.2193915
attn_0_2_outputs,<pad>,-0.4703116,-0.120917805,-0.4961676,-0.10404841,0.13236238,-0.3113338,0.1633128
attn_0_2_outputs,<s>,0.2219704,0.14922684,-0.062910676,-0.049083196,0.24501008,0.18200308,-0.008412
attn_0_2_outputs,_,0.43240526,0.33663645,0.14879426,0.49793896,0.7435357,0.68564284,-0.66464806
attn_0_2_outputs,_,-0.051724676,0.36701012,0.6706274,0.26638415,0.6378577,0.1784277,-0.0105958
attn_0_2_outputs,_,-0.1321383,0.27022016,0.21641642,0.28421408,0.46003062,0.27414834,-0.64895916
attn_0_2_outputs,_,0.5545977,-0.39429834,0.39240813,0.13538575,-0.03535094,0.049852546,0.1747496
attn_0_2_outputs,_,-0.12122955,-0.31359446,-0.15317747,-0.46908545,0.18817082,0.31359956,0.4272664
attn_0_2_outputs,_,-0.20149724,-0.8207076,-0.28083846,-0.1540472,0.037308756,-0.6637855,0.16949661
attn_0_2_outputs,_,-0.3551521,-0.03795626,-0.93653405,-0.29302138,-0.23089278,-0.20118809,0.8532215
attn_0_2_outputs,_,-0.40891036,-0.9253349,-0.2043619,0.039103508,-0.6322297,-0.20994675,0.8504334
attn_0_3_outputs,0,-0.41559646,-0.11519792,-0.023342026,-0.24718347,-0.07395375,-0.4009012,-0.66963637
attn_0_3_outputs,1,-0.046480376,-0.28920066,0.09586316,-0.0030229678,0.020781493,-0.21686517,-0.5386388
attn_0_3_outputs,2,0.09194855,-0.02035967,0.18068774,0.0593174,0.17136787,-0.16183975,-0.39174303
attn_0_3_outputs,3,0.12681726,0.02193379,0.21806012,0.07077704,0.17762972,-0.09842837,-0.21720944
attn_0_3_outputs,4,0.10455304,0.065389834,0.14435855,0.104490556,0.2509954,-0.15582918,-0.28161168
attn_0_3_outputs,5,0.4430406,0.34003943,0.54223883,0.41549778,0.5073486,0.24894604,-0.11267585
attn_0_3_outputs,<pad>,-0.2565125,-0.07860265,-0.46347076,-0.088810116,-0.2770939,-0.2961823,0.25883186
attn_0_3_outputs,<s>,-0.32165208,-0.2520146,-0.23347174,-0.1858098,-0.04397642,-0.40502813,1.159383
attn_0_3_outputs,_,0.48245367,-0.0018528805,0.36478996,0.19014467,0.65041924,0.15989667,0.10443381
attn_0_3_outputs,_,0.44582596,-0.33858058,0.18221119,0.19212432,0.39924484,0.7345269,-0.37928665
attn_0_3_outputs,_,0.26506507,0.039531372,0.5803729,0.25772494,0.8182103,0.22173083,-0.48478588
attn_0_3_outputs,_,0.11384322,0.17919324,-0.0054497556,-0.049360562,0.22916144,0.100922495,0.18949692
attn_0_3_outputs,_,0.088403,-0.14188814,0.20341824,-0.08070178,0.17114712,0.12760313,0.245328
attn_0_3_outputs,_,-0.20197693,-0.35320827,0.16376597,-0.057605572,-0.007873438,0.030437537,0.3221965
attn_0_3_outputs,_,-0.028557599,-0.369608,-0.7676697,-0.31567943,-0.12539269,-0.30575874,0.60640776
attn_0_3_outputs,_,-0.036693495,-0.22705764,-0.404492,0.22249514,0.0006614335,-0.16755787,0.77731067
attn_1_0_outputs,0,-0.07185556,0.07256776,0.07943721,0.18483931,-0.09836349,0.08398508,-0.2436219
attn_1_0_outputs,1,0.08332973,0.19208749,0.21663077,0.30823472,0.0014764427,0.3256817,-0.07744691
attn_1_0_outputs,2,-0.2615646,-0.14768738,-0.12766273,-0.028038224,-0.3424145,-0.074410215,-0.5213137
attn_1_0_outputs,3,0.010336439,0.22724108,0.1947023,0.25861156,0.008865385,0.25919777,-0.09935922
attn_1_0_outputs,4,0.09494609,0.23993249,0.25389916,0.32675186,0.098356105,0.28547016,-0.122883804
attn_1_0_outputs,5,-0.059074063,0.09442615,0.06993376,0.16023499,-0.088750094,0.11167218,-0.25524336
attn_1_0_outputs,<pad>,0.09270595,-0.27991307,0.09248935,0.09277913,-0.4422669,-0.3106618,-0.556531
attn_1_0_outputs,<s>,-0.09439518,-0.03355256,0.005379152,0.068671875,-0.1711528,0.09853428,-0.41055158
