feature,value,0,1,2,3,4
attn_0_0_outputs,0,0.70614064,-0.14694701,-0.1880537,0.6426373,-0.35839602
attn_0_0_outputs,1,0.21328905,0.26955748,-0.24747285,0.65845484,-0.251203
attn_0_0_outputs,2,0.33941373,0.25400916,0.49815622,0.93858653,0.0071178987
attn_0_0_outputs,3,-0.28004813,-0.2820073,-0.5479834,0.7216032,-0.5779015
attn_0_0_outputs,4,0.0060525946,-0.21785255,-0.32829088,0.56073076,0.13612866
attn_0_0_outputs,</s>,0.74914867,-1.063301,0.33999112,-0.26366934,0.32736644
attn_0_0_outputs,<pad>,0.26880893,-0.44864172,-0.106063746,-0.0683547,-0.09597215
attn_0_0_outputs,<s>,1.1011872,0.155342,0.63020164,-2.3972504,0.90812814
attn_0_0_outputs,_,0.29810274,0.21323524,-0.18726066,-0.18050422,-0.25555158
attn_0_0_outputs,_,-0.049844157,-0.115926675,-0.4217912,-0.24190274,-0.5874864
attn_0_0_outputs,_,0.41667292,-0.17191641,-0.14842673,-0.052664857,-0.16670534
attn_0_0_outputs,_,0.48088443,-0.13493364,0.36661476,0.09997529,0.19874726
attn_0_0_outputs,_,-0.40375295,-0.56344676,-0.02313487,-0.40313584,-0.22116822
attn_0_0_outputs,_,0.45795375,-0.111063465,0.27904984,-0.29972485,0.4073756
attn_0_0_outputs,_,0.04893822,0.35797265,0.43928057,-0.2802612,0.5150703
attn_0_0_outputs,_,0.22343127,-0.15383583,0.8385507,-0.27583638,0.6359262
attn_0_1_outputs,0,0.6084373,-0.5292355,-0.20965952,0.1650287,-0.34801674
attn_0_1_outputs,1,0.2685252,-0.045044485,-0.06523046,0.3309742,-0.11559768
attn_0_1_outputs,2,0.12918155,-0.53047943,0.18927452,0.17297472,-0.34922683
attn_0_1_outputs,3,-0.006101413,-0.65630925,-0.36709028,0.5359952,-0.45477524
attn_0_1_outputs,4,-0.10849527,-0.690285,-0.4513234,-0.042670254,-0.07541909
attn_0_1_outputs,</s>,0.49594828,-0.0850515,-0.026705751,-0.37858033,-0.004518036
attn_0_1_outputs,<pad>,0.44154346,-0.7479115,0.3211789,-0.5795371,-0.014686658
attn_0_1_outputs,<s>,0.12124949,-0.45998716,-0.26139373,-0.28093347,-0.28538498
attn_0_1_outputs,_,0.6061552,-0.3194362,-0.011771477,0.52603465,-0.20965841
attn_0_1_outputs,_,0.4387539,-0.03702467,-0.79780203,0.54724044,-0.17906769
attn_0_1_outputs,_,-0.15549234,-0.41640976,-0.039690893,0.13022174,-0.039704926
attn_0_1_outputs,_,-0.24114032,-0.20691207,0.025615387,-0.039107896,-0.059098933
attn_0_1_outputs,_,0.41294536,-0.17527828,0.24307568,-0.16158137,0.32328165
attn_0_1_outputs,_,-0.077469096,-0.033727355,0.20891713,-0.0723932,0.08543527
attn_0_1_outputs,_,-0.6616969,0.042167697,0.8105455,0.71709806,-0.05796454
attn_0_1_outputs,_,0.6598065,-0.49350974,0.077598356,-0.09553482,0.42829433
attn_0_2_outputs,0,0.036566265,-0.19979501,0.021643154,0.20036867,0.06346658
attn_0_2_outputs,1,-0.41301677,-0.18246445,-0.2869903,0.0117925415,-0.17180353
attn_0_2_outputs,2,-0.0138428,-0.08073283,0.5016952,0.4489199,0.30557474
attn_0_2_outputs,3,-0.04017525,-0.05560972,0.2355997,0.6836718,0.27620158
attn_0_2_outputs,4,0.21521123,0.15078622,0.42651355,0.6316222,0.7161285
attn_0_2_outputs,</s>,-0.34598073,-0.046444632,-0.22774914,0.04332598,0.060530983
attn_0_2_outputs,<pad>,-0.34813088,-0.21521448,-0.3712721,-0.3049281,-0.24052115
attn_0_2_outputs,<s>,-0.17882644,0.12077815,0.06588041,0.29678518,0.3990101
attn_0_2_outputs,_,-0.41232905,-0.03874534,-0.33297935,0.24742873,-0.2508623
attn_0_2_outputs,_,-0.36434764,0.06900041,-0.17423028,0.42940998,0.06048128
attn_0_2_outputs,_,-0.5205174,-0.5291884,0.04535942,-0.33518997,-0.48192734
attn_0_2_outputs,_,-0.09745337,0.10911159,0.24020648,0.43982345,0.46395415
attn_0_2_outputs,_,-0.41778657,-0.10554732,0.02883329,-0.020670554,0.6103278
attn_0_2_outputs,_,-0.62918025,-0.23780705,0.3103295,0.64409965,-0.06214756
attn_0_2_outputs,_,-0.050190613,0.2086062,0.7678474,-0.56576717,0.5004786
attn_0_2_outputs,_,-0.20601484,-0.71570736,0.6482516,-0.11847039,0.9621894
attn_0_3_outputs,0,0.20465681,-0.07391904,-0.55964607,-0.45792058,-0.25344756
attn_0_3_outputs,1,0.72802204,0.20578876,-0.095809914,0.02770242,0.1989617
attn_0_3_outputs,2,0.0011169859,0.08186894,-0.25794417,-0.23522043,-0.08620829
attn_0_3_outputs,3,-0.025444927,0.17099522,-0.41894633,-0.080888435,-0.05234667
attn_0_3_outputs,4,0.16232283,0.22749832,-0.24951664,-0.07006089,0.24860995
attn_0_3_outputs,</s>,-0.07009889,-0.02684051,-0.16707364,0.015517604,0.028380392
attn_0_3_outputs,<pad>,0.19191153,0.031348452,-0.27112174,-0.39157024,0.13742267
attn_0_3_outputs,<s>,0.06852875,0.26382676,-0.23951009,-0.2524648,-0.020718684
attn_0_3_outputs,_,0.39229026,0.85361844,-0.463052,0.15247457,-0.17293541
attn_0_3_outputs,_,-0.044138826,-0.106763996,-0.42022792,-0.373012,-0.27944905
attn_0_3_outputs,_,0.23580486,-0.21045682,-0.24479678,-0.13676502,-0.032051
attn_0_3_outputs,_,0.19773209,0.1886136,0.075504206,-0.25564775,0.20457555
attn_0_3_outputs,_,-0.48587358,-0.34591535,-0.12489387,-0.23981138,0.025907911
attn_0_3_outputs,_,0.09034758,0.59561175,0.022326192,0.16268255,0.111808404
attn_0_3_outputs,_,-0.18526718,0.72539985,0.07995806,-0.44945323,0.48231304
attn_0_3_outputs,_,-0.26855344,0.0855956,0.7388318,-0.24332593,0.7519745
attn_1_0_outputs,0,1.1511159,-0.51787215,-0.6434488,-0.44418055,-0.2504094
attn_1_0_outputs,1,-0.86239034,1.2663434,-1.0413411,-0.75112903,-0.103880405
attn_1_0_outputs,2,-0.27318016,-0.42492744,1.1055696,-0.27142596,-0.10549288
attn_1_0_outputs,3,-0.5990048,-0.6908141,-0.7970341,0.94886714,-0.48412105
attn_1_0_outputs,4,-0.19537874,0.2583847,-0.4600737,-0.16905397,2.1319396
attn_1_0_outputs,</s>,0.19410788,-0.11401065,0.18673877,0.46607798,0.19686891
attn_1_0_outputs,<pad>,0.33202595,-0.15786362,-0.00663198,0.33975014,0.2318998
attn_1_0_outputs,<s>,0.0007104511,-0.28146696,-0.043406427,0.24823235,0.020806292
attn_1_0_outputs,_,-0.36536863,-0.20283799,-0.34661204,0.07384084,0.13526835
attn_1_0_outputs,_,-0.26124597,0.22352839,-0.36439532,0.008883192,-0.4158567
attn_1_0_outputs,_,-0.103203386,0.87483364,-0.13095185,-0.35962,0.8847021
attn_1_0_outputs,_,-0.26530886,-0.072617106,-0.19240698,0.13205765,0.20955941
attn_1_0_outputs,_,-0.10904032,0.39221096,-0.16186835,0.15267491,-0.70291567
attn_1_0_outputs,_,-0.24842605,-0.54870677,-0.6292082,-0.21193318,-0.28893834
attn_1_0_outputs,_,0.04261779,0.3490716,0.016423346,-0.9864313,0.32076454
attn_1_0_outputs,_,-0.6821922,-0.69123137,-0.24815275,-0.23075007,0.06838511
attn_1_1_outputs,0,1.2238618,-0.2664933,-0.4359447,-0.05985724,-0.29026216
attn_1_1_outputs,1,-0.0013348873,1.5293263,-0.3250386,0.11558671,0.15357904
attn_1_1_outputs,2,0.19524243,0.07428153,1.2970856,0.18356113,0.26007044
attn_1_1_outputs,3,-0.48845395,-0.5101592,-0.80789214,0.97839946,-0.3730658
attn_1_1_outputs,4,-0.4439214,-0.34282205,-0.619061,-0.20674409,1.109261
attn_1_1_outputs,</s>,0.001269546,0.053458337,-0.17017603,0.23843412,0.20751195
attn_1_1_outputs,<pad>,0.28463095,0.052032564,-0.33461228,0.068141416,0.5205409
attn_1_1_outputs,<s>,0.13682461,0.18971582,-0.083029285,0.39457494,0.06262531
attn_1_1_outputs,_,0.28790125,0.45543057,0.18837564,0.60748655,0.41835794
attn_1_1_outputs,_,0.7060594,0.28842443,-0.2871519,-0.2410085,0.039323997
attn_1_1_outputs,_,-0.39500472,-0.04189712,-0.14217076,0.124082774,-0.95920354
attn_1_1_outputs,_,-0.53877056,-0.11924725,-0.29741046,-0.023724392,0.23138937
attn_1_1_outputs,_,-0.31690362,0.1848725,0.26045185,0.32715455,0.31787404
attn_1_1_outputs,_,-0.13377862,0.5865491,-0.3079338,-0.08879204,0.13583383
attn_1_1_outputs,_,0.08327997,0.4943094,-0.10615657,-0.5563418,0.3247643
attn_1_1_outputs,_,0.27667177,-1.4694532,0.07005387,0.17629348,0.32786667
attn_1_2_outputs,0,1.1372377,-0.27216342,-0.5341699,-0.12371033,-0.38941628
attn_1_2_outputs,1,-0.54510146,0.6175647,-0.963979,-0.5571625,-0.7569287
attn_1_2_outputs,2,0.22584394,0.04382703,1.0380988,0.21868959,-0.06601601
attn_1_2_outputs,3,-0.34420165,-0.42470592,-0.68459356,0.84833777,-0.5884912
attn_1_2_outputs,4,-0.15700051,-0.2773102,-0.60081685,-0.14462288,0.7835601
attn_1_2_outputs,</s>,0.05125387,-0.08160062,-0.38513288,-0.034584776,-0.4398375
attn_1_2_outputs,<pad>,0.55308783,-0.06796013,-0.44100887,0.45489416,0.6929058
attn_1_2_outputs,<s>,0.36945772,0.39997998,0.049831703,0.30541617,0.26445818
attn_1_2_outputs,_,-0.19992864,0.09380961,-0.14566578,0.34838873,-0.49812928
attn_1_2_outputs,_,0.37957463,-0.7247687,-0.009051187,-0.46186402,-0.11847967
attn_1_2_outputs,_,0.54211843,0.10373553,-0.118595496,0.2623122,-0.16464813
attn_1_2_outputs,_,0.37186468,0.3914789,-0.043272227,0.2980544,-0.36773077
attn_1_2_outputs,_,0.15014738,0.085804746,-0.10854881,-0.328701,-0.13473058
attn_1_2_outputs,_,0.0057682027,0.15991591,-0.39621666,-0.018678099,-0.05365149
attn_1_2_outputs,_,0.20719868,0.53874385,0.09172694,-0.41916388,0.32327774
attn_1_2_outputs,_,-0.089217596,0.25076568,-0.042362794,-0.31870762,0.5983453
attn_1_3_outputs,0,0.9952913,-0.38183412,-0.12959173,-0.024594693,-0.031671397
attn_1_3_outputs,1,-0.29328412,0.98085,-0.114993,-0.01817487,0.030257257
attn_1_3_outputs,2,-0.3324961,-0.43785325,1.0801622,-0.12756597,-0.14660344
attn_1_3_outputs,3,-0.6558237,-0.6507411,-0.51173306,0.93751276,-0.36112592
