feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,6.484647,3.955764,-4.0123262,-11.129906,-19.931639,-16.03122
attn_0_0_outputs,1,-0.06473537,-0.2568837,0.033591084,-0.5483912,-0.64031905,-1.5906979
attn_0_0_outputs,2,-1.2824305,-0.60023934,0.27943462,1.9827023,2.5150733,1.5608065
attn_0_0_outputs,3,0.2631544,-0.123991735,0.34706545,-0.6291115,-0.41525397,-0.7319701
attn_0_0_outputs,4,-2.579975,-0.41051373,0.31608665,4.2767377,2.1618643,1.6432449
attn_0_0_outputs,5,-0.96103674,-1.2707566,0.3016429,1.8119216,4.6017566,2.8971977
attn_0_0_outputs,6,-0.7075021,-0.22464766,-0.035182524,0.45777032,0.8094937,1.3308955
attn_0_0_outputs,7,-0.5598983,-0.5149623,-0.25896075,0.049282245,0.51145005,-1.2830687
attn_0_1_outputs,0,-0.21167146,0.2734944,0.37570706,0.5204077,0.32920524,2.0152833
attn_0_1_outputs,1,-0.13815093,0.15541779,0.18611242,-0.06016842,-0.4023825,-0.7939627
attn_0_1_outputs,2,0.02060601,0.40423515,0.63240623,0.57172865,0.53220296,-0.7568269
attn_0_1_outputs,3,-0.20831564,0.17748548,0.2761833,0.51114154,0.11506957,-0.3258173
attn_0_1_outputs,4,-1.7422798,-0.9210933,0.47230548,1.2719661,2.278466,2.8281717
attn_0_1_outputs,5,-0.79700935,-0.13462053,0.7085374,0.96568066,1.4829872,1.7161064
attn_0_1_outputs,6,-0.48153216,-0.006127914,-0.04361851,0.2049142,0.06691328,0.7662267
attn_0_1_outputs,7,-0.4685032,0.11973301,0.2520798,0.68729687,2.1919167,-2.0987806
attn_1_0_outputs,0,1.2505949,1.2059745,-0.058462203,-2.790733,-3.8650086,-7.691316
attn_1_0_outputs,1,-0.56067336,0.10365771,0.22725189,0.30711702,-0.68616927,-0.8320357
attn_1_0_outputs,2,-1.7958136,-0.65325606,1.5049841,2.3111806,2.688657,-0.13700792
attn_1_0_outputs,3,0.037448615,0.7639803,0.2633788,-0.5483474,-2.904202,-2.2677145
attn_1_0_outputs,4,-1.2272425,-0.24550132,-0.01967789,1.5005202,-0.42761052,1.0017525
attn_1_0_outputs,5,-1.1269013,-0.32923076,0.07600103,1.820363,3.1545768,2.8540924
attn_1_0_outputs,6,-1.2791632,-0.53853035,-0.29137912,1.3546296,1.0825016,4.798652
attn_1_0_outputs,7,-1.5262524,-0.7072719,-0.20754406,1.6434628,4.0529246,-1.891257
attn_1_1_outputs,0,0.5464076,1.775609,1.4680598,-0.51313317,-4.638128,-7.507416
attn_1_1_outputs,1,0.016938347,-0.3952439,-0.9203131,0.67903304,0.5937343,0.15101862
attn_1_1_outputs,2,-0.074907854,-0.22962353,-0.24681172,-0.13947742,0.48437643,0.7275269
attn_1_1_outputs,3,0.12042666,0.037822958,-0.21584351,0.7392157,0.3468316,0.75354326
attn_1_1_outputs,4,-0.09120744,0.20387673,-0.36461103,0.5388998,1.1110648,0.37733766
attn_1_1_outputs,5,-0.1320682,0.9140286,0.22004993,-0.25753084,0.58822876,0.7887881
attn_1_1_outputs,6,-2.0732112,-0.47888756,0.43841976,1.0089147,1.4716437,3.9648793
attn_1_1_outputs,7,-0.9830762,0.20951432,0.12493585,-0.62794554,0.44679892,0.114230774
attn_2_0_outputs,0,1.725047,-3.7397053,2.6492321,1.7949163,1.3011789,-1.6238154
attn_2_0_outputs,1,10.467586,5.7732534,-8.248582,-9.553602,-27.451185,-19.057777
attn_2_0_outputs,2,-12.232101,0.90485716,5.063742,9.164468,6.2029514,7.202595
attn_2_0_outputs,3,0.26745316,-0.70460206,0.48930246,0.5310884,0.31994364,-0.2597798
attn_2_0_outputs,4,-0.08318729,0.53984773,-0.6792885,0.68679184,-0.25384536,-0.6429728
attn_2_0_outputs,5,-1.0248356,0.6035642,-0.33282703,-0.25162524,1.5461597,0.7559704
attn_2_0_outputs,6,-1.1613253,1.6845134,-2.8713193,2.0190804,0.9457157,2.0643902
attn_2_0_outputs,7,-0.93290323,-0.24270542,0.3445804,0.4676309,1.3401769,-0.3368844
attn_2_1_outputs,0,0.15166582,-0.8039481,2.2222354,3.5899322,9.066563,-6.292052
attn_2_1_outputs,1,5.3368416,4.5975657,-4.2944365,-8.201925,-24.730076,-8.005795
attn_2_1_outputs,2,-5.7248096,0.0011826424,1.8655812,3.7529166,4.987393,4.908518
attn_2_1_outputs,3,0.35271278,-0.28167605,-1.1575146,0.31173533,0.29972118,0.4307757
attn_2_1_outputs,4,-0.18716392,-0.52951956,-0.6250221,0.008416714,0.23379895,-0.00782881
attn_2_1_outputs,5,-0.10784707,-0.022884233,-0.91035646,0.1955477,1.6673496,1.0235729
attn_2_1_outputs,6,-0.1571115,1.3963064,-3.6261199,1.5262173,1.2980357,1.5650234
attn_2_1_outputs,7,0.31337452,-0.3709327,0.44750518,0.27448392,0.6440644,0.42804438
mlp_0_0_outputs,0,-0.5849288,-0.034750868,-0.030138636,-0.07745688,0.12162466,-0.7748599
mlp_0_0_outputs,1,1.6007555,2.008427,-0.3816769,0.36523217,-3.4446492,-5.7170067
mlp_0_0_outputs,2,-1.1873462,-0.1878761,0.113083005,0.89126825,3.8374012,1.1756322
mlp_0_0_outputs,3,0.4728821,0.17968875,0.26298094,-0.4220417,0.4443768,-0.27956033
mlp_0_0_outputs,4,-0.12640424,0.37752146,0.094056815,0.09424317,-0.25021031,-0.17999786
mlp_0_0_outputs,5,-0.80860615,0.18012442,0.47240236,1.166519,2.2426748,-0.6951768
mlp_0_0_outputs,6,-0.7303127,0.18984546,0.30338567,0.99730825,3.2213523,1.7770662
mlp_0_0_outputs,7,-0.028890299,0.4314637,-0.1613722,0.47549847,-0.14680403,0.70379543
mlp_1_0_outputs,0,-0.10584611,-0.32498154,0.19039431,0.10282171,-0.030057622,-0.20357749
mlp_1_0_outputs,1,-0.6576403,-0.40113595,-0.21495149,0.40099907,0.60512835,-0.28624767
mlp_1_0_outputs,2,-5.2604747,-3.119408,1.820613,8.066573,14.65807,2.0725858
mlp_1_0_outputs,3,-0.43911663,-0.42913932,-0.18971737,-0.6154587,0.14270043,-0.2773347
mlp_1_0_outputs,4,4.1631837,2.6899593,-0.70834327,-9.1758,-9.991757,-6.6267514
mlp_1_0_outputs,5,-0.9209236,-0.39435732,-0.07776612,0.28941646,-5.713144,6.3925357
mlp_1_0_outputs,6,4.809763,3.2421136,-1.12763,-8.171207,-8.537519,-5.6056876
mlp_1_0_outputs,7,-0.3240456,-0.050398394,0.078351386,-0.35988235,0.0946598,0.06582567
mlp_2_0_outputs,0,-6.9944897,0.888483,8.885553,-0.34554803,-6.388285,-8.806322
mlp_2_0_outputs,1,-4.8238664,4.0035,0.88360095,1.3978461,-0.8933291,-2.4235406
mlp_2_0_outputs,2,-0.2818266,0.19703321,-0.13653207,-0.13662435,-0.17035909,-0.3599256
mlp_2_0_outputs,3,3.7768154,6.119934,5.265436,-8.510496,-16.323673,-15.714211
mlp_2_0_outputs,4,0.22998942,-0.19330685,-0.29474342,0.4823369,0.12467094,0.5180871
mlp_2_0_outputs,5,5.4159884,-3.4733932,-5.8776693,2.0733392,5.148111,4.6755404
mlp_2_0_outputs,6,-0.35438356,-0.28946218,-0.2693863,-0.6083222,-0.7695017,-0.21710248
mlp_2_0_outputs,7,2.3013902,-0.06625285,-3.7941828,4.3911552,2.9261436,1.8354752
num_attn_0_0_outputs,_,1.1865333,-0.62356114,-1.5193554,-1.4743536,-1.9910628,-0.6249937
num_attn_0_1_outputs,_,1.6254622,-0.445289,-1.7945225,-1.9496827,-2.9090464,-3.2609394
num_attn_1_0_outputs,_,-2.0978212,0.050490726,0.58879626,1.1972837,2.3158355,2.1445568
num_attn_1_1_outputs,_,-0.14428258,-0.10556742,0.12691858,-0.17429896,-0.2841806,-0.8581007
num_attn_2_0_outputs,_,-0.5415064,-0.5046327,-0.3389034,-0.14273025,0.2616704,0.3137594
num_attn_2_1_outputs,_,0.89098585,0.23959428,-1.1733083,-3.5082536,-4.9503098,-7.3141875
num_mlp_0_0_outputs,0,2.511758,3.386558,-3.2552285,-16.72525,-18.208208,-9.304062
num_mlp_0_0_outputs,1,-0.39181307,-0.28694686,0.51006144,0.8834154,0.83957034,0.41583383
num_mlp_0_0_outputs,2,-0.3861166,-0.51438063,-0.011194141,0.8079664,0.59674877,0.20646343
num_mlp_0_0_outputs,3,-0.038403995,-0.14940849,0.33537328,0.8184253,0.6704736,0.07675093
num_mlp_0_0_outputs,4,-0.28034842,-0.5321984,0.18190396,0.5555892,0.2295947,0.43730155
num_mlp_0_0_outputs,5,-0.53794384,-0.5822031,0.21788426,0.811423,0.6958763,0.14976783
num_mlp_0_0_outputs,6,-3.979096,-4.070349,3.7064004,4.583783,6.7329154,4.9674497
num_mlp_0_0_outputs,7,-0.78095365,-1.0372319,-0.23822974,0.13292935,0.18557067,0.53202736
num_mlp_1_0_outputs,0,-0.1912182,1.7465235,-2.4724758,-11.959507,-15.284422,-6.2331495
num_mlp_1_0_outputs,1,3.393967,1.1490955,-8.808373,-12.805918,-12.902794,-6.6936793
num_mlp_1_0_outputs,2,-4.180685,-4.4879003,3.130623,3.525328,5.843194,3.4662638
num_mlp_1_0_outputs,3,-1.0488406,-0.9097992,-0.05632236,0.31724557,0.5388814,0.3193565
num_mlp_1_0_outputs,4,-0.48372597,0.34734997,0.16873255,-0.4261347,0.20321423,-0.45013437
num_mlp_1_0_outputs,5,-0.4549948,-0.5627442,0.11127028,-0.34433782,0.19308604,-0.21339615
num_mlp_1_0_outputs,6,0.38783288,0.37529263,0.8709604,0.30836007,0.33988225,-0.04775598
num_mlp_1_0_outputs,7,0.55039144,0.37790516,0.7546546,0.23909429,0.19968814,0.3439057
num_mlp_2_0_outputs,0,-3.0402737,0.69926935,6.906535,0.661124,-0.83379394,-1.1363155
num_mlp_2_0_outputs,1,-1.9223344,-0.26197398,3.066215,0.09236783,-1.5496527,-1.6909673
num_mlp_2_0_outputs,2,-9.542811,-0.7513812,7.925255,0.18948643,-0.34036785,0.22607145
num_mlp_2_0_outputs,3,-3.342543,-0.59467894,4.3838196,0.7758816,-1.5627478,-1.4220942
num_mlp_2_0_outputs,4,3.7013133,-0.4872723,-3.8785377,-0.12404002,-7.6807313,-6.385873
num_mlp_2_0_outputs,5,1.467526,-1.0575371,-3.133855,1.3425174,4.2757616,4.687784
num_mlp_2_0_outputs,6,2.1826944,-0.76098824,-3.1572967,2.327991,3.5760224,-2.7093344
num_mlp_2_0_outputs,7,3.556529,0.41135132,-3.254503,-0.5492381,0.13253473,-0.39443207
num_var0_embeddings,_,-2.2166886,0.16558051,1.4197642,1.0041007,2.2104492,0.8183302
positions,0,-0.09931305,0.1734085,0.14459969,0.23352784,-0.18880959,0.018328834
positions,1,-1.3247043,0.14512622,0.18965301,1.3359752,-0.06066242,-0.9531479
positions,2,0.95130783,-0.32046592,-0.2345662,-1.5346178,0.17846178,0.0073989118
positions,3,-1.2832646,0.21801643,0.47994602,1.7990307,0.14884992,-0.58021706
positions,4,-0.36071038,-0.09908391,-0.20123969,0.9661605,0.36030897,-0.17814319
positions,5,-0.7942138,-0.36282134,0.41648257,1.3729581,2.5926437,1.8351022
positions,6,-0.18983936,-1.1054475,0.24187148,-0.68801904,2.10502,2.1010168
positions,7,-0.946363,-0.51656115,0.41547972,1.4862846,2.5518978,-1.658123
tokens,0,-1.3297927,0.08615224,1.4706271,1.6137022,0.8244529,-0.5561533
tokens,1,0.018560538,0.27314457,-0.2654606,0.48480192,0.5431264,0.2993381
tokens,2,-1.2899193,-0.1183828,0.6181401,1.7037218,1.206593,2.0474365
tokens,3,-0.20065299,-0.009147459,-0.56226057,0.13541502,0.19082867,-0.14101462
tokens,4,-0.14243631,0.025035597,-0.5956098,0.04293178,0.1288167,-0.21572189
tokens,5,-1.556032,-0.20125651,0.5389437,1.6090937,1.0961163,1.2394749
tokens,<pad>,0.2839874,0.012828757,0.82406074,0.027418733,0.09835736,-0.13034141
tokens,<s>,-0.28946778,-0.8817658,0.012418664,0.69370866,-0.22236925,-0.56903225
