feature,value,F,P,T
attn_0_0_outputs,(,-0.07972529,-0.30130428,-0.27212018
attn_0_0_outputs,),0.475787,-0.25625554,0.17398274
attn_0_0_outputs,<pad>,0.40184724,-0.60265255,0.57532245
attn_0_0_outputs,<s>,1.213837,-0.6277654,-0.81339085
attn_0_0_outputs,_,0.14856808,0.43254966,-0.2640132
attn_0_0_outputs,_,-0.70984584,-0.27482843,-0.67123616
attn_0_0_outputs,_,-0.015794327,0.70707506,-0.47020018
attn_0_0_outputs,_,0.5999922,0.07960973,-0.20822658
attn_0_0_outputs,_,0.14482799,0.08445758,-0.5257127
attn_0_0_outputs,_,0.8104436,-0.2658827,-0.3010478
attn_0_0_outputs,_,0.54305416,0.21447538,-0.32831523
attn_0_0_outputs,_,0.20251569,-0.75195414,-0.53222054
attn_0_0_outputs,_,0.026713759,-0.8987513,-0.3738233
attn_0_0_outputs,_,0.14607124,-0.5130085,-0.30029395
attn_0_0_outputs,_,0.36309648,-0.57836324,-0.06515039
attn_0_0_outputs,_,-0.4034674,0.25318617,0.75860816
attn_0_1_outputs,(,0.7315515,-0.9875254,-0.30189645
attn_0_1_outputs,),0.17287195,-0.21800096,0.41353136
attn_0_1_outputs,<pad>,0.5529265,-0.6866314,0.12903354
attn_0_1_outputs,<s>,0.72227305,-0.062479496,0.24420118
attn_0_1_outputs,_,0.31018043,1.0214683,0.25493076
attn_0_1_outputs,_,0.14038216,0.16089083,0.7200369
attn_0_1_outputs,_,-0.114633456,-0.05725324,-0.27042422
attn_0_1_outputs,_,0.24198735,-0.7132536,-0.0060642962
attn_0_1_outputs,_,0.5896548,0.50017977,-0.79375803
attn_0_1_outputs,_,1.4211575,-0.19644171,-0.16913916
attn_0_1_outputs,_,-0.34227893,0.45456398,0.5593814
attn_0_1_outputs,_,0.8042968,-1.0001014,-0.23414995
attn_0_1_outputs,_,0.59459454,-0.26842886,-0.1350383
attn_0_1_outputs,_,0.45853058,-0.31823385,-0.5715188
attn_0_1_outputs,_,-0.004045341,-0.8893394,-0.34193018
attn_0_1_outputs,_,1.080481,-0.5096264,-0.5463495
attn_0_2_outputs,(,1.230551,-0.24625616,0.5801167
attn_0_2_outputs,),-0.8794678,-0.60506344,0.17227414
