epoch,epoch_loss,split,loss,acc,sample_fn
0,1.7684916,train,1.2449443,0.5056408844487272,gumbel_soft
0,1.7684916,val,1.2432178,0.5075010215398984,gumbel_soft
0,1.7684916,test,1.241425,0.511370388375736,gumbel_soft
1,0.9896374,train,0.80267155,0.6825568513310651,gumbel_soft
1,0.9896374,val,0.80031806,0.6780689977234253,gumbel_soft
1,0.9896374,test,0.7982585,0.6850321395775941,gumbel_soft
2,0.7020508,train,0.61772245,0.7599493926462009,gumbel_soft
2,0.7020508,val,0.61735284,0.7732765162570778,gumbel_soft
2,0.7020508,test,0.6228578,0.7619510614163021,gumbel_soft
3,0.55494297,train,0.50230056,0.8224350528033983,gumbel_soft
3,0.55494297,val,0.5057226,0.8180491506625416,gumbel_soft
3,0.55494297,test,0.49782348,0.828012747798844,gumbel_soft
4,0.45944178,train,0.42025214,0.8519734901374658,gumbel_soft
4,0.45944178,val,0.43212003,0.8426828556418189,gumbel_soft
4,0.45944178,test,0.41144365,0.860530438070545,gumbel_soft
5,0.39031237,train,0.3616843,0.8750745671825733,gumbel_soft
5,0.39031237,val,0.35822788,0.8697682563773277,gumbel_soft
5,0.39031237,test,0.36747873,0.8737103656889753,gumbel_soft
6,0.33660114,train,0.31057844,0.8951995122814608,gumbel_soft
6,0.33660114,val,0.33517233,0.8841865623723075,gumbel_soft
6,0.33660114,test,0.3199566,0.8908334683735754,gumbel_soft
7,0.29031396,train,0.26972368,0.9055110883858745,gumbel_soft
7,0.29031396,val,0.2800185,0.9029828965034149,gumbel_soft
7,0.29031396,test,0.268457,0.9030411062496624,gumbel_soft
8,0.25907943,train,0.23885408,0.9207654034494287,gumbel_soft
8,0.25907943,val,0.23753764,0.9273831066487654,gumbel_soft
8,0.25907943,test,0.26580286,0.9006103818938044,gumbel_soft
9,0.22548544,train,0.2108165,0.9330960294204409,gumbel_soft
9,0.22548544,val,0.23178029,0.9131399217792306,gumbel_soft
9,0.22548544,test,0.22627412,0.9211364986766056,gumbel_soft
10,0.20424506,train,0.18957782,0.9427848466374298,gumbel_soft
10,0.20424506,val,0.2230629,0.9187437977934738,gumbel_soft
10,0.20424506,test,0.19485189,0.9449035812672176,gumbel_soft
11,0.18420497,train,0.1813704,0.944436796528283,gumbel_soft
11,0.18420497,val,0.18402305,0.9324616192866733,gumbel_soft
11,0.18420497,test,0.17018296,0.9484686436558094,gumbel_soft
12,0.1659132,train,0.15892379,0.9511035943020839,gumbel_soft
12,0.1659132,val,0.14823368,0.9581460510186212,gumbel_soft
12,0.1659132,test,0.1585784,0.9524118187219791,gumbel_soft
13,0.15309265,train,0.14156705,0.957468845667237,gumbel_soft
13,0.15309265,val,0.15018019,0.9492732473294029,gumbel_soft
13,0.15309265,test,0.16004504,0.9442013720088587,gumbel_soft
14,0.14206724,train,0.14394613,0.9498449658138147,gumbel_soft
14,0.14206724,val,0.18657258,0.9240558052653085,gumbel_soft
14,0.14206724,test,0.13394989,0.9577594123048668,gumbel_soft
15,0.1319212,train,0.13334653,0.954073170891594,gumbel_soft
15,0.1319212,val,0.14220381,0.951958437919561,gumbel_soft
15,0.1319212,test,0.12022077,0.964673472694863,gumbel_soft
16,0.12493851,train,0.11272704,0.9658859236825372,gumbel_soft
16,0.12493851,val,0.12399533,0.9566867083065788,gumbel_soft
16,0.12493851,test,0.11048624,0.9667260843731432,gumbel_soft
17,0.11336028,train,0.11534208,0.9616708293181774,gumbel_soft
17,0.11336028,val,0.12100544,0.95878816181192,gumbel_soft
17,0.11336028,test,0.118634365,0.9614865229838492,gumbel_soft
18,0.10713367,train,0.10679416,0.9648108451821406,gumbel_soft
18,0.10713367,val,0.11116183,0.9650341486194618,gumbel_soft
18,0.10713367,test,0.10071175,0.9696969696969697,gumbel_soft
19,0.10202046,train,0.104450524,0.9633686667059989,gumbel_soft
19,0.10202046,val,0.12932795,0.9511412060008172,gumbel_soft
19,0.10202046,test,0.10517653,0.9617025873710365,gumbel_soft
20,0.09898136,train,0.09597908,0.9687768359915305,gumbel_soft
20,0.09898136,val,0.09396994,0.9692954293386259,gumbel_soft
20,0.09898136,test,0.09334761,0.9698050018905634,gumbel_soft
21,0.09563419,train,0.08975404,0.9711498751204547,gumbel_soft
21,0.09563419,val,0.08524952,0.9742571945595704,gumbel_soft
21,0.09563419,test,0.08543955,0.9714795008912656,gumbel_soft
22,0.08897364,train,0.08393025,0.9733918071151841,gumbel_soft
22,0.08897364,val,0.10491759,0.9664351176230226,gumbel_soft
22,0.08897364,test,0.0820618,0.9751525954734511,gumbel_soft
23,0.08739725,train,0.086624034,0.9705140055196103,gumbel_soft
