epoch,epoch_loss,split,loss,acc,sample_fn
0,1.429608,train,1.3038143,0.41766855624078575,gumbel_soft
0,1.429608,val,1.3075421,0.41912994980479645,gumbel_soft
0,1.429608,test,1.3223432,0.40473204581556727,gumbel_soft
1,1.2705901,train,1.2551885,0.4293486160426919,gumbel_soft
1,1.2705901,val,1.2658917,0.4186651794013757,gumbel_soft
1,1.2705901,test,1.2961957,0.417440013376808,gumbel_soft
2,1.2375147,train,1.2042317,0.4639008285055753,gumbel_soft
2,1.2375147,val,1.2040048,0.4564045361591374,gumbel_soft
2,1.2375147,test,1.232002,0.44987877267786974,gumbel_soft
3,1.1993895,train,1.1586133,0.4849976120766627,gumbel_soft
3,1.1993895,val,1.1318462,0.49079754601226994,gumbel_soft
3,1.1993895,test,1.1673137,0.47738483404397625,gumbel_soft
4,1.1270502,train,1.0962666,0.5220415706306194,gumbel_soft
4,1.1270502,val,1.1836259,0.4749953522959658,gumbel_soft
4,1.1270502,test,1.1692997,0.4956943399381323,gumbel_soft
5,1.0733533,train,1.0249711,0.560954338752881,gumbel_soft
5,1.0733533,val,1.0315522,0.5751068971927867,gumbel_soft
5,1.0733533,test,1.1781325,0.49811888638073737,gumbel_soft
6,0.99035764,train,0.9629322,0.5722398720903673,gumbel_soft
6,0.99035764,val,0.9562523,0.5716675962074735,gumbel_soft
6,0.99035764,test,0.9893381,0.5568096313017307,gumbel_soft
7,0.9256407,train,0.87398744,0.6161568969455345,gumbel_soft
7,0.9256407,val,0.86893237,0.6212121212121212,gumbel_soft
7,0.9256407,test,0.952466,0.5769584482902768,gumbel_soft
8,0.8480341,train,0.8003782,0.648445773375693,gumbel_soft
8,0.8480341,val,0.79771876,0.6525376464026771,gumbel_soft
8,0.8480341,test,0.80766374,0.6386589750020901,gumbel_soft
9,0.78574365,train,0.73563975,0.6810461180672356,gumbel_soft
9,0.78574365,val,0.73544914,0.6795872838817624,gumbel_soft
9,0.78574365,test,0.75171924,0.6790402140289273,gumbel_soft
10,0.72273785,train,0.6934781,0.7161797379513695,gumbel_soft
10,0.72273785,val,0.68671143,0.7201152630600484,gumbel_soft
10,0.72273785,test,0.71592253,0.7016135774600786,gumbel_soft
11,0.68427277,train,0.65527165,0.710739425652526,gumbel_soft
11,0.68427277,val,0.66024196,0.7111916713143707,gumbel_soft
11,0.68427277,test,0.6736542,0.7002758966641586,gumbel_soft
12,0.63567644,train,0.6306851,0.7269980688967794,gumbel_soft
12,0.63567644,val,0.63332695,0.7239263803680982,gumbel_soft
12,0.63567644,test,0.64296985,0.7335507064626704,gumbel_soft
13,0.60500777,train,0.58704567,0.7611453726198634,gumbel_soft
13,0.60500777,val,0.5778308,0.7717047778397471,gumbel_soft
13,0.60500777,test,0.5854661,0.7669091213109271,gumbel_soft
14,0.5680986,train,0.5472341,0.7686829045453601,gumbel_soft
14,0.5680986,val,0.5432625,0.7627811860940695,gumbel_soft
14,0.5680986,test,0.5757329,0.7531142881030014,gumbel_soft
15,0.55550563,train,0.55286217,0.7588612720363795,gumbel_soft
15,0.55550563,val,0.5722941,0.7547871351552333,gumbel_soft
15,0.55550563,test,0.55837286,0.7538667335507064,gumbel_soft
16,0.5411145,train,0.5235425,0.7661081002512511,gumbel_soft
16,0.5411145,val,0.5533894,0.7664993493214353,gumbel_soft
16,0.5411145,test,0.5471296,0.7512749770086113,gumbel_soft
17,0.55007696,train,0.5465038,0.7662845989327021,gumbel_soft
17,0.55007696,val,0.56220824,0.7780256553262688,gumbel_soft
