feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,2.2240531,1.4239224,-0.24312256,-2.151618,-4.9230437,-4.3483567
attn_0_0_outputs,1,1.5480369,0.8877534,-0.14703359,-1.9607478,-2.2351637,-1.7992929
attn_0_0_outputs,2,1.5372909,1.0164578,-0.056521818,-1.8417629,-2.9365876,-1.6379387
attn_0_0_outputs,3,1.7062889,1.3011471,-0.026633928,-1.9215697,-4.334167,-2.4500217
attn_0_0_outputs,4,1.4786195,1.1508853,-0.27848554,-1.9954557,-4.4902406,-2.9806726
attn_0_0_outputs,5,2.4414992,1.7819526,0.11964719,-2.3577502,-4.436924,-3.55767
attn_0_0_outputs,6,2.5670872,1.7859629,-0.02991894,-2.563098,-3.5696604,-4.359059
attn_0_0_outputs,7,2.5928457,1.767135,-0.11705469,-2.6100495,-3.260101,-6.1019425
attn_0_1_outputs,0,3.0066419,1.7225738,-0.11683615,-1.6315054,-3.3153224,-4.09794
attn_0_1_outputs,1,1.0669843,0.378883,-0.43873796,-1.5018462,-1.8787913,-0.9608952
attn_0_1_outputs,2,0.9537293,0.46706823,-0.09973216,-0.9937375,-1.4042085,-0.84601945
attn_0_1_outputs,3,1.2927307,0.7895824,-0.15083477,-1.1178674,-1.4548413,-0.99465173
attn_0_1_outputs,4,2.376649,1.6016374,0.14143397,-1.3982021,-2.9713397,-2.8623405
attn_0_1_outputs,5,2.5502973,1.449627,-0.3574051,-2.8794386,-4.058434,-4.4059234
attn_0_1_outputs,6,2.8258364,1.5907258,-0.23455721,-2.50967,-3.5922322,-4.311799
attn_0_1_outputs,7,3.2103138,1.9838648,0.060156707,-2.5698743,-3.7715037,-6.09792
attn_1_0_outputs,0,0.47998276,0.29214504,-0.53159356,0.24103609,-0.68107617,0.12156318
attn_1_0_outputs,1,-0.4054511,0.5134265,1.6166117,-2.1672583,-1.1891458,-1.572134
attn_1_0_outputs,2,4.530278,2.3800588,-1.2143434,-2.7749667,-4.5015216,-7.4297605
attn_1_0_outputs,3,-0.06947307,-0.28941086,-0.092013516,-0.039973468,-0.5328478,-0.1820304
attn_1_0_outputs,4,4.039468,1.99781,-1.1484747,-3.5223246,-11.530527,-6.2942038
attn_1_0_outputs,5,-0.1811677,0.3347163,-0.28026056,-1.6084148,1.7917073,0.24046542
attn_1_0_outputs,6,-0.23365517,-0.18013813,-0.57231975,0.9614802,-0.5443011,1.120744
attn_1_0_outputs,7,4.5799975,2.660215,-0.40596265,-1.9630762,-2.9643652,-3.1539679
