feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,-0.183655,0.14839648,0.3139147,0.31481966,-0.2562854,-1.1957113
attn_0_0_outputs,1,-0.08022231,0.2735241,0.44214728,0.5142003,0.060332365,-1.0727404
attn_0_0_outputs,2,-0.11183899,0.18225914,0.31249526,0.29428586,-0.2580611,-1.3447697
attn_0_0_outputs,3,-0.25371552,0.09449419,0.17898545,0.2209745,-0.34121072,-1.1805631
attn_0_0_outputs,4,-0.25363022,0.071569644,0.22612569,0.2692679,-0.27975944,-1.1072729
attn_0_0_outputs,5,-0.16939032,0.14930183,0.31752473,0.3431148,-0.09159087,-1.1283808
attn_0_0_outputs,<pad>,0.4512922,-0.18001546,-0.024150828,-0.57467175,-1.1279972,0.08026439
attn_0_0_outputs,<s>,-0.21864255,-0.17254907,-0.09188131,-0.33386788,-0.7000842,-2.6365912
attn_0_0_outputs,_,-0.35740766,-0.33249173,0.55715644,-0.08859946,-0.35342383,-0.7789212
attn_0_0_outputs,_,0.13361482,1.0897995,-0.92551506,1.0152837,-0.15336579,-0.5617719
attn_0_0_outputs,_,0.500402,-0.15374899,0.48074535,-1.0856781,-0.30437723,-0.35468405
attn_0_0_outputs,_,0.094904594,0.043839563,0.74515504,-0.94181174,-0.12059521,-0.28700593
attn_0_0_outputs,_,0.55815697,0.29581365,0.10311119,0.64125496,0.13685809,0.07995537
attn_0_0_outputs,_,0.44075122,-0.8413544,0.59642357,-0.090642124,0.0063827056,-0.7932403
attn_0_0_outputs,_,-0.23895232,-0.106318116,-1.3764787,2.3843894,-0.2823386,-0.12908743
attn_0_0_outputs,_,-0.079787366,-0.08349514,-0.81840515,2.6055171,0.33355433,-0.70810735
attn_0_1_outputs,0,-0.35644752,0.25133657,0.23448452,0.73429185,-0.258257,-0.32025692
attn_0_1_outputs,1,-0.48200887,0.12203943,0.037764512,0.4901199,-0.48267794,-0.75513065
attn_0_1_outputs,2,0.031551722,0.5584524,0.4492655,0.93336016,-0.18534118,-0.35257855
attn_0_1_outputs,3,-0.66761047,-0.060367316,-0.31594607,0.003667583,-1.1556214,-1.3460864
attn_0_1_outputs,4,-0.8430724,-0.28341004,-0.46710593,-0.053953625,-1.0883353,-1.3663473
attn_0_1_outputs,5,-0.2607756,0.31082416,0.12578559,0.44727018,-0.6262019,-0.8344418
