epoch,epoch_loss,split,loss,acc,sample_fn
0,1.4041445,train,1.3270845,0.39614674224571683,gumbel_soft
0,1.4041445,val,1.3157653,0.39993184915947294,gumbel_soft
0,1.4041445,test,1.317956,0.39912008281573497,gumbel_soft
1,1.3184613,train,1.3099682,0.40103815043627794,gumbel_soft
1,1.3184613,val,1.2928271,0.4078259881871876,gumbel_soft
1,1.3184613,test,1.3038863,0.4053312629399586,gumbel_soft
2,1.2994255,train,1.2765483,0.42073116362015156,gumbel_soft
2,1.2994255,val,1.2616637,0.4232735120399818,gumbel_soft
2,1.2994255,test,1.26402,0.4291925465838509,gumbel_soft
3,1.2381814,train,1.1866114,0.47256862620215273,gumbel_soft
3,1.2381814,val,1.1606547,0.4917083144025443,gumbel_soft
3,1.2381814,test,1.21226,0.47681159420289854,gumbel_soft
4,1.1552029,train,1.1276873,0.4896949238901981,gumbel_soft
4,1.1552029,val,1.1043836,0.5089164016356201,gumbel_soft
4,1.1552029,test,1.1040525,0.508695652173913,gumbel_soft
5,1.1150538,train,1.0978972,0.500222915737851,gumbel_soft
5,1.1150538,val,1.0993733,0.4976715129486597,gumbel_soft
5,1.1150538,test,1.1077331,0.4986542443064182,gumbel_soft
6,1.0930872,train,1.0847813,0.49875804088911535,gumbel_soft
6,1.0930872,val,1.0623887,0.5019309404815993,gumbel_soft
6,1.0930872,test,1.0758003,0.5067805383022774,gumbel_soft
7,1.0802448,train,1.0662849,0.504834087000828,gumbel_soft
7,1.0802448,val,1.0463976,0.5166969559291231,gumbel_soft
7,1.0802448,test,1.0512276,0.511231884057971,gumbel_soft
8,1.0687419,train,1.0611272,0.5109929303865995,gumbel_soft
8,1.0687419,val,1.0326144,0.5185711040436165,gumbel_soft
8,1.0687419,test,1.0370828,0.5276915113871635,gumbel_soft
9,1.0559139,train,1.0443506,0.5166358830647729,gumbel_soft
9,1.0559139,val,1.0339243,0.5165833711949114,gumbel_soft
9,1.0559139,test,1.0328814,0.5242236024844721,gumbel_soft
10,1.0416468,train,1.0322895,0.5167568944653207,gumbel_soft
10,1.0416468,val,1.0206779,0.5184575193094049,gumbel_soft
10,1.0416468,test,1.0183475,0.5297101449275362,gumbel_soft
11,1.025463,train,1.0171225,0.5238583529711484,gumbel_soft
11,1.025463,val,1.010863,0.5241367560199909,gumbel_soft
11,1.025463,test,1.005544,0.5363871635610766,gumbel_soft
12,1.025819,train,1.0143934,0.5254569772625948,gumbel_soft
12,1.025819,val,0.9943814,0.529418446160836,gumbel_soft
12,1.025819,test,1.0058478,0.5408902691511387,gumbel_soft
13,1.0125687,train,1.0056404,0.5359913381313293,gumbel_soft
13,1.0125687,val,0.9902329,0.5439572921399364,gumbel_soft
13,1.0125687,test,0.9995035,0.5429089026915114,gumbel_soft
14,1.0026116,train,0.9962557,0.5319406407235208,gumbel_soft
14,1.0026116,val,0.98081315,0.5284529759200364,gumbel_soft
