feature,value,1,2,3,4,5,6
mlp_0_0_outputs,0,-0.14554238,0.21531078,-0.2157795,-0.5512345,-0.1982811,0.26112673
mlp_0_0_outputs,1,0.3960543,-0.10462925,-0.008262168,-0.2617093,-0.2129524,-0.35190856
mlp_0_0_outputs,2,19.462225,9.449727,1.0614325,-7.028104,-14.812042,-11.894654
mlp_0_0_outputs,3,-0.12910567,-0.5645532,0.2319076,-0.5132989,-0.3286362,0.052252885
mlp_0_0_outputs,4,0.4857793,0.20841831,0.39552215,0.34070393,0.47507155,-0.56382746
mlp_0_0_outputs,5,-0.30463648,0.02653469,0.11022467,0.4123837,-0.38676184,-0.046635825
mlp_0_0_outputs,6,0.8639213,0.37179974,-0.13498865,-0.55756676,-0.42227268,-0.7759247
mlp_0_0_outputs,7,-0.23717555,-0.28736296,-0.32977864,-0.7280354,0.09930589,-0.5329539
num_attn_0_0_outputs,_,-29.073584,-13.228986,0.45976624,10.771772,17.015467,13.875321
num_attn_0_1_outputs,_,1.0802572,0.81888807,0.50354046,0.1539946,0.39765924,-4.636986
num_attn_0_2_outputs,_,0.9546715,0.7284716,0.48661375,0.16030906,-0.13386296,-3.774332
num_attn_0_3_outputs,_,7.749288,8.015822,2.4495368,-3.715969,-9.043076,-5.7714906
num_mlp_0_0_outputs,0,-0.23411095,-0.32089844,-0.071765214,-0.57782006,-0.89016336,-0.040992405
num_mlp_0_0_outputs,1,18.215887,8.619587,1.2703122,-6.7188153,-14.552109,-11.991258
num_mlp_0_0_outputs,2,-0.560055,0.2598594,-0.29890516,-0.16411018,-0.22111273,-0.42272842
num_mlp_0_0_outputs,3,0.35151437,0.16768754,-0.2085589,-0.7211628,-0.7430466,0.0019311102
num_mlp_0_0_outputs,4,0.10608182,-0.35550648,0.2021669,-0.48219886,-0.31324473,-0.8113175
num_mlp_0_0_outputs,5,1.2451037,0.057306994,-0.7004759,-1.1425763,-0.368937,0.2409955
num_mlp_0_0_outputs,6,0.38233212,0.20405656,0.41678005,-0.303749,-0.28721598,0.45848802
num_mlp_0_0_outputs,7,0.9536782,0.11307261,-0.36399174,-0.4650334,-0.292116,-0.43596748
ones,_,6.877723,6.945442,1.0414068,-4.998548,-7.448223,-5.63543
positions,0,0.21756707,-0.0129148625,0.5294305,0.19202748,0.3759621,-0.8572161
positions,1,6.9005733,4.9804807,1.5419062,-3.4636788,-6.826037,-5.3374968
positions,2,6.3552146,4.4314175,0.9993598,-4.00607,-7.360637,-5.6709833
positions,3,5.8109107,3.8920953,0.45855254,-4.5441637,-7.909072,-6.1938763
positions,4,5.377607,3.454321,0.045461364,-4.950675,-8.345819,-6.566835
positions,5,6.067172,4.1999645,0.77430475,-4.2036386,-7.660353,-5.780686
positions,6,5.483291,3.7455935,0.4652179,-4.38668,-7.7101464,-5.929615
positions,7,6.850625,5.235786,2.0150044,-2.803935,-5.9210806,-4.4818144
tokens,0,5.5908055,3.4687233,-0.20086427,-3.4122849,-5.569,-5.014627
tokens,1,6.293501,4.100124,0.35970843,-2.913626,-5.413096,-7.6401653
tokens,2,6.4943075,4.323833,0.6059295,-2.687763,-5.441589,-3.2510793
tokens,3,6.42761,4.3023305,0.5736792,-2.681137,-5.165056,-3.7349744
tokens,4,6.7108235,4.571225,0.87074697,-2.3414595,-5.7841535,-2.8501937
tokens,5,6.332127,4.1755185,0.4514014,-2.8336833,-4.9621897,-7.15628
tokens,<pad>,0.8302388,0.08087625,-1.1279353,-0.83559984,-0.6698622,0.046576593
tokens,<s>,0.3520573,0.015022172,-0.6768119,-0.84056735,-0.015271881,-0.80551517
