epoch,epoch_loss,split,loss,acc,sample_fn
0,1.3680298,train,1.1759444,0.4072032226582778,gumbel_soft
0,1.3680298,val,1.1734557,0.40834727644543595,gumbel_soft
0,1.3680298,test,1.1755055,0.4072401973079174,gumbel_soft
1,1.1638821,train,1.1524348,0.4250607363109699,gumbel_soft
1,1.1638821,val,1.1531017,0.4216397099832683,gumbel_soft
1,1.1638821,test,1.1551758,0.43223810718167377,gumbel_soft
2,1.1319864,train,1.0921501,0.5330260179821009,gumbel_soft
2,1.1319864,val,1.1056505,0.5174753671686187,gumbel_soft
2,1.1319864,test,1.0988303,0.5298052002340942,gumbel_soft
3,1.0069177,train,0.89965415,0.7266035424323595,gumbel_soft
3,1.0069177,val,0.9061014,0.7385201710355085,gumbel_soft
3,1.0069177,test,0.91342103,0.7216787893988796,gumbel_soft
4,0.7810232,train,0.67233634,0.8090907203222658,gumbel_soft
4,0.7810232,val,0.6573706,0.835099460866332,gumbel_soft
4,0.7810232,test,0.673118,0.8295293035699356,gumbel_soft
5,0.5978592,train,0.52263457,0.9182291991112772,gumbel_soft
5,0.5978592,val,0.54032964,0.891987358245027,gumbel_soft
5,0.5978592,test,0.54064727,0.9232505643340858,gumbel_soft
6,0.47963107,train,0.43811214,0.9159139517016549,gumbel_soft
6,0.47963107,val,0.43107083,0.9311210262130507,gumbel_soft
6,0.47963107,test,0.45773795,0.9193211269960706,gumbel_soft
7,0.40758753,train,0.37623402,0.9483377977117465,gumbel_soft
7,0.40758753,val,0.3758126,0.9482245770589329,gumbel_soft
7,0.40758753,test,0.39877486,0.9496697600535072,gumbel_soft
8,0.35491756,train,0.33433744,0.9500508731493594,gumbel_soft
8,0.35491756,val,0.33741444,0.9501766127532999,gumbel_soft
8,0.35491756,test,0.36661306,0.943901011621102,gumbel_soft
9,0.31925896,train,0.30204397,0.9563113852031812,gumbel_soft
9,0.31925896,val,0.3004253,0.9557538575943484,gumbel_soft
9,0.31925896,test,0.32792196,0.9566925842320876,gumbel_soft
10,0.28902748,train,0.27591145,0.9642849726946158,gumbel_soft
10,0.28902748,val,0.2800909,0.9585424800148726,gumbel_soft
10,0.28902748,test,0.30291364,0.9597859710726528,gumbel_soft
11,0.2657407,train,0.2535684,0.9632882742581864,gumbel_soft
11,0.2657407,val,0.2555519,0.9612381483547128,gumbel_soft
11,0.2657407,test,0.27936524,0.9603712064208678,gumbel_soft
12,0.24589229,train,0.23636292,0.9624369276770697,gumbel_soft
12,0.24589229,val,0.2434867,0.960029745305819,gumbel_soft
12,0.24589229,test,0.26416218,0.9605384165203579,gumbel_soft
13,0.22978275,train,0.2213893,0.9662160759151975,gumbel_soft
13,0.22978275,val,0.22285512,0.9629113218070273,gumbel_soft
13,0.22978275,test,0.24525675,0.9651366942563331,gumbel_soft
14,0.21371873,train,0.2071217,0.9659461367553313,gumbel_soft
14,0.21371873,val,0.21375911,0.964677449340026,gumbel_soft
14,0.21371873,test,0.231482,0.9653875094055681,gumbel_soft
15,0.20162871,train,0.19505264,0.9755289769305842,gumbel_soft
15,0.20162871,val,0.19836175,0.9746235359732293,gumbel_soft
15,0.20162871,test,0.22058874,0.9723267285344035,gumbel_soft
16,0.18990965,train,0.18463938,0.9723727652152245,gumbel_soft
16,0.18990965,val,0.18729502,0.9695110615356014,gumbel_soft
16,0.18990965,test,0.20640194,0.9704874174400133,gumbel_soft
17,0.17961158,train,0.17445931,0.9753005668722358,gumbel_soft
17,0.17961158,val,0.17741543,0.9742517196504926,gumbel_soft
17,0.17961158,test,0.19923025,0.9724939386338934,gumbel_soft
18,0.17033942,train,0.1659288,0.9735874914346229,gumbel_soft
18,0.17033942,val,0.16946116,0.9725785461981781,gumbel_soft
18,0.17033942,test,0.18744254,0.9701529972410333,gumbel_soft
19,0.16228472,train,0.15728371,0.9782802799061442,gumbel_soft
19,0.16228472,val,0.16007395,0.9805725971370143,gumbel_soft
19,0.16228472,test,0.17969894,0.9748348800267537,gumbel_soft
20,0.1555759,train,0.1504518,0.9860254573392304,gumbel_soft
20,0.1555759,val,0.15438038,0.9853132552519056,gumbel_soft
20,0.1555759,test,0.17160587,0.9838642253992141,gumbel_soft
21,0.14751354,train,0.14332344,0.9846757615398991,gumbel_soft
21,0.14751354,val,0.1465365,0.9834541736382227,gumbel_soft
21,0.14751354,test,0.16529536,0.9801856032104339,gumbel_soft
22,0.1404155,train,0.13736326,0.9830145974791835,gumbel_soft
22,0.1404155,val,0.14329287,0.9805725971370143,gumbel_soft
22,0.1404155,test,0.15777369,0.9793495527129839,gumbel_soft
23,0.13493277,train,0.13199614,0.9836582985527108,gumbel_soft
23,0.13493277,val,0.13711376,0.9811303216211191,gumbel_soft
23,0.13493277,test,0.1521229,0.982108519354569,gumbel_soft
24,0.12972876,train,0.12682246,0.9840632072925102,gumbel_soft
24,0.12972876,val,0.12934993,0.9832682654768544,gumbel_soft
24,0.12972876,test,0.14561206,0.9801856032104339,gumbel_soft
25,0.12409884,train,0.12110187,0.9891505222284516,gumbel_soft
25,0.12409884,val,0.12497579,0.9894032348020078,gumbel_soft
25,0.12409884,test,0.14111733,0.9875428475879943,gumbel_soft
26,0.11962004,train,0.11720766,0.9881330592412633,gumbel_soft
26,0.11962004,val,0.12077067,0.9879159695110615,gumbel_soft
26,0.11962004,test,0.13579641,0.9836134102499791,gumbel_soft
27,0.11527074,train,0.11314784,0.9855478726717748,gumbel_soft
27,0.11527074,val,0.11690786,0.9878230154303774,gumbel_soft
27,0.11527074,test,0.13069351,0.981356073906864,gumbel_soft
28,0.11124165,train,0.10849449,0.9876139454722898,gumbel_soft
28,0.11124165,val,0.1138798,0.9866146123814835,gumbel_soft
28,0.11124165,test,0.12584281,0.982192124404314,gumbel_soft
29,0.106795505,train,0.10442197,0.9923067339438111,gumbel_soft
29,0.106795505,val,0.108322404,0.9925636735452686,gumbel_soft
29,0.106795505,test,0.12223454,0.9884625031351894,gumbel_soft
30,0.103211276,train,0.10127628,0.9927739363358874,gumbel_soft
30,0.103211276,val,0.10719127,0.9921918572225321,gumbel_soft
30,0.103211276,test,0.11806367,0.9898837889808545,gumbel_soft
31,0.09993761,train,0.09757619,0.9934280196847941,gumbel_soft
31,0.09993761,val,0.101491496,0.9941438929168991,gumbel_soft
31,0.09993761,test,0.11451736,0.9902182091798345,gumbel_soft
32,0.097455226,train,0.094496444,0.9927947008866463,gumbel_soft
32,0.097455226,val,0.10031403,0.9912623164156906,gumbel_soft
32,0.097455226,test,0.11004811,0.9901346041300895,gumbel_soft
33,0.0938565,train,0.09216313,0.9915488278411096,gumbel_soft
33,0.0938565,val,0.09808733,0.9913552704963748,gumbel_soft
33,0.0938565,test,0.10872633,0.9862887718418193,gumbel_soft
34,0.09070733,train,0.08871889,0.9948296268610228,gumbel_soft
34,0.09070733,val,0.09222529,0.9957241122885294,gumbel_soft
34,0.09070733,test,0.10410357,0.9921411253239696,gumbel_soft
35,0.087442525,train,0.08622057,0.9950268900932329,gumbel_soft
35,0.087442525,val,0.090108015,0.9957241122885294,gumbel_soft
35,0.087442525,test,0.10123107,0.9920575202742246,gumbel_soft
36,0.084824294,train,0.08343537,0.9944247181212235,gumbel_soft
36,0.084824294,val,0.08907525,0.9945157092396356,gumbel_soft
36,0.084824294,test,0.096534066,0.9920575202742246,gumbel_soft
37,0.08280946,train,0.08108211,0.9937810170476962,gumbel_soft
37,0.08280946,val,0.08619641,0.994794571481688,gumbel_soft
37,0.08280946,test,0.09587617,0.9913886798762646,gumbel_soft
38,0.079835124,train,0.07900759,0.995141095122407,gumbel_soft
38,0.079835124,val,0.08467523,0.9957241122885294,gumbel_soft
38,0.079835124,test,0.09429071,0.9923083354234595,gumbel_soft
39,0.07797499,train,0.07695165,0.9950476546439918,gumbel_soft
39,0.07797499,val,0.08169595,0.9957241122885294,gumbel_soft
39,0.07797499,test,0.09153714,0.9917231000752446,gumbel_soft
40,0.075750455,train,0.07468708,0.9944247181212235,gumbel_soft
40,0.075750455,val,0.08177811,0.9932143521100576,gumbel_soft
40,0.075750455,test,0.08705755,0.9908034445280495,gumbel_soft
41,0.073507294,train,0.07311425,0.9947361863826076,gumbel_soft
41,0.073507294,val,0.07677077,0.9957241122885294,gumbel_soft
41,0.073507294,test,0.08524991,0.9920575202742246,gumbel_soft
42,0.071578085,train,0.07048688,0.9949749787163354,gumbel_soft
42,0.071578085,val,0.07703276,0.9948875255623721,gumbel_soft
42,0.071578085,test,0.08235004,0.9915558899757545,gumbel_soft
43,0.07001148,train,0.06925784,0.994590834527295,gumbel_soft
43,0.07001148,val,0.07488977,0.9957241122885294,gumbel_soft
43,0.07001148,test,0.07935615,0.9920575202742246,gumbel_soft
44,0.06833866,train,0.0672013,0.9951099482962686,gumbel_soft
44,0.06833866,val,0.07349408,0.994794571481688,gumbel_soft
44,0.06833866,test,0.079592824,0.9916394950254995,gumbel_soft
45,0.06647119,train,0.0650459,0.9952033887746838,gumbel_soft
45,0.06647119,val,0.070732094,0.9957241122885294,gumbel_soft
45,0.06647119,test,0.07728398,0.9923919404732046,gumbel_soft
46,0.064525165,train,0.06438151,0.9950580369193712,gumbel_soft
46,0.064525165,val,0.06958057,0.9957241122885294,gumbel_soft
46,0.064525165,test,0.07609868,0.9913050748265195,gumbel_soft
47,0.063464805,train,0.062082604,0.9952553001515813,gumbel_soft
47,0.063464805,val,0.06689658,0.9957241122885294,gumbel_soft
47,0.063464805,test,0.07420186,0.9921411253239696,gumbel_soft
48,0.06188862,train,0.061146326,0.9953798874561349,gumbel_soft
48,0.06188862,val,0.06628497,0.9957241122885294,gumbel_soft
48,0.06188862,test,0.072441265,0.9923919404732046,gumbel_soft
