epoch,epoch_loss,split,loss,acc,sample_fn
0,1.3400244,train,0.99128956,0.5979863358504135,gumbel_soft
0,1.3400244,val,0.99817896,0.5895861476114455,gumbel_soft
0,1.3400244,test,0.9888082,0.5962656529516994,gumbel_soft
1,0.92828894,train,0.8725093,0.6684713656686545,gumbel_soft
1,0.92828894,val,0.87648994,0.6639444922018912,gumbel_soft
1,0.92828894,test,0.8663379,0.6719029516994633,gumbel_soft
2,0.8289212,train,0.77989054,0.6782683031080173,gumbel_soft
2,0.8289212,val,0.7845958,0.6718654058700725,gumbel_soft
2,0.8289212,test,0.7790928,0.6787790697674418,gumbel_soft
3,0.7268958,train,0.65677893,0.6980521463027417,gumbel_soft
3,0.7268958,val,0.6595257,0.6867861967333907,gumbel_soft
3,0.7268958,test,0.65550977,0.7051095706618963,gumbel_soft
4,0.5711233,train,0.45586318,0.8005196990359108,gumbel_soft
4,0.5711233,val,0.44555217,0.7971263662041017,gumbel_soft
4,0.5711233,test,0.45916867,0.7958407871198568,gumbel_soft
5,0.34846142,train,0.23966555,0.9201386768706791,gumbel_soft
5,0.34846142,val,0.24131161,0.918150558762127,gumbel_soft
5,0.34846142,test,0.24614549,0.9092687835420393,gumbel_soft
6,0.19022922,train,0.14744864,0.9510017436377576,gumbel_soft
6,0.19022922,val,0.14443985,0.9397028122313643,gumbel_soft
6,0.19022922,test,0.13536586,0.9628801431127012,gumbel_soft
7,0.12319407,train,0.1046226,0.969659346101918,gumbel_soft
7,0.12319407,val,0.0973928,0.9691145769372467,gumbel_soft
7,0.12319407,test,0.10012504,0.9665697674418605,gumbel_soft
8,0.09244962,train,0.08170576,0.9824618536836892,gumbel_soft
8,0.09244962,val,0.0838385,0.9735355520078595,gumbel_soft
8,0.09244962,test,0.076868355,0.9843470483005367,gumbel_soft
9,0.07515578,train,0.06858442,0.9870414470158013,gumbel_soft
9,0.07515578,val,0.064121604,0.9845265872528552,gumbel_soft
9,0.07515578,test,0.06374443,0.9929561717352415,gumbel_soft
10,0.06433552,train,0.057590865,0.9905965683580631,gumbel_soft
10,0.06433552,val,0.057370175,0.9860616480412624,gumbel_soft
10,0.06433552,test,0.054181606,0.992061717352415,gumbel_soft
11,0.05526183,train,0.05102068,0.9904337383729214,gumbel_soft
11,0.05526183,val,0.05997824,0.9809038437922142,gumbel_soft
11,0.05526183,test,0.048198685,0.9907759391771019,gumbel_soft
12,0.04704096,train,0.044176575,0.9926319431723352,gumbel_soft
12,0.04704096,val,0.03942537,0.99404396414098,gumbel_soft
12,0.04704096,test,0.040490143,0.993682915921288,gumbel_soft
13,0.04859961,train,0.040284455,0.9931340022931889,gumbel_soft
13,0.04859961,val,0.035070155,0.9937369519832986,gumbel_soft
13,0.04859961,test,0.03745181,0.9939624329159212,gumbel_soft
14,0.04311477,train,0.037094563,0.9945451954977509,gumbel_soft
14,0.04311477,val,0.034296967,0.9949650006140243,gumbel_soft
14,0.04311477,test,0.03585961,0.9921735241502684,gumbel_soft
15,0.03379965,train,0.031672318,0.9964516632404524,gumbel_soft
15,0.03379965,val,0.027677588,0.9974825003070121,gumbel_soft
15,0.03379965,test,0.028997667,0.9963103756708408,gumbel_soft
16,0.030254947,train,0.03250596,0.9926658660859063,gumbel_soft
16,0.030254947,val,0.026789486,0.9961316468132138,gumbel_soft
16,0.030254947,test,0.02644483,0.9948568872987478,gumbel_soft
17,0.027365824,train,0.026502006,0.9952643612654604,gumbel_soft
17,0.027365824,val,0.02480167,0.9945351835932703,gumbel_soft
17,0.027365824,test,0.024185324,0.994968694096601,gumbel_soft
18,0.02839051,train,0.025548138,0.9946130413248934,gumbel_soft
18,0.02839051,val,0.022690222,0.9950264030455606,gumbel_soft
18,0.02839051,test,0.023369879,0.9954159212880143,gumbel_soft
19,0.024081206,train,0.023441708,0.994972624208748,gumbel_soft
19,0.024081206,val,0.020052146,0.9957018297924598,gumbel_soft
19,0.024081206,test,0.020905659,0.9949127906976745,gumbel_soft
20,0.022393825,train,0.02316717,0.9943009505200383,gumbel_soft
20,0.022393825,val,0.019049436,0.9952106103401694,gumbel_soft
20,0.022393825,test,0.020611675,0.9939065295169947,gumbel_soft
21,0.021069216,train,0.025774,0.9952643612654604,gumbel_soft
21,0.021069216,val,0.017574074,0.997666707601621,gumbel_soft
21,0.021069216,test,0.017845605,0.9977638640429338,gumbel_soft
22,0.019824283,train,0.018936109,0.9976525343808729,gumbel_soft
22,0.019824283,val,0.02309628,0.9950264030455606,gumbel_soft
22,0.019824283,test,0.017019272,0.9975961538461539,gumbel_soft
23,0.01892938,train,0.017924424,0.9985548838818669,gumbel_soft
23,0.01892938,val,0.015427869,0.9988947562323468,gumbel_soft
23,0.01892938,test,0.015938252,0.9989378354203936,gumbel_soft
24,0.01797002,train,0.01688729,0.9988601901040076,gumbel_soft
24,0.01797002,val,0.014144623,0.9992631708215646,gumbel_soft
24,0.01797002,test,0.014642619,0.998211091234347,gumbel_soft
25,0.017293116,train,0.022226924,0.9962074182627397,gumbel_soft
25,0.017293116,val,0.013211591,0.9977281100331573,gumbel_soft
25,0.017293116,test,0.0139541095,0.998211091234347,gumbel_soft
26,0.01619603,train,0.015941042,0.9952643612654604,gumbel_soft
26,0.01619603,val,0.012799127,0.9958246346555324,gumbel_soft
26,0.01619603,test,0.013140855,0.9952482110912343,gumbel_soft
27,0.016987847,train,0.014670685,0.9983784847312966,gumbel_soft
27,0.016987847,val,0.012125384,0.998280731916984,gumbel_soft
27,0.016987847,test,0.012245482,0.998211091234347,gumbel_soft
28,0.025512788,train,0.014172154,0.9987787751114368,gumbel_soft
28,0.025512788,val,0.011658486,0.9984035367800564,gumbel_soft
28,0.025512788,test,0.011866614,0.9991614490161002,gumbel_soft
29,0.0142256105,train,0.014064141,0.996777323210736,gumbel_soft
29,0.0142256105,val,0.01148929,0.9969912808547219,gumbel_soft
29,0.0142256105,test,0.011519574,0.9964780858676208,gumbel_soft
30,0.014017259,train,0.013366865,0.999294403397719,gumbel_soft
30,0.014017259,val,0.011184262,0.9996315854107822,gumbel_soft
30,0.014017259,test,0.011426689,0.9993291592128801,gumbel_soft
31,0.012911036,train,0.012833269,0.9985820222127239,gumbel_soft
31,0.012911036,val,0.009791473,0.9987719513692742,gumbel_soft
31,0.012911036,test,0.010395384,0.9984906082289803,gumbel_soft
32,0.012248385,train,0.012660313,0.9988805438521504,gumbel_soft
32,0.012248385,val,0.009533135,0.9992017683900283,gumbel_soft
32,0.012248385,test,0.009895262,0.9991614490161002,gumbel_soft
33,0.0117751695,train,0.011469533,0.9988398363558649,gumbel_soft
33,0.0117751695,val,0.009617606,0.998526341643129,gumbel_soft
33,0.0117751695,test,0.009399297,0.9986024150268337,gumbel_soft
34,0.011652173,train,0.0113622425,0.9993147571458617,gumbel_soft
34,0.011652173,val,0.009035266,0.9996315854107822,gumbel_soft
34,0.011652173,test,0.0096279755,0.9993291592128801,gumbel_soft
35,0.011046857,train,0.010815798,0.9992062038224339,gumbel_soft
35,0.011046857,val,0.008426256,0.9993245732531009,gumbel_soft
35,0.011046857,test,0.008952918,0.9992732558139535,gumbel_soft
36,0.010868411,train,0.010357674,0.9993147571458617,gumbel_soft
36,0.010868411,val,0.0080844695,0.9996315854107822,gumbel_soft
36,0.010868411,test,0.008442778,0.9993291592128801,gumbel_soft
37,0.01029011,train,0.009965399,0.9993961721384326,gumbel_soft
37,0.01029011,val,0.008081227,0.9992631708215646,gumbel_soft
37,0.01029011,test,0.007916429,0.9986583184257602,gumbel_soft
38,0.009848659,train,0.0096011,0.9993283263112902,gumbel_soft
