feature,value,1,2,3,4,5,6
mlp_0_0_outputs,0,-0.14537793,0.21535626,-0.21626201,-0.5513839,-0.1983188,0.26118234
mlp_0_0_outputs,1,0.39629072,-0.10451808,-0.008428496,-0.26475027,-0.21278167,-0.35160005
mlp_0_0_outputs,2,19.443995,9.446601,1.0629923,-7.0307875,-14.807766,-11.888789
mlp_0_0_outputs,3,-0.12913975,-0.56474674,0.2288754,-0.5107296,-0.3284569,0.052593973
mlp_0_0_outputs,4,0.4858971,0.20868184,0.39837104,0.33755234,0.47551382,-0.5636702
mlp_0_0_outputs,5,-0.30483067,0.027705373,0.11514313,0.4123642,-0.38698533,-0.04679705
mlp_0_0_outputs,6,0.86841196,0.36754152,-0.13975695,-0.5583128,-0.42212892,-0.77653325
mlp_0_0_outputs,7,-0.23696762,-0.28646109,-0.33606747,-0.7293687,0.09912672,-0.533083
num_attn_0_0_outputs,_,-29.073397,-13.229229,0.45936385,10.771234,17.014633,13.87385
num_attn_0_1_outputs,_,1.080659,0.819462,0.5037859,0.15396532,0.39822787,-4.641148
num_attn_0_2_outputs,_,0.95470524,0.7285053,0.48667166,0.16025987,-0.1343349,-3.7738087
num_attn_0_3_outputs,_,7.7596893,8.016464,2.4430063,-3.7225387,-9.047491,-5.7731457
num_mlp_0_0_outputs,0,-0.23415871,-0.3196318,-0.07652927,-0.57834136,-0.89002424,-0.04106859
num_mlp_0_0_outputs,1,18.188675,8.608215,1.2670273,-6.7181435,-14.555878,-11.998765
num_mlp_0_0_outputs,2,-0.56043124,0.26299003,-0.30727416,-0.16551548,-0.22123395,-0.42291126
num_mlp_0_0_outputs,3,0.3514597,0.16664898,-0.2066431,-0.72096455,-0.7432508,0.0021191386
num_mlp_0_0_outputs,4,0.106708504,-0.35622874,0.20706344,-0.48283556,-0.31346035,-0.8114158
num_mlp_0_0_outputs,5,1.2057475,0.08707361,-0.62516636,-1.0690029,-0.36677358,0.24270225
num_mlp_0_0_outputs,6,0.3823244,0.2039546,0.41648054,-0.30349743,-0.2870442,0.45864642
num_mlp_0_0_outputs,7,0.97129035,0.11323557,-0.4103294,-0.4907171,-0.2918136,-0.4367621
ones,_,6.8850513,6.945652,1.0389276,-5.000606,-7.4514976,-5.6368575
positions,0,0.21756707,-0.0129148625,0.5294305,0.19202748,0.3759621,-0.8572161
positions,1,6.9074726,4.980394,1.540487,-3.4650223,-6.8287024,-5.3383904
positions,2,6.361193,4.430579,0.9973642,-4.0078287,-7.363825,-5.672218
positions,3,5.8159647,3.89024,0.45548776,-4.546984,-7.913396,-6.1951957
positions,4,5.383397,3.453243,0.043163065,-4.9527693,-8.349343,-6.5683837
positions,5,6.073029,4.1990147,0.7722181,-4.205616,-7.6634564,-5.7825003
positions,6,5.489082,3.744672,0.46318755,-4.388619,-7.7134466,-5.9313188
positions,7,6.8580084,5.2359815,2.013849,-2.8049445,-5.9233117,-4.482324
tokens,0,5.595944,3.4670277,-0.20367926,-3.4144673,-5.5723395,-5.001226
tokens,1,6.2996106,4.099653,0.35808757,-2.914705,-5.415531,-7.6419754
tokens,2,6.500459,4.323432,0.6046029,-2.6887994,-5.4429526,-3.2555618
tokens,3,6.4341717,4.302225,0.57243794,-2.6818333,-5.1670527,-3.736471
tokens,4,6.7177825,4.57161,0.87005776,-2.3416784,-5.785848,-2.8513362
tokens,5,6.338399,4.175149,0.44993424,-2.834789,-4.964282,-7.157721
tokens,<pad>,0.8304323,0.08140496,-1.1289096,-0.83562183,-0.6701647,0.046577998
tokens,<s>,0.35204238,0.015800266,-0.67735755,-0.84072423,-0.0155043425,-0.8055115
