epoch,epoch_loss,split,loss,acc,sample_fn
0,1.782319,train,1.4145334,0.5272430905957349,gumbel_soft
0,1.782319,val,1.4268974,0.528165086447295,gumbel_soft
0,1.782319,test,1.4292268,0.5183513084190285,gumbel_soft
1,1.3480076,train,1.3072108,0.5348636807242675,gumbel_soft
1,1.3480076,val,1.3028516,0.5401561628555493,gumbel_soft
1,1.3480076,test,1.3172203,0.5294707800351142,gumbel_soft
2,1.286623,train,1.2665032,0.5416433065470628,gumbel_soft
2,1.286623,val,1.2708516,0.5435954638408627,gumbel_soft
2,1.286623,test,1.2800379,0.5347378981690494,gumbel_soft
3,1.2487174,train,1.2306352,0.5473950871072905,gumbel_soft
3,1.2487174,val,1.2322321,0.5495445250046477,gumbel_soft
3,1.2487174,test,1.2500224,0.5432656132430399,gumbel_soft
4,1.2086478,train,1.1831794,0.5625947382628377,gumbel_soft
4,1.2086478,val,1.1868219,0.5625580963004276,gumbel_soft
4,1.2086478,test,1.2061971,0.5494523869241702,gumbel_soft
5,1.1386656,train,1.0866554,0.5880624597686829,gumbel_soft
5,1.1386656,val,1.0850164,0.5878416062465143,gumbel_soft
5,1.1386656,test,1.1107378,0.5788813644344118,gumbel_soft
6,1.0358864,train,0.9831049,0.6248883905396707,gumbel_soft
6,1.0358864,val,0.97677547,0.6182375906302287,gumbel_soft
6,1.0358864,test,0.99649966,0.6209347044561492,gumbel_soft
7,0.94133216,train,0.8910798,0.6500342615087522,gumbel_soft
7,0.94133216,val,0.89740723,0.6462167689161554,gumbel_soft
7,0.94133216,test,0.8915251,0.655212774851601,gumbel_soft
8,0.83629215,train,0.7852524,0.6814510268070351,gumbel_soft
8,0.83629215,val,0.7905536,0.6759620747350809,gumbel_soft
8,0.83629215,test,0.8001234,0.673355070646267,gumbel_soft
9,0.7502513,train,0.70679206,0.7101684005066551,gumbel_soft
9,0.7502513,val,0.74522287,0.7014314928425358,gumbel_soft
9,0.7502513,test,0.7120189,0.7071315107432489,gumbel_soft
10,0.68268955,train,0.6560043,0.7258352540542785,gumbel_soft
10,0.68268955,val,0.6619063,0.7204870793827849,gumbel_soft
10,0.68268955,test,0.66328,0.7221804196973497,gumbel_soft
11,0.6429444,train,0.6142945,0.7407649660499596,gumbel_soft
11,0.6429444,val,0.6060387,0.7420524261015059,gumbel_soft
11,0.6429444,test,0.6259286,0.7350555973580805,gumbel_soft
12,0.59948766,train,0.5875696,0.7509084490957039,gumbel_soft
12,0.59948766,val,0.5731855,0.753950548429076,gumbel_soft
12,0.59948766,test,0.6155231,0.7400719003427807,gumbel_soft
13,0.57157993,train,0.5488934,0.7640108806245977,gumbel_soft
13,0.57157993,val,0.5561495,0.7612009667224391,gumbel_soft
13,0.57157993,test,0.56515,0.7537831285009614,gumbel_soft
14,0.54404086,train,0.5337269,0.771164268361054,gumbel_soft
14,0.54404086,val,0.5360047,0.7692879717419595,gumbel_soft
14,0.54404086,test,0.54856056,0.7618928183262269,gumbel_soft
15,0.5219051,train,0.5054669,0.7794077950123549,gumbel_soft
15,0.5219051,val,0.51107097,0.7786763338910578,gumbel_soft
15,0.5219051,test,0.52547324,0.7720090293453724,gumbel_soft
16,0.4964819,train,0.48896557,0.787744762142071,gumbel_soft
16,0.4964819,val,0.46373135,0.7954080684142034,gumbel_soft
16,0.4964819,test,0.49650794,0.782376055513753,gumbel_soft
17,0.48188946,train,0.4705415,0.7946385929940406,gumbel_soft
17,0.48188946,val,0.45403624,0.8006134969325154,gumbel_soft
17,0.48188946,test,0.46902072,0.7942479725775436,gumbel_soft
18,0.46729776,train,0.45787978,0.7998089661330177,gumbel_soft
18,0.46729776,val,0.44472012,0.8071202825804052,gumbel_soft
18,0.46729776,test,0.48078895,0.7931611069308586,gumbel_soft
19,0.4568703,train,0.45454988,0.8012832492369028,gumbel_soft
19,0.4568703,val,0.4494188,0.8045175683212493,gumbel_soft
19,0.4568703,test,0.50250834,0.782710475712733,gumbel_soft
20,0.44753632,train,0.43823522,0.8101393301355925,gumbel_soft
20,0.44753632,val,0.4271889,0.8158579661647146,gumbel_soft
20,0.44753632,test,0.47168592,0.7950840230749937,gumbel_soft
21,0.43907064,train,0.43555844,0.808831163437779,gumbel_soft
21,0.43907064,val,0.43703076,0.8102807213236661,gumbel_soft
21,0.43907064,test,0.46067652,0.7975085695175989,gumbel_soft
22,0.43242767,train,0.4313809,0.812568782574389,gumbel_soft
22,0.43242767,val,0.42527676,0.8143707008737684,gumbel_soft
22,0.43242767,test,0.43785307,0.8087952512331745,gumbel_soft
23,0.43159997,train,0.42976406,0.8116136132394776,gumbel_soft
23,0.43159997,val,0.4377,0.8117679866146124,gumbel_soft
23,0.43159997,test,0.44697458,0.8057018643926093,gumbel_soft
24,0.4275594,train,0.42021722,0.817427687451982,gumbel_soft
24,0.4275594,val,0.4163124,0.8168804610522402,gumbel_soft
24,0.4275594,test,0.42721927,0.8093804865813895,gumbel_soft
25,0.42583218,train,0.4207862,0.8177391557133662,gumbel_soft
25,0.42583218,val,0.41487327,0.816787506971556,gumbel_soft
25,0.42583218,test,0.429051,0.8103001421285846,gumbel_soft
26,0.42112944,train,0.41446584,0.8187358541497954,gumbel_soft
26,0.42112944,val,0.4169236,0.8216211191671314,gumbel_soft
26,0.42112944,test,0.42147163,0.8141459744168548,gumbel_soft
27,0.4171934,train,0.41750935,0.81648290039245,gumbel_soft
27,0.4171934,val,0.41435575,0.8162297824874511,gumbel_soft
27,0.4171934,test,0.43065795,0.8092968815316445,gumbel_soft
28,0.41473404,train,0.41801065,0.8183309454099961,gumbel_soft
28,0.41473404,val,0.44690722,0.8115820784532441,gumbel_soft
28,0.41473404,test,0.43550798,0.8041133684474542,gumbel_soft
29,0.4137245,train,0.41204858,0.8201063144998858,gumbel_soft
29,0.4137245,val,0.4078206,0.8235731548614984,gumbel_soft
29,0.4137245,test,0.42769986,0.8088788562829194,gumbel_soft
30,0.41029334,train,0.4075715,0.8214767748499762,gumbel_soft
30,0.41029334,val,0.40433013,0.8222717977319204,gumbel_soft
30,0.41029334,test,0.42521363,0.8131427138199148,gumbel_soft
31,0.4114238,train,0.410622,0.8209161319794847,gumbel_soft
31,0.4114238,val,0.420599,0.8181818181818182,gumbel_soft
31,0.4114238,test,0.45191246,0.8047822088454143,gumbel_soft
32,0.40756294,train,0.411719,0.8203866359351315,gumbel_soft
32,0.40756294,val,0.40644023,0.8231083844580777,gumbel_soft
32,0.40756294,test,0.4215488,0.8084608310341944,gumbel_soft
33,0.40941405,train,0.39859858,0.8271662617579268,gumbel_soft
33,0.40941405,val,0.408584,0.8225506599739728,gumbel_soft
33,0.40941405,test,0.4153758,0.8194966976005351,gumbel_soft
34,0.4040798,train,0.40173653,0.8258892418862518,gumbel_soft
34,0.4040798,val,0.4012558,0.8273842721695482,gumbel_soft
34,0.4040798,test,0.42265248,0.81707215115793,gumbel_soft
35,0.4041974,train,0.40215147,0.8257750368570776,gumbel_soft
35,0.4041974,val,0.41923648,0.8175311396170292,gumbel_soft
35,0.4041974,test,0.4179975,0.8156508653122648,gumbel_soft
36,0.39940438,train,0.39385128,0.829543802819826,gumbel_soft
36,0.39940438,val,0.38753667,0.8345417363822272,gumbel_soft
36,0.39940438,test,0.4164678,0.8166541259092049,gumbel_soft
37,0.39989582,train,0.39615595,0.8296268610228618,gumbel_soft
37,0.39989582,val,0.38924286,0.8305447109128091,gumbel_soft
37,0.39989582,test,0.41338193,0.8199147228492601,gumbel_soft
38,0.3980561,train,0.39915553,0.8283290766004278,gumbel_soft
38,0.3980561,val,0.38494384,0.8311953894775981,gumbel_soft
38,0.3980561,test,0.41832092,0.8152328400635398,gumbel_soft
39,0.39411792,train,0.39208922,0.8315787287942026,gumbel_soft
39,0.39411792,val,0.37739655,0.8376092210448038,gumbel_soft
39,0.39411792,test,0.4023062,0.8245130005852354,gumbel_soft
40,0.39613792,train,0.3914397,0.8328453663904981,gumbel_soft
40,0.39613792,val,0.38720286,0.8321249302844395,gumbel_soft
40,0.39613792,test,0.4084486,0.8262687066298804,gumbel_soft
41,0.3913879,train,0.3906616,0.8310492327498494,gumbel_soft
41,0.3913879,val,0.38211814,0.8322178843651237,gumbel_soft
41,0.3913879,test,0.4024374,0.8255998662319204,gumbel_soft
42,0.3922317,train,0.38284528,0.8349425860171515,gumbel_soft
42,0.3922317,val,0.38058838,0.8359360475924893,gumbel_soft
42,0.3922317,test,0.4051134,0.8265195217791155,gumbel_soft
43,0.38858652,train,0.38202065,0.8370190410930459,gumbel_soft
43,0.38858652,val,0.37502068,0.8404907975460123,gumbel_soft
43,0.38858652,test,0.39474803,0.8248474207842154,gumbel_soft
44,0.38321152,train,0.37776268,0.8391058784443198,gumbel_soft
44,0.38321152,val,0.37647504,0.8379810373675405,gumbel_soft
44,0.38321152,test,0.3906213,0.8337095560571859,gumbel_soft
45,0.38198882,train,0.37588435,0.8384621773707925,gumbel_soft
45,0.38198882,val,0.40152746,0.8345417363822272,gumbel_soft
45,0.38198882,test,0.39456028,0.8322882702115207,gumbel_soft
46,0.37507463,train,0.37767014,0.8399364604746776,gumbel_soft
46,0.37507463,val,0.3741544,0.8430935118051682,gumbel_soft
46,0.37507463,test,0.39037398,0.8322046651617758,gumbel_soft
47,0.3730332,train,0.3753038,0.8391370252704583,gumbel_soft
47,0.3730332,val,0.37659267,0.837051496560699,gumbel_soft
47,0.3730332,test,0.39280853,0.8296129086196806,gumbel_soft
