epoch,epoch_loss,split,loss,acc,sample_fn
0,1.9423804,train,1.492424,0.500020764550759,gumbel_soft
0,1.9423804,val,1.4845508,0.5068786019706265,gumbel_soft
0,1.9423804,test,1.50701,0.4956943399381323,gumbel_soft
1,1.3977009,train,1.3463616,0.5159471749828692,gumbel_soft
1,1.3977009,val,1.3374797,0.5204498977505112,gumbel_soft
1,1.3977009,test,1.3528159,0.509321963046568,gumbel_soft
2,1.3179605,train,1.3000166,0.5193110322058182,gumbel_soft
2,1.3179605,val,1.3012481,0.5240751068971928,gumbel_soft
2,1.3179605,test,1.313081,0.5143382660312683,gumbel_soft
3,1.2796761,train,1.2561871,0.5269316223343508,gumbel_soft
3,1.2796761,val,1.2615201,0.532719836400818,gumbel_soft
3,1.2796761,test,1.2676125,0.5208594599113786,gumbel_soft
4,1.229338,train,1.1981286,0.5424012126497644,gumbel_soft
4,1.229338,val,1.1932675,0.5470347648261759,gumbel_soft
4,1.229338,test,1.2176276,0.5305576456817992,gumbel_soft
5,1.1583053,train,1.1074607,0.5770780124172014,gumbel_soft
5,1.1583053,val,1.1010369,0.5737125859825246,gumbel_soft
5,1.1583053,test,1.1237471,0.5658389766741911,gumbel_soft
6,1.0501478,train,1.001533,0.6054943001308166,gumbel_soft
6,1.0501478,val,0.99470687,0.6028072132366611,gumbel_soft
6,1.0501478,test,1.023421,0.5971908703285679,gumbel_soft
7,0.9447974,train,0.8909217,0.6405137149857763,gumbel_soft
7,0.9447974,val,0.8957346,0.6319947945714817,gumbel_soft
7,0.9447974,test,0.90471685,0.637404899255915,gumbel_soft
8,0.83649814,train,0.79085255,0.6720135384870949,gumbel_soft
8,0.83649814,val,0.8009293,0.6728016359918201,gumbel_soft
8,0.83649814,test,0.8026478,0.671264944402642,gumbel_soft
9,0.74384063,train,0.7154732,0.7027762204364708,gumbel_soft
9,0.74384063,val,0.7015475,0.711377579475739,gumbel_soft
9,0.74384063,test,0.7258114,0.6976841401220634,gumbel_soft
10,0.6811047,train,0.6593278,0.7214746983949002,gumbel_soft
10,0.6811047,val,0.67652124,0.7132366610894219,gumbel_soft
10,0.6811047,test,0.6678688,0.7150739904690243,gumbel_soft
11,0.62834114,train,0.61179787,0.7446479370418821,gumbel_soft
11,0.62834114,val,0.6012598,0.7478155791039227,gumbel_soft
11,0.62834114,test,0.6329901,0.7333834963631803,gumbel_soft
12,0.5866974,train,0.5818775,0.7538777798542329,gumbel_soft
12,0.5866974,val,0.5707363,0.7561814463654954,gumbel_soft
12,0.5866974,test,0.599734,0.746007858874676,gumbel_soft
13,0.55964327,train,0.5493467,0.7665856849187068,gumbel_soft
13,0.55964327,val,0.54116243,0.7688232013385388,gumbel_soft
13,0.55964327,test,0.56734276,0.7557896496948415,gumbel_soft
14,0.5337078,train,0.5287012,0.7755974999480886,gumbel_soft
14,0.5337078,val,0.52572054,0.7740286298568507,gumbel_soft
14,0.5337078,test,0.54065514,0.7716746091463924,gumbel_soft
15,0.5163328,train,0.51192343,0.779210531780145,gumbel_soft
15,0.5163328,val,0.50635695,0.78007064510132,gumbel_soft
15,0.5163328,test,0.51955825,0.7768581222305827,gumbel_soft
16,0.49990764,train,0.4975506,0.7863223904150833,gumbel_soft
16,0.49990764,val,0.49083897,0.781372002230898,gumbel_soft
16,0.49990764,test,0.51225483,0.7803695343198729,gumbel_soft
17,0.48766187,train,0.4852991,0.7896758653626529,gumbel_soft
17,0.48766187,val,0.48453254,0.786670384829894,gumbel_soft
17,0.48766187,test,0.5069704,0.7841317615583981,gumbel_soft
18,0.4786403,train,0.47595966,0.794867003052389,gumbel_soft
18,0.4786403,val,0.48517638,0.7876928797174196,gumbel_soft
18,0.4786403,test,0.5210908,0.781790820165538,gumbel_soft
19,0.467228,train,0.46782935,0.7962997570547561,gumbel_soft
19,0.467228,val,0.4739531,0.7914110429447853,gumbel_soft
19,0.467228,test,0.50284463,0.783128500961458,gumbel_soft
20,0.46231213,train,0.4561783,0.8020411553396042,gumbel_soft
20,0.46231213,val,0.45491812,0.8022866703848299,gumbel_soft
20,0.46231213,test,0.4702717,0.7919906362344286,gumbel_soft
21,0.45684335,train,0.45026806,0.8042006686185345,gumbel_soft
21,0.45684335,val,0.45218828,0.8039598438371445,gumbel_soft
21,0.45684335,test,0.46478173,0.7977593846668338,gumbel_soft
22,0.45200902,train,0.45210475,0.8023630058763679,gumbel_soft
22,0.45200902,val,0.44789138,0.8058189254508273,gumbel_soft
22,0.45200902,test,0.45953116,0.799264275562244,gumbel_soft
23,0.45011538,train,0.4460542,0.8053427189102764,gumbel_soft
23,0.45011538,val,0.44204864,0.8044246142405651,gumbel_soft
23,0.45011538,test,0.46055847,0.801019981606889,gumbel_soft
24,0.4444334,train,0.44252905,0.8079798168566623,gumbel_soft
24,0.4444334,val,0.4418239,0.8042387060791969,gumbel_soft
24,0.4444334,test,0.45996353,0.800183931109439,gumbel_soft
25,0.44245064,train,0.4468579,0.805841068128491,gumbel_soft
25,0.44245064,val,0.45572844,0.7981966908347277,gumbel_soft
25,0.44245064,test,0.4651446,0.7961708887216787,gumbel_soft
26,0.44056726,train,0.4336801,0.8117589650947902,gumbel_soft
26,0.44056726,val,0.4319315,0.8092582264361405,gumbel_soft
26,0.44056726,test,0.4556698,0.800183931109439,gumbel_soft
27,0.43737906,train,0.437223,0.811052970368986,gumbel_soft
27,0.43737906,val,0.4391261,0.8096300427588771,gumbel_soft
27,0.43737906,test,0.45455298,0.8016888220048491,gumbel_soft
28,0.43393084,train,0.4371912,0.8108557071367761,gumbel_soft
28,0.43393084,val,0.43662223,0.8117679866146124,gumbel_soft
28,0.43393084,test,0.4499284,0.8067051249895494,gumbel_soft
29,0.43286714,train,0.43035564,0.814063830229033,gumbel_soft
29,0.43286714,val,0.4318063,0.8081427774679308,gumbel_soft
29,0.43286714,test,0.45030603,0.8020232422038291,gumbel_soft
30,0.42875808,train,0.42903987,0.8135343341846799,gumbel_soft
30,0.42875808,val,0.42797357,0.814835471277189,gumbel_soft
30,0.42875808,test,0.44543982,0.8004347462586741,gumbel_soft
31,0.42660803,train,0.43399486,0.8107622666583608,gumbel_soft
31,0.42660803,val,0.44578558,0.8053541550474066,gumbel_soft
31,0.42660803,test,0.46307924,0.7979265947663239,gumbel_soft
32,0.42861864,train,0.43075895,0.8122573143130049,gumbel_soft
32,0.42861864,val,0.4147642,0.8194831753113961,gumbel_soft
32,0.42861864,test,0.44238886,0.8063707047905694,gumbel_soft
33,0.43035623,train,0.4308319,0.8120289042546565,gumbel_soft
33,0.43035623,val,0.43203485,0.8101877672429819,gumbel_soft
33,0.43035623,test,0.4528012,0.8033609229997491,gumbel_soft
34,0.4279371,train,0.42885736,0.8140949770551714,gumbel_soft
34,0.4279371,val,0.43300834,0.8087005019520357,gumbel_soft
34,0.4279371,test,0.44569397,0.8038625532982192,gumbel_soft
35,0.42788708,train,0.4248039,0.8140326834028946,gumbel_soft
35,0.42788708,val,0.42551175,0.812139802937349,gumbel_soft
35,0.42788708,test,0.4387093,0.8034445280494942,gumbel_soft
36,0.42663178,train,0.4344331,0.811270998151955,gumbel_soft
36,0.42663178,val,0.43639615,0.8112102621305075,gumbel_soft
36,0.42663178,test,0.45291606,0.800267536159184,gumbel_soft
37,0.42983457,train,0.4308341,0.8122573143130049,gumbel_soft
37,0.42983457,val,0.42904073,0.8132552519055587,gumbel_soft
37,0.42983457,test,0.44391015,0.8070395451885294,gumbel_soft
38,0.42357478,train,0.42350122,0.8174069229012231,gumbel_soft
38,0.42357478,val,0.4215958,0.8139059304703476,gumbel_soft
38,0.42357478,test,0.44463706,0.8107181673773096,gumbel_soft
39,0.42536378,train,0.4299588,0.8152785564484313,gumbel_soft
39,0.42536378,val,0.42689148,0.8082357315486149,gumbel_soft
39,0.42536378,test,0.43439302,0.8108017724270546,gumbel_soft
40,0.43137044,train,0.42622313,0.8146867667518013,gumbel_soft
