feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.94799477,-0.051366936,0.21637134,-0.12903096,-0.16492006,0.03146276,0.60747653
attn_0_0_outputs,1,-0.44722113,1.4056462,0.20239939,-0.7972957,-0.8958906,-1.2380822,-0.16618699
attn_0_0_outputs,2,-0.12904386,-0.51151407,0.69185376,-0.771436,-0.82583606,1.2369115,-0.11905824
attn_0_0_outputs,3,-0.550415,0.24423452,-0.70180684,2.2108607,-0.7731865,-0.45411524,0.07706182
attn_0_0_outputs,4,-0.27707165,-0.28925452,-0.15123405,-0.3730774,2.6223438,-0.463914,-2.5067027
attn_0_0_outputs,5,0.014165002,-0.27534527,-0.15363891,-0.64624244,-0.6537958,1.0808032,-0.04667281
attn_0_0_outputs,<pad>,-0.19013919,0.049445953,-0.5054103,0.18745202,-0.10118893,-0.48971814,0.39690402
attn_0_0_outputs,<s>,-0.1999877,-0.07467028,0.50789785,0.46926188,-0.70860803,-0.3544279,0.65504277
attn_0_1_outputs,0,-0.1569452,0.25795612,0.011742435,-0.2039536,-0.14883336,0.10971846,-0.620587
attn_0_1_outputs,1,0.35339063,0.18647559,0.34334096,0.09941745,0.019855518,0.19747935,-0.34531388
attn_0_1_outputs,2,0.2828819,0.39739713,0.15971366,0.10276275,0.09175333,0.25463036,-0.3892858
attn_0_1_outputs,3,0.09704772,0.24490868,-0.02501142,-0.42577162,-0.09843269,0.10345245,-0.62404615
attn_0_1_outputs,4,0.32880893,0.46632406,0.25618878,0.18858576,-0.3489984,0.2196389,-0.94624
attn_0_1_outputs,5,0.20287003,0.3821843,0.15294753,-0.007934562,0.058159847,-0.2654531,-0.2502279
attn_0_1_outputs,<pad>,0.17779398,0.7050782,-0.40679926,-0.14462475,-0.23942311,0.47700796,-0.5949524
attn_0_1_outputs,<s>,-0.22109497,0.117365085,0.06923321,-0.06023008,-0.26080337,0.15112633,0.99900186
attn_0_2_outputs,0,0.6269859,-0.11727818,0.028419727,0.008218566,0.09908191,0.3638729,0.072761364
attn_0_2_outputs,1,-0.44418925,-0.012839905,0.07050489,-0.2386454,-0.45317483,-0.3149311,-0.43497092
attn_0_2_outputs,2,0.022756953,-0.13603717,0.94112587,-0.3651567,-0.34574392,-0.059819553,-0.11324273
attn_0_2_outputs,3,-0.24697748,-0.48241988,-0.45180064,0.2485417,-0.21796307,-0.062214423,-0.3257408
attn_0_2_outputs,4,0.20560598,-0.23041216,-0.11070834,0.12747975,0.124785595,0.3135697,-0.074000776
attn_0_2_outputs,5,0.048331603,-0.1707823,-0.21624321,-0.0041993647,0.07936741,0.4119584,0.06053814
attn_0_2_outputs,<pad>,-0.09268968,-0.09690714,-0.00058667315,-0.074684635,0.3509745,0.13405986,1.0156431
attn_0_2_outputs,<s>,0.06326861,-0.5613862,-0.1274335,0.018857887,-0.2910961,0.18207586,-0.20058687
attn_0_3_outputs,0,0.5600658,-0.800151,-0.29859322,-0.28533372,-0.19844782,-0.23313235,0.020957682
