epoch,epoch_loss,split,loss,acc,sample_fn
0,1.8311493,train,1.4756767,0.4874270645154592,gumbel_soft
0,1.8311493,val,1.4568037,0.5056701989217327,gumbel_soft
0,1.8311493,test,1.4755236,0.49184850764986204,gumbel_soft
1,1.3812083,train,1.3220224,0.519747087771756,gumbel_soft
1,1.3812083,val,1.3260568,0.5265848670756647,gumbel_soft
1,1.3812083,test,1.3276858,0.5193545690159685,gumbel_soft
2,1.2974154,train,1.2765254,0.5243672003156211,gumbel_soft
2,1.2974154,val,1.2783943,0.528815765012084,gumbel_soft
2,1.2974154,test,1.2935972,0.5181004932697935,gumbel_soft
3,1.2559423,train,1.2305828,0.533597043127972,gumbel_soft
3,1.2559423,val,1.2223885,0.5381111730804983,gumbel_soft
3,1.2559423,test,1.2377527,0.5298888052838392,gumbel_soft
4,1.1947907,train,1.148483,0.5517037313897714,gumbel_soft
4,1.1947907,val,1.1430411,0.5554935861684328,gumbel_soft
4,1.1947907,test,1.1606073,0.546359000083605,gumbel_soft
5,1.1098264,train,1.0682992,0.585030835357877,gumbel_soft
5,1.1098264,val,1.0604364,0.5897936419408812,gumbel_soft
5,1.1098264,test,1.0940989,0.5782961290861968,gumbel_soft
6,1.029655,train,0.9937608,0.6117444299092589,gumbel_soft
6,1.029655,val,0.9732666,0.6169362335006506,gumbel_soft
6,1.029655,test,1.0076686,0.6067218459994984,gumbel_soft
7,0.953425,train,0.9082271,0.6373575032704167,gumbel_soft
7,0.953425,val,0.92228955,0.6326454731362707,gumbel_soft
7,0.953425,test,0.9214211,0.6278739235849845,gumbel_soft
8,0.8624809,train,0.82931095,0.6608733570049212,gumbel_soft
8,0.8624809,val,0.8156448,0.6699200594906116,gumbel_soft
8,0.8624809,test,0.83824277,0.654878354652621,gumbel_soft
9,0.7926882,train,0.75936466,0.68725471874416,gumbel_soft
9,0.7926882,val,0.77734476,0.6801450083658672,gumbel_soft
9,0.7926882,test,0.7665134,0.6856450129587827,gumbel_soft
10,0.7271259,train,0.6965726,0.711507714030607,gumbel_soft
10,0.7271259,val,0.6891825,0.7137014314928425,gumbel_soft
10,0.7271259,test,0.7070322,0.708803611738149,gumbel_soft
11,0.68112993,train,0.6531547,0.725845636329658,gumbel_soft
11,0.68112993,val,0.65062755,0.7263431864658858,gumbel_soft
11,0.68112993,test,0.6676653,0.7172477217623945,gumbel_soft
12,0.64450306,train,0.62047553,0.739633298033597,gumbel_soft
12,0.64450306,val,0.638247,0.7327570180330917,gumbel_soft
12,0.64450306,test,0.66385806,0.7198394783044896,gumbel_soft
13,0.60681355,train,0.59672886,0.7460391619427313,gumbel_soft
13,0.60681355,val,0.6058653,0.7423312883435583,gumbel_soft
13,0.60681355,test,0.60650927,0.7431652871833458,gumbel_soft
14,0.58126736,train,0.56633407,0.760543200647854,gumbel_soft
14,0.58126736,val,0.5598037,0.7619445993679123,gumbel_soft
14,0.58126736,test,0.5928719,0.7475127497700861,gumbel_soft
15,0.5566626,train,0.55005705,0.7648103158288171,gumbel_soft
15,0.5566626,val,0.5539603,0.761108012641755,gumbel_soft
15,0.5566626,test,0.5634662,0.7586322213861717,gumbel_soft
16,0.53974545,train,0.52842486,0.773759837205922,gumbel_soft
16,0.53974545,val,0.5364162,0.7704034207101692,gumbel_soft
16,0.53974545,test,0.5461089,0.7661566758632221,gumbel_soft
17,0.5237142,train,0.51376325,0.7814738678128699,gumbel_soft
17,0.5237142,val,0.5174944,0.7779327012455847,gumbel_soft
17,0.5237142,test,0.53467697,0.7717582141961374,gumbel_soft
18,0.50805354,train,0.4992756,0.7855748665877613,gumbel_soft
18,0.50805354,val,0.49758315,0.7864844766685257,gumbel_soft
18,0.50805354,test,0.5216683,0.7758548616336427,gumbel_soft
19,0.4977637,train,0.4875352,0.7889387238107104,gumbel_soft
19,0.4977637,val,0.4946472,0.7901096858152072,gumbel_soft
19,0.4977637,test,0.5044661,0.781958030265028,gumbel_soft
20,0.48497206,train,0.48210177,0.7916381154093731,gumbel_soft
20,0.48497206,val,0.4758168,0.7945714816880461,gumbel_soft
20,0.48497206,test,0.4892206,0.7950840230749937,gumbel_soft
21,0.47775844,train,0.4776266,0.7941921551527232,gumbel_soft
21,0.47775844,val,0.47104093,0.8011712214166202,gumbel_soft
21,0.47775844,test,0.4933874,0.7850514171055932,gumbel_soft
22,0.4687355,train,0.46363336,0.8000477584667456,gumbel_soft
22,0.4687355,val,0.45760274,0.8016359918200409,gumbel_soft
22,0.4687355,test,0.47562373,0.7955856533734638,gumbel_soft
23,0.45913243,train,0.4514564,0.8050208683735127,gumbel_soft
23,0.45913243,val,0.46323216,0.7964305633017289,gumbel_soft
23,0.45913243,test,0.46841335,0.7931611069308586,gumbel_soft
24,0.45710048,train,0.4557921,0.8048651342428207,gumbel_soft
24,0.45710048,val,0.45045492,0.803680981595092,gumbel_soft
24,0.45710048,test,0.45992273,0.8024412674525542,gumbel_soft
25,0.44939357,train,0.4477606,0.8056334226209017,gumbel_soft
25,0.44939357,val,0.43332812,0.8100948131622978,gumbel_soft
25,0.44939357,test,0.47524604,0.7920742412841736,gumbel_soft
26,0.44841284,train,0.447949,0.8083224319441848,gumbel_soft
26,0.44841284,val,0.4391779,0.8111173080498234,gumbel_soft
26,0.44841284,test,0.4807016,0.7912381907867235,gumbel_soft
27,0.44153604,train,0.44025669,0.808831163437779,gumbel_soft
27,0.44153604,val,0.4374087,0.8104666294850343,gumbel_soft
27,0.44153604,test,0.47239503,0.7925758715826436,gumbel_soft
28,0.43735093,train,0.43192315,0.8121742561099691,gumbel_soft
28,0.43735093,val,0.44394946,0.8079568693065625,gumbel_soft
28,0.43735093,test,0.4644466,0.7981774099155589,gumbel_soft
29,0.4380397,train,0.43444046,0.8122884611391432,gumbel_soft
29,0.4380397,val,0.42588264,0.819390221230712,gumbel_soft
29,0.4380397,test,0.47150442,0.7985954351642839,gumbel_soft
30,0.43053547,train,0.42692178,0.8153304678253286,gumbel_soft
30,0.43053547,val,0.4222692,0.8136270682282952,gumbel_soft
30,0.43053547,test,0.473586,0.7960872836719338,gumbel_soft
31,0.42949754,train,0.42426747,0.8178325961917814,gumbel_soft
31,0.42949754,val,0.42003536,0.8159509202453987,gumbel_soft
31,0.42949754,test,0.45350295,0.8029428977510241,gumbel_soft
32,0.4279828,train,0.43023035,0.8163375485371374,gumbel_soft
32,0.4279828,val,0.42338094,0.8188324967466072,gumbel_soft
32,0.4279828,test,0.45061836,0.8036953431987292,gumbel_soft
33,0.42601925,train,0.42008096,0.8194833779771175,gumbel_soft
33,0.42601925,val,0.42412838,0.8157650120840305,gumbel_soft
33,0.42601925,test,0.43888736,0.8077083855864894,gumbel_soft
34,0.4260685,train,0.42187083,0.8188915882804876,gumbel_soft
34,0.4260685,val,0.4241012,0.8192043130693437,gumbel_soft
34,0.4260685,test,0.44187295,0.8112197976757796,gumbel_soft
35,0.4232027,train,0.4210416,0.8177080088872277,gumbel_soft
35,0.4232027,val,0.41908655,0.8192972671500279,gumbel_soft
35,0.4232027,test,0.44845995,0.8029428977510241,gumbel_soft
36,0.42360142,train,0.4232464,0.8175418924811562,gumbel_soft
36,0.42360142,val,0.421414,0.8168804610522402,gumbel_soft
36,0.42360142,test,0.42825332,0.8113870077752696,gumbel_soft
37,0.4240217,train,0.41840595,0.8187047073236571,gumbel_soft
37,0.4240217,val,0.4357924,0.8119538947759807,gumbel_soft
37,0.4240217,test,0.4486399,0.8033609229997491,gumbel_soft
38,0.42387182,train,0.42160216,0.8189538819327644,gumbel_soft
38,0.42387182,val,0.41782698,0.8225506599739728,gumbel_soft
38,0.42387182,test,0.4354961,0.8070395451885294,gumbel_soft
39,0.42507452,train,0.42472085,0.8180713885255092,gumbel_soft
39,0.42507452,val,0.43712735,0.8113961702918758,gumbel_soft
39,0.42507452,test,0.44405073,0.8062870997408244,gumbel_soft
40,0.42249733,train,0.42181742,0.8191303806142154,gumbel_soft
40,0.42249733,val,0.41351876,0.8212493028443949,gumbel_soft
40,0.42249733,test,0.44087628,0.8041969734971992,gumbel_soft
41,0.42226544,train,0.4241094,0.8178118316410224,gumbel_soft
41,0.42226544,val,0.46006155,0.8064696040156163,gumbel_soft
41,0.42226544,test,0.43902513,0.8114706128250146,gumbel_soft
42,0.42680526,train,0.4216822,0.8175315102057767,gumbel_soft
42,0.42680526,val,0.42810175,0.817345231455661,gumbel_soft
42,0.42680526,test,0.44604915,0.8054510492433743,gumbel_soft
43,0.42360404,train,0.42627543,0.8179675657717145,gumbel_soft
43,0.42360404,val,0.43738946,0.8116750325339283,gumbel_soft
43,0.42360404,test,0.4480949,0.8026084775520441,gumbel_soft
44,0.4298156,train,0.4285173,0.815403143752985,gumbel_soft
44,0.4298156,val,0.42162442,0.8177170477783975,gumbel_soft
44,0.4298156,test,0.4341553,0.8109689825265446,gumbel_soft
45,0.42710635,train,0.4272241,0.8164517535663116,gumbel_soft
45,0.42710635,val,0.42233568,0.8178100018590816,gumbel_soft
45,0.42710635,test,0.45389655,0.8083772259844495,gumbel_soft
46,0.42909595,train,0.43387437,0.8139911543013767,gumbel_soft
46,0.42909595,val,0.43762037,0.8136270682282952,gumbel_soft
46,0.42909595,test,0.45750678,0.8032773179500042,gumbel_soft
47,0.43107492,train,0.42761162,0.8170020141614236,gumbel_soft
47,0.43107492,val,0.4214759,0.8204127161182376,gumbel_soft
47,0.43107492,test,0.44872615,0.8065379148900593,gumbel_soft
48,0.43140554,train,0.4372475,0.8139911543013767,gumbel_soft
48,0.43140554,val,0.42740187,0.8191113589886596,gumbel_soft
48,0.43140554,test,0.45407847,0.8041969734971992,gumbel_soft
49,0.43587047,train,0.4307114,0.8142299466351045,gumbel_soft
49,0.43587047,val,0.46237448,0.8051682468860383,gumbel_soft
49,0.43587047,test,0.4692292,0.7990134604130089,gumbel_soft
50,0.43704668,train,0.43446338,0.8137938910691667,gumbel_soft
50,0.43704668,val,0.4383252,0.8118609406952966,gumbel_soft
50,0.43704668,test,0.44187915,0.8091296714321545,gumbel_soft
51,0.44007415,train,0.4393166,0.811644760065616,gumbel_soft
51,0.44007415,val,0.42855963,0.8179959100204499,gumbel_soft
51,0.44007415,test,0.44615808,0.8066215199398044,gumbel_soft
52,0.43597597,train,0.4417424,0.8134616582570237,gumbel_soft
52,0.43597597,val,0.4556587,0.8042387060791969,gumbel_soft
52,0.43597597,test,0.45755774,0.8018560321043391,gumbel_soft
53,0.44255877,train,0.44592786,0.8091426316991632,gumbel_soft
53,0.44255877,val,0.43363306,0.8132552519055587,gumbel_soft
53,0.44255877,test,0.46844286,0.7970905442688738,gumbel_soft
54,0.44666544,train,0.4437905,0.8111983222242987,gumbel_soft
54,0.44666544,val,0.43768516,0.8105595835657186,gumbel_soft
54,0.44666544,test,0.45851165,0.8053674441936293,gumbel_soft
55,0.4421576,train,0.44585305,0.8106480616291867,gumbel_soft
55,0.4421576,val,0.44632915,0.8072132366610895,gumbel_soft
55,0.4421576,test,0.48948497,0.7929938968313686,gumbel_soft
56,0.45072445,train,0.43973982,0.8126310762266659,gumbel_soft
56,0.45072445,val,0.43741897,0.8116750325339283,gumbel_soft
56,0.45072445,test,0.46852037,0.8030265028007691,gumbel_soft
57,0.4484545,train,0.44352227,0.8103677401939409,gumbel_soft
57,0.4484545,val,0.4370316,0.8102807213236661,gumbel_soft
57,0.4484545,test,0.48032248,0.7934119220800936,gumbel_soft
58,0.4488092,train,0.4484222,0.8105027097738741,gumbel_soft
58,0.4488092,val,0.4428458,0.8105595835657186,gumbel_soft
58,0.4488092,test,0.4742425,0.7972577543683639,gumbel_soft
59,0.4495431,train,0.44948632,0.8091841608006811,gumbel_soft
59,0.4495431,val,0.46164057,0.8046105224019334,gumbel_soft
59,0.4495431,test,0.4875684,0.7906529554385084,gumbel_soft
60,0.45112106,train,0.45003453,0.8079279054797649,gumbel_soft
60,0.45112106,val,0.44484386,0.8124186651794014,gumbel_soft
60,0.45112106,test,0.45190087,0.800351141208929,gumbel_soft
61,0.452283,train,0.4531086,0.8067547083618846,gumbel_soft
61,0.452283,val,0.44360968,0.8041457519985127,gumbel_soft
61,0.452283,test,0.4675818,0.800601956358164,gumbel_soft
62,0.454359,train,0.45506456,0.8069727361448535,gumbel_soft
62,0.454359,val,0.4479451,0.8067484662576687,gumbel_soft
62,0.454359,test,0.49122173,0.7939135523785636,gumbel_soft
63,0.45411658,train,0.45997298,0.8053323366348969,gumbel_soft
63,0.45411658,val,0.46040872,0.8016359918200409,gumbel_soft
63,0.45411658,test,0.47356328,0.7934119220800936,gumbel_soft
64,0.4570146,train,0.4513556,0.8072530575800992,gumbel_soft
64,0.4570146,val,0.46418646,0.7997769102063581,gumbel_soft
64,0.4570146,test,0.46956345,0.7969233341693839,gumbel_soft
65,0.45855644,train,0.4547908,0.8072219107539609,gumbel_soft
65,0.45855644,val,0.44006062,0.8157650120840305,gumbel_soft
65,0.45855644,test,0.50756025,0.7883120140456483,gumbel_soft
66,0.4661205,train,0.4574331,0.8040968458647397,gumbel_soft
66,0.4661205,val,0.46832597,0.797824874511991,gumbel_soft
66,0.4661205,test,0.4657357,0.8031937129002592,gumbel_soft
67,0.45845172,train,0.4613649,0.8027782968915468,gumbel_soft
67,0.45845172,val,0.48178366,0.7995910020449898,gumbel_soft
