feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,1.7476327,0.37215933,-0.43664044,-0.080014065,-0.10722127,-0.6965317,0.013744331
attn_0_0_outputs,1,-0.49248573,1.8626796,-0.46562368,-0.31783402,-0.5503323,-0.41697568,-0.6570931
attn_0_0_outputs,2,-0.031471603,-0.38699287,1.8113701,0.04969468,-0.19626091,-0.4684349,-0.31161767
attn_0_0_outputs,3,-0.32677922,-0.5671069,-0.31387845,1.4891198,-0.48013043,-0.7357117,0.85973555
attn_0_0_outputs,4,-0.5065973,0.011096986,-0.6909264,-0.27528507,1.1209259,-0.39977583,-0.17598724
attn_0_0_outputs,5,0.019626461,-0.28644928,-0.20811614,-0.2012447,-0.3352505,1.9248306,-0.14955875
attn_0_0_outputs,<pad>,0.21995391,-0.097950034,-0.110675186,0.4291112,0.62509966,-0.0113538,-0.38658392
attn_0_0_outputs,<s>,-0.05818454,-0.26341835,-0.42619595,0.082175024,-0.33020428,-0.010192977,0.80558497
attn_0_1_outputs,0,-0.4669749,0.5830127,0.3646815,-0.10693513,0.20095846,0.3419922,-0.531298
attn_0_1_outputs,1,0.1740288,-0.48249203,0.10465783,0.33907115,0.06306415,-0.07569856,-0.44541112
attn_0_1_outputs,2,0.26709056,0.050780024,-0.7417606,0.3861328,-0.032507993,0.27270818,-0.63851565
attn_0_1_outputs,3,0.50840074,0.5950104,0.49977311,-0.7965495,0.38648772,0.7954105,0.0068877256
attn_0_1_outputs,4,0.7825624,0.7391701,0.5976378,0.7156897,-1.2640493,0.7101214,-0.12726009
attn_0_1_outputs,5,0.6748035,0.22444531,0.43667382,0.6312126,0.22887166,-1.2526431,-0.5540971
attn_0_1_outputs,<pad>,-0.43730256,-0.1801861,-0.40392756,0.24431795,-0.1852989,0.022008453,0.01659355
attn_0_1_outputs,<s>,0.5632118,0.06865615,-0.24390768,-0.22355507,-0.3971566,0.27289563,0.35476333
attn_0_2_outputs,0,0.13310668,-0.29968923,0.10399459,-0.058549874,-0.26387835,0.16685747,-0.06354594
attn_0_2_outputs,1,0.14974245,0.5440366,0.13483986,0.12481872,-0.26399374,0.30839545,0.235702
attn_0_2_outputs,2,0.2636371,-0.23968798,0.46077678,0.073339425,-0.31040168,0.112161756,0.44381273
