epoch,epoch_loss,split,loss,acc,sample_fn
0,1.6547515,train,1.4134879,0.39126399802016953,gumbel_soft
0,1.6547515,val,1.4215999,0.38422145328719726,gumbel_soft
0,1.6547515,test,1.4186492,0.37904333708005494,gumbel_soft
1,1.3329595,train,1.2773799,0.45027222669058964,gumbel_soft
1,1.3329595,val,1.2812923,0.4467820069204152,gumbel_soft
1,1.3329595,test,1.2752522,0.45135506431872113,gumbel_soft
2,1.2538505,train,1.2322387,0.464935346160985,gumbel_soft
2,1.2538505,val,1.2328123,0.46186851211072666,gumbel_soft
2,1.2538505,test,1.2421349,0.4554764580991632,gumbel_soft
3,1.2151308,train,1.1874996,0.48422322588628347,gumbel_soft
3,1.2151308,val,1.2013987,0.47460207612456745,gumbel_soft
3,1.2151308,test,1.201082,0.47021356313225926,gumbel_soft
4,1.150416,train,1.0861273,0.5419940605085689,gumbel_soft
4,1.150416,val,1.0935376,0.5442214532871972,gumbel_soft
4,1.150416,test,1.1165102,0.5241663544398651,gumbel_soft
5,1.0274278,train,0.9534957,0.6260595186537152,gumbel_soft
5,1.0274278,val,0.95397115,0.6290657439446367,gumbel_soft
5,1.0274278,test,0.9486439,0.6235793680529537,gumbel_soft
6,0.92809516,train,0.89901054,0.6692136360824105,gumbel_soft
6,0.92809516,val,0.92160463,0.6405536332179931,gumbel_soft
6,0.92809516,test,0.90019804,0.6692893717996753,gumbel_soft
7,0.87924826,train,0.85165805,0.6905586834127327,gumbel_soft
7,0.87924826,val,0.84205616,0.6808304498269896,gumbel_soft
7,0.87924826,test,0.84620404,0.6868989634070188,gumbel_soft
8,0.83200836,train,0.8068392,0.7034585163645363,gumbel_soft
8,0.83200836,val,0.7974572,0.7208304498269896,gumbel_soft
8,0.83200836,test,0.8120371,0.6913950293493194,gumbel_soft
9,0.7839512,train,0.7485499,0.7264895130854421,gumbel_soft
9,0.7839512,val,0.73485374,0.7350865051903114,gumbel_soft
9,0.7839512,test,0.7459325,0.7217434744598477,gumbel_soft
10,0.7269049,train,0.6994493,0.7428849842232259,gumbel_soft
10,0.7269049,val,0.6692177,0.7667820069204152,gumbel_soft
10,0.7269049,test,0.69924694,0.742850006244536,gumbel_soft
11,0.6796142,train,0.6587032,0.7657922415393182,gumbel_soft
11,0.6796142,val,0.63080317,0.7750865051903114,gumbel_soft
11,0.6796142,test,0.66290385,0.7553390783064818,gumbel_soft
12,0.63978416,train,0.61870927,0.7800686753696715,gumbel_soft
12,0.63978416,val,0.6008308,0.7796539792387543,gumbel_soft
12,0.63978416,test,0.6286269,0.7629574122642687,gumbel_soft
13,0.60844225,train,0.5918899,0.7975004640227681,gumbel_soft
13,0.60844225,val,0.55484563,0.8316955017301038,gumbel_soft
13,0.60844225,test,0.5847281,0.8071687273635569,gumbel_soft
14,0.5787823,train,0.56293905,0.8084668687743612,gumbel_soft
14,0.5787823,val,0.554408,0.8022145328719723,gumbel_soft
14,0.5787823,test,0.562263,0.8080429624078931,gumbel_soft
15,0.55420625,train,0.5447633,0.8196188826331745,gumbel_soft
15,0.55420625,val,0.5275983,0.8157785467128028,gumbel_soft
15,0.55420625,test,0.54206556,0.811290121143999,gumbel_soft
16,0.5370273,train,0.52699256,0.8225422260718926,gumbel_soft
16,0.5370273,val,0.50012696,0.8236678200692041,gumbel_soft
16,0.5370273,test,0.5151558,0.8280254777070064,gumbel_soft
17,0.5188798,train,0.5110037,0.8268421703891604,gumbel_soft
17,0.5188798,val,0.49806213,0.8301730103806229,gumbel_soft
17,0.5188798,test,0.51253414,0.8317721993255901,gumbel_soft
18,0.5039981,train,0.49692476,0.8312349192600383,gumbel_soft
18,0.5039981,val,0.4801273,0.8404152249134949,gumbel_soft
18,0.5039981,test,0.49032134,0.8326464343699264,gumbel_soft
19,0.4912794,train,0.48055398,0.8280486295860917,gumbel_soft
19,0.4912794,val,0.46628186,0.8377854671280277,gumbel_soft
19,0.4912794,test,0.47769663,0.827650805545148,gumbel_soft
20,0.4747258,train,0.46739653,0.8367722576254408,gumbel_soft
20,0.4747258,val,0.43859068,0.8525951557093425,gumbel_soft
20,0.4747258,test,0.4531321,0.8381416260771825,gumbel_soft
21,0.4564698,train,0.43456307,0.8484501639547114,gumbel_soft
21,0.4564698,val,0.42535824,0.8524567474048443,gumbel_soft
21,0.4564698,test,0.43562922,0.8430123641813413,gumbel_soft
22,0.40707234,train,0.34699696,0.8854482459939368,gumbel_soft
22,0.40707234,val,0.3423919,0.8862283737024221,gumbel_soft
22,0.40707234,test,0.344032,0.8852254277507181,gumbel_soft
23,0.29549405,train,0.24935476,0.9259264987935408,gumbel_soft
23,0.29549405,val,0.22989929,0.9307958477508651,gumbel_soft
23,0.29549405,test,0.23612347,0.9306856500562009,gumbel_soft
24,0.2139406,train,0.17393228,0.9546031058590608,gumbel_soft
24,0.2139406,val,0.1905252,0.9494809688581315,gumbel_soft
24,0.2139406,test,0.17494695,0.9496690395903584,gumbel_soft
25,0.16715048,train,0.15200873,0.9644403885417311,gumbel_soft
25,0.16715048,val,0.13078326,0.9709342560553633,gumbel_soft
25,0.16715048,test,0.12932952,0.9726489321843387,gumbel_soft
26,0.14171739,train,0.13351585,0.9685701911773804,gumbel_soft
26,0.14171739,val,0.12469451,0.9728719723183391,gumbel_soft
26,0.14171739,test,0.12490436,0.9710253528162858,gumbel_soft
27,0.13026212,train,0.12532037,0.9711223164016581,gumbel_soft
27,0.13026212,val,0.121188544,0.9694117647058823,gumbel_soft
27,0.13026212,test,0.11665459,0.9740227301111527,gumbel_soft
28,0.12577143,train,0.12608838,0.9700705314607436,gumbel_soft
28,0.12577143,val,0.10952556,0.9767474048442907,gumbel_soft
28,0.12577143,test,0.104067855,0.9785187960534533,gumbel_soft
29,0.12401109,train,0.116879076,0.972638124110623,gumbel_soft
29,0.12401109,val,0.11055582,0.975916955017301,gumbel_soft
29,0.12401109,test,0.10606843,0.976270763082303,gumbel_soft
30,0.1169023,train,0.1141569,0.9733341582626988,gumbel_soft
30,0.1169023,val,0.1160881,0.9738408304498269,gumbel_soft
30,0.1169023,test,0.10228077,0.9760209816410641,gumbel_soft
31,0.11301595,train,0.11495347,0.9720348945121574,gumbel_soft
31,0.11301595,val,0.098726794,0.9767474048442907,gumbel_soft
31,0.11301595,test,0.10071251,0.9760209816410641,gumbel_soft
32,0.10985656,train,0.10759563,0.9743086060756048,gumbel_soft
32,0.10985656,val,0.10040766,0.9764705882352941,gumbel_soft
32,0.10985656,test,0.09621193,0.9781441238915949,gumbel_soft
33,0.10739269,train,0.10620356,0.9736589742003341,gumbel_soft
33,0.10739269,val,0.1059883,0.9749480968858132,gumbel_soft
33,0.10739269,test,0.09222739,0.979018358935931,gumbel_soft
34,0.10517394,train,0.104021534,0.9742776712244015,gumbel_soft
34,0.10517394,val,0.09303714,0.9779930795847751,gumbel_soft
34,0.10517394,test,0.09460117,0.9768952166854002,gumbel_soft
35,0.10287013,train,0.10151768,0.9743395409268082,gumbel_soft
35,0.10287013,val,0.09331128,0.9761937716262976,gumbel_soft
35,0.10287013,test,0.09512624,0.9782690146122143,gumbel_soft
36,0.101495124,train,0.09696527,0.9756697395285528,gumbel_soft
36,0.101495124,val,0.08795966,0.9786851211072665,gumbel_soft
36,0.101495124,test,0.088494375,0.9795179218184089,gumbel_soft
37,0.10260752,train,0.097075626,0.9758398812101714,gumbel_soft
37,0.10260752,val,0.08755668,0.9792387543252595,gumbel_soft
37,0.10260752,test,0.08132381,0.9801423754215062,gumbel_soft
38,0.096367516,train,0.10546378,0.9730402771762667,gumbel_soft
38,0.096367516,val,0.07904788,0.981038062283737,gumbel_soft
38,0.096367516,test,0.08268315,0.9817659547895591,gumbel_soft
39,0.09073199,train,0.09353857,0.9763348388294252,gumbel_soft
39,0.09073199,val,0.0744715,0.9821453287197232,gumbel_soft
39,0.09073199,test,0.07861089,0.9828899712751342,gumbel_soft
40,0.08954527,train,0.08482976,0.9788250943512962,gumbel_soft
40,0.08954527,val,0.074285954,0.9832525951557094,gumbel_soft
40,0.08954527,test,0.07891177,0.9825152991132758,gumbel_soft
41,0.08634344,train,0.08589858,0.9789178989049062,gumbel_soft
41,0.08634344,val,0.0797538,0.9797923875432526,gumbel_soft
41,0.08634344,test,0.07513092,0.983639315598851,gumbel_soft
42,0.082988694,train,0.07854886,0.981222545319557,gumbel_soft
42,0.082988694,val,0.079475574,0.9829757785467128,gumbel_soft
