feature,value,0,1,2,3,4
attn_0_0_outputs,0,2.9588919,-1.9341996,0.5218946,-1.4393811,-2.1869273
attn_0_0_outputs,1,-2.57716,3.3587391,-3.6227217,-2.1250567,-0.97163725
attn_0_0_outputs,2,0.7486825,-1.8498828,3.5435398,-1.6287066,-1.888798
attn_0_0_outputs,3,-0.9173903,-1.0405492,-2.0672696,3.6096506,-1.7989686
attn_0_0_outputs,4,-1.3921934,-1.162379,-1.311046,-0.0016738076,2.4521983
attn_0_0_outputs,</s>,-0.13768294,-0.615696,-0.5020328,-0.05124833,0.23589091
attn_0_0_outputs,<pad>,0.116178066,-0.6468909,-0.5334311,-0.30580243,-0.115644746
attn_0_0_outputs,<s>,0.45339704,-0.5411,-0.07130565,1.6671399,-0.5953175
attn_0_1_outputs,0,1.8060957,-2.0241961,2.3056853,-1.4853729,-3.0045505
attn_0_1_outputs,1,-0.8305014,2.3386123,-0.23316105,-1.4593995,-2.9941356
attn_0_1_outputs,2,2.100049,-1.6533496,1.1276972,-0.61076707,-2.3014138
attn_0_1_outputs,3,-1.4498188,-1.7801824,-2.8529253,3.88324,-0.1693705
attn_0_1_outputs,4,-1.401673,-1.170733,-1.9102513,-0.09673266,2.881994
attn_0_1_outputs,</s>,-0.88860404,0.28122565,0.6911378,0.5665071,0.010648299
attn_0_1_outputs,<pad>,0.09892918,0.28860113,0.13587092,0.4380614,-0.049890395
attn_0_1_outputs,<s>,-0.4219089,0.5501188,-0.86804366,0.03346137,-0.632097
attn_0_2_outputs,0,2.3270273,-1.5988452,2.7714853,-0.9620634,-1.6997305
attn_0_2_outputs,1,-1.023178,2.3730779,0.39008975,-0.90120155,-2.8438842
attn_0_2_outputs,2,2.2731705,-1.7190791,0.8839159,0.0072154854,-0.97630453
attn_0_2_outputs,3,-1.8261175,-1.9010637,-2.342072,3.9616716,0.5660788
attn_0_2_outputs,4,-1.9658723,-1.7070224,-1.9708501,-0.5516906,3.7342386
attn_0_2_outputs,</s>,-1.933243,0.5061033,1.7935712,0.5070374,0.24308257
attn_0_2_outputs,<pad>,-0.2425771,-0.4525118,-0.13765302,-0.3958145,0.0838593
attn_0_2_outputs,<s>,0.78567356,1.8271546,-2.0281126,-0.4183974,-0.2209466
attn_0_3_outputs,0,1.3822792,0.123005606,-1.3392286,0.2749503,0.7639394
attn_0_3_outputs,1,1.0758626,-0.773758,-1.209066,0.581632,0.6749618
attn_0_3_outputs,2,-0.71644014,0.9967555,0.105342604,-0.84073335,0.9673385
attn_0_3_outputs,3,1.1984451,-0.049403068,0.54293513,-0.4294009,-1.2300669
attn_0_3_outputs,4,1.3729608,0.10592396,-0.39096966,-0.32220662,-0.21530774
attn_0_3_outputs,</s>,-0.5168732,-0.7873627,-0.09949636,1.2877373,-0.22580612
attn_0_3_outputs,<pad>,-0.3235891,0.5259284,-0.14164752,0.11527711,0.14995855
