epoch,epoch_loss,split,loss,acc,sample_fn
0,2.3773537,train,2.142881,0.22991626418221828,gumbel_soft
0,2.3773537,val,2.1742816,0.2257918843945552,gumbel_soft
0,2.3773537,test,2.1502318,0.22856315179606027,gumbel_soft
1,2.0223782,train,1.9460727,0.26339630190620444,gumbel_soft
1,2.0223782,val,1.954786,0.2610154183601058,gumbel_soft
1,2.0223782,test,1.9473423,0.26031286210892235,gumbel_soft
2,1.9238566,train,1.9044393,0.26725443685519135,gumbel_soft
2,1.9238566,val,1.9204043,0.2603057867234372,gumbel_soft
2,1.9238566,test,1.9106909,0.26778679026651214,gumbel_soft
3,1.889565,train,1.8669893,0.2690906233031351,gumbel_soft
3,1.889565,val,1.878686,0.26366040900587057,gumbel_soft
3,1.889565,test,1.8757226,0.2695249130938586,gumbel_soft
4,1.852199,train,1.8306834,0.27230573576062417,gumbel_soft
4,1.852199,val,1.8450309,0.2685633184955809,gumbel_soft
4,1.852199,test,1.8460984,0.2728273464658169,gumbel_soft
5,1.8140252,train,1.795015,0.2808436455088451,gumbel_soft
5,1.8140252,val,1.8034464,0.278691697309851,gumbel_soft
5,1.8140252,test,1.8002001,0.2786790266512167,gumbel_soft
6,1.7825953,train,1.764016,0.28801691863622075,gumbel_soft
6,1.7825953,val,1.7730938,0.2807560802528869,gumbel_soft
6,1.7825953,test,1.7683005,0.2876593279258401,gumbel_soft
7,1.752752,train,1.7373855,0.29116772884456005,gumbel_soft
7,1.752752,val,1.7522892,0.2864976453132056,gumbel_soft
7,1.752752,test,1.7453699,0.2909617612977984,gumbel_soft
8,1.7275957,train,1.7135723,0.29651910491269184,gumbel_soft
8,1.7275957,val,1.7303382,0.2936584736468615,gumbel_soft
8,1.7275957,test,1.7186035,0.29710312862108923,gumbel_soft
9,1.7061322,train,1.6943402,0.3016775742333743,gumbel_soft
9,1.7061322,val,1.7072464,0.2972711437971744,gumbel_soft
9,1.7061322,test,1.7012813,0.30110081112398607,gumbel_soft
10,1.6851531,train,1.6742834,0.30583578634506015,gumbel_soft
10,1.6851531,val,1.6897621,0.30236758918779433,gumbel_soft
10,1.6851531,test,1.6841316,0.3046349942062572,gumbel_soft
11,1.6646786,train,1.6528494,0.3131519533594353,gumbel_soft
11,1.6646786,val,1.6679224,0.30733501064447455,gumbel_soft
11,1.6646786,test,1.6602702,0.3129200463499421,gumbel_soft
12,1.644013,train,1.6288755,0.3186748020919665,gumbel_soft
12,1.644013,val,1.6430798,0.3127540158699439,gumbel_soft
12,1.644013,test,1.6340013,0.31998841251448434,gumbel_soft
13,1.6227698,train,1.6108017,0.3242405189905976,gumbel_soft
13,1.6227698,val,1.621789,0.3244306818914909,gumbel_soft
13,1.6227698,test,1.6175554,0.3223638470451912,gumbel_soft
14,1.6034518,train,1.5935296,0.32807007516218456,gumbel_soft
14,1.6034518,val,1.6078993,0.3250112895942197,gumbel_soft
14,1.6034518,test,1.599766,0.3323870220162225,gumbel_soft
15,1.5863414,train,1.5750055,0.33231402360607015,gumbel_soft
15,1.5863414,val,1.5900095,0.32901103154635186,gumbel_soft
15,1.5863414,test,1.5858086,0.3302433371958285,gumbel_soft
16,1.5691013,train,1.5604701,0.3347289302963619,gumbel_soft
16,1.5691013,val,1.5754466,0.3329462615315141,gumbel_soft
16,1.5691013,test,1.5670995,0.3347624565469293,gumbel_soft
17,1.5550268,train,1.5460159,0.338829984853248,gumbel_soft
17,1.5550268,val,1.5622754,0.3343655248048513,gumbel_soft
17,1.5550268,test,1.5535269,0.33870220162224796,gumbel_soft
18,1.5416801,train,1.5336504,0.34058043496899204,gumbel_soft
18,1.5416801,val,1.5492814,0.33855880265789307,gumbel_soft
18,1.5416801,test,1.5384799,0.34125144843568944,gumbel_soft
19,1.5307113,train,1.5241325,0.3406161584407419,gumbel_soft
19,1.5307113,val,1.5436608,0.33875233855880266,gumbel_soft
19,1.5307113,test,1.5311824,0.3382966396292005,gumbel_soft
20,1.5188621,train,1.5097963,0.3443242548083793,gumbel_soft
20,1.5188621,val,1.5251751,0.33952648216244113,gumbel_soft
20,1.5188621,test,1.5193492,0.3462920046349942,gumbel_soft
21,1.5085284,train,1.5024626,0.34483867280157754,gumbel_soft
21,1.5085284,val,1.5181268,0.343139152312754,gumbel_soft
21,1.5085284,test,1.5067413,0.3447276940903824,gumbel_soft
22,1.498798,train,1.4895858,0.34766082706981793,gumbel_soft
22,1.498798,val,1.5087335,0.3426875685439649,gumbel_soft
22,1.498798,test,1.497539,0.3485515643105446,gumbel_soft
23,1.4891503,train,1.4820853,0.34898974021891344,gumbel_soft
23,1.4891503,val,1.4883214,0.3522353396555061,gumbel_soft
23,1.4891503,test,1.4842595,0.34675550405561995,gumbel_soft
24,1.482687,train,1.4750733,0.349711354348261,gumbel_soft
24,1.482687,val,1.4879625,0.347719501967615,gumbel_soft
24,1.482687,test,1.4747269,0.351332560834299,gumbel_soft
25,1.4736103,train,1.4672943,0.35131176588265556,gumbel_soft
25,1.4736103,val,1.4781169,0.34655828656215726,gumbel_soft
25,1.4736103,test,1.4661032,0.3505214368482039,gumbel_soft
26,1.4672285,train,1.4621984,0.3504115343945586,gumbel_soft
26,1.4672285,val,1.4712228,0.35352557899490356,gumbel_soft
26,1.4672285,test,1.4645693,0.3472190034762457,gumbel_soft
27,1.4591378,train,1.4533035,0.352069103483753,gumbel_soft
27,1.4591378,val,1.4642423,0.34926778917489193,gumbel_soft
27,1.4591378,test,1.4608489,0.3511587485515643,gumbel_soft
28,1.4531647,train,1.4451929,0.35404818381869624,gumbel_soft
28,1.4531647,val,1.4626316,0.34830010967034386,gumbel_soft
28,1.4531647,test,1.4549448,0.353765932792584,gumbel_soft
29,1.4461374,train,1.4387609,0.35474836386499387,gumbel_soft
29,1.4461374,val,1.4662359,0.3443003677182117,gumbel_soft
29,1.4461374,test,1.4474734,0.3519698725376593,gumbel_soft
30,1.4382366,train,1.4337463,0.3562201709010889,gumbel_soft
30,1.4382366,val,1.4458027,0.35371911489581315,gumbel_soft
30,1.4382366,test,1.4362284,0.3586906141367323,gumbel_soft
31,1.4327263,train,1.4265213,0.35789917407333316,gumbel_soft
31,1.4327263,val,1.4390831,0.35159021998580736,gumbel_soft
31,1.4327263,test,1.4295175,0.3571842410196987,gumbel_soft
32,1.425628,train,1.4208891,0.35704895544568604,gumbel_soft
32,1.425628,val,1.4268731,0.3577188568479453,gumbel_soft
32,1.425628,test,1.4289224,0.35359212050984934,gumbel_soft
33,1.4187877,train,1.41481,0.36015689748792545,gumbel_soft
33,1.4187877,val,1.4291582,0.3552028901361203,gumbel_soft
33,1.4187877,test,1.42329,0.36309385863267674,gumbel_soft
34,1.4129665,train,1.4095103,0.3612643251121717,gumbel_soft
34,1.4129665,val,1.4188471,0.3603638474937101,gumbel_soft
34,1.4129665,test,1.423233,0.35585168018539975,gumbel_soft
35,1.4091119,train,1.4047756,0.3609856820325226,gumbel_soft
35,1.4091119,val,1.419491,0.3533965550609638,gumbel_soft
35,1.4091119,test,1.4150335,0.35689455388180763,gumbel_soft
36,1.4033675,train,1.4009197,0.3624717784573176,gumbel_soft
36,1.4033675,val,1.4147633,0.35681568931036706,gumbel_soft
36,1.4033675,test,1.4087536,0.3600811123986095,gumbel_soft
37,1.3993224,train,1.3928694,0.3638864279386128,gumbel_soft
37,1.3993224,val,1.4089572,0.3598477517579511,gumbel_soft
37,1.3993224,test,1.4055288,0.36077636152954806,gumbel_soft
38,1.3924277,train,1.3877788,0.3649009745363093,gumbel_soft
38,1.3924277,val,1.403252,0.36326688600735435,gumbel_soft
38,1.3924277,test,1.399006,0.3581691772885284,gumbel_soft
39,1.3878,train,1.3840011,0.3657297590809065,gumbel_soft
39,1.3878,val,1.3976132,0.3615895748661377,gumbel_soft
39,1.3878,test,1.3870128,0.36964078794901506,gumbel_soft
40,1.3843234,train,1.3784319,0.3689091480666457,gumbel_soft
40,1.3843234,val,1.3912798,0.3577833688149152,gumbel_soft
40,1.3843234,test,1.3899876,0.37027809965237546,gumbel_soft
41,1.3794417,train,1.3736957,0.36933782972764423,gumbel_soft
41,1.3794417,val,1.3908542,0.3635249338752339,gumbel_soft
41,1.3794417,test,1.3780564,0.3686558516801854,gumbel_soft
42,1.3767831,train,1.3711675,0.3700665885513418,gumbel_soft
42,1.3767831,val,1.3884283,0.3639120056770531,gumbel_soft
42,1.3767831,test,1.3792044,0.3668018539976825,gumbel_soft
43,1.3710166,train,1.3618437,0.37296018976308193,gumbel_soft
43,1.3710166,val,1.376289,0.3642345655119025,gumbel_soft
43,1.3710166,test,1.3649591,0.3709154113557358,gumbel_soft
44,1.3681511,train,1.364089,0.3736389357263296,gumbel_soft
44,1.3681511,val,1.3772821,0.37229856138313655,gumbel_soft
44,1.3681511,test,1.3764635,0.3678447276940904,gumbel_soft
45,1.3646029,train,1.3573138,0.3757037523934726,gumbel_soft
45,1.3646029,val,1.3671237,0.37610476743435906,gumbel_soft
45,1.3646029,test,1.3731226,0.3767091541135574,gumbel_soft
46,1.3606173,train,1.354911,0.37775427967191566,gumbel_soft
