epoch,epoch_loss,split,loss,acc,sample_fn
0,2.4571533,train,2.2188165,0.20728901717584522,gumbel_soft
0,2.4571533,val,2.2505019,0.20185794464873233,gumbel_soft
0,2.4571533,test,2.224643,0.2059675550405562,gumbel_soft
1,2.0757258,train,1.9715493,0.2589665914092195,gumbel_soft
1,2.0757258,val,1.9822271,0.25708018837494356,gumbel_soft
1,2.0757258,test,1.9713482,0.2571842410196987,gumbel_soft
2,1.9397732,train,1.9187242,0.26716870052299163,gumbel_soft
2,1.9397732,val,1.9324883,0.2605638345913167,gumbel_soft
2,1.9397732,test,1.9257165,0.2661066048667439,gumbel_soft
3,1.9105914,train,1.8939979,0.2679689062901889,gumbel_soft
3,1.9105914,val,1.9064845,0.26353138507193086,gumbel_soft
3,1.9105914,test,1.9020997,0.2660486674391657,gumbel_soft
4,1.8825624,train,1.8619558,0.27046240461833043,gumbel_soft
4,1.8825624,val,1.8795747,0.2645635765434488,gumbel_soft
4,1.8825624,test,1.8757354,0.27219003476245657,gumbel_soft
5,1.8457043,train,1.8247494,0.27354176788317,gumbel_soft
5,1.8457043,val,1.8348043,0.26940197406618926,gumbel_soft
5,1.8457043,test,1.8349766,0.2720741599073001,gumbel_soft
6,1.8096757,train,1.7887455,0.2778357291875054,gumbel_soft
6,1.8096757,val,1.8004124,0.27198245274498417,gumbel_soft
6,1.8096757,test,1.7902426,0.2785631517960603,gumbel_soft
7,1.7772304,train,1.7603923,0.2842659541024835,gumbel_soft
7,1.7772304,val,1.7759982,0.27830462550803176,gumbel_soft
7,1.7772304,test,1.7711772,0.2816917728852839,gumbel_soft
8,1.7499423,train,1.7367395,0.28988882855591436,gumbel_soft
8,1.7499423,val,1.7515069,0.28565898974259724,gumbel_soft
8,1.7499423,test,1.7432861,0.2901506373117034,gumbel_soft
9,1.7278366,train,1.71413,0.2971621274041896,gumbel_soft
9,1.7278366,val,1.7277267,0.28927165989291015,gumbel_soft
9,1.7278366,test,1.7209877,0.2954808806488992,gumbel_soft
10,1.7057594,train,1.6933835,0.30204195364522307,gumbel_soft
10,1.7057594,val,1.7028133,0.299980646409909,gumbel_soft
10,1.7057594,test,1.7025054,0.29762456546929317,gumbel_soft
11,1.6843728,train,1.6705563,0.30984395987539654,gumbel_soft
11,1.6843728,val,1.6829516,0.30714147474356496,gumbel_soft
11,1.6843728,test,1.6813821,0.30573580533024336,gumbel_soft
12,1.6622205,train,1.6484461,0.31489525878082936,gumbel_soft
12,1.6622205,val,1.6583899,0.3107541448938778,gumbel_soft
