epoch,epoch_loss,split,loss,acc,sample_fn
0,2.4692717,train,1.5629238,0.28908467554261963,gumbel_soft
0,2.4692717,val,1.579095,0.28725701943844495,gumbel_soft
0,2.4692717,test,1.5585272,0.28569113595851564,gumbel_soft
1,1.4658612,train,1.413694,0.37130195939612054,gumbel_soft
1,1.4658612,val,1.417617,0.3685715953534528,gumbel_soft
1,1.4658612,test,1.4085156,0.3721168908334684,gumbel_soft
2,1.3991317,train,1.3924409,0.37778520718204883,gumbel_soft
2,1.3991317,val,1.4064225,0.371840523028428,gumbel_soft
2,1.3991317,test,1.3814313,0.3847026413871334,gumbel_soft
3,1.3900853,train,1.3868387,0.38049912485987925,gumbel_soft
3,1.3900853,val,1.4003766,0.3720740178623548,gumbel_soft
3,1.3900853,test,1.3781439,0.3843785448063523,gumbel_soft
4,1.3862664,train,1.3828571,0.3817380872780192,gumbel_soft
4,1.3862664,val,1.396977,0.37756114645963457,gumbel_soft
4,1.3862664,test,1.375711,0.38313617458002486,gumbel_soft
5,1.3815285,train,1.3781558,0.38415045854720187,gumbel_soft
5,1.3815285,val,1.3889246,0.3797793473819392,gumbel_soft
5,1.3815285,test,1.3747491,0.3853508345486955,gumbel_soft
6,1.3771566,train,1.3748693,0.38395379784590977,gumbel_soft
6,1.3771566,val,1.386396,0.3781448835444516,gumbel_soft
6,1.3771566,test,1.3664119,0.3884837681629125,gumbel_soft
7,1.3706778,train,1.3666209,0.3870544815696146,gumbel_soft
7,1.3706778,val,1.3807678,0.37913723658864046,gumbel_soft
7,1.3706778,test,1.3572556,0.3884837681629125,gumbel_soft
8,1.3643469,train,1.3587838,0.38980773138770347,gumbel_soft
8,1.3643469,val,1.3713824,0.38625882902340786,gumbel_soft
8,1.3643469,test,1.3495665,0.39156268568033276,gumbel_soft
9,1.3560957,train,1.3517985,0.39180055982746304,gumbel_soft
9,1.3560957,val,1.3680758,0.38141381121942675,gumbel_soft
9,1.3560957,test,1.3427993,0.3924269432290823,gumbel_soft
10,1.3464682,train,1.3412122,0.3945079221485837,gumbel_soft
10,1.3464682,val,1.3546474,0.3888272721966026,gumbel_soft
10,1.3464682,test,1.3336107,0.3939393939393939,gumbel_soft
11,1.3352456,train,1.326684,0.3993195539735295,gumbel_soft
11,1.3352456,val,1.3393538,0.3943144007938824,gumbel_soft
11,1.3352456,test,1.3224884,0.4003132933614217,gumbel_soft
12,1.3226861,train,1.3152045,0.40488505182009477,gumbel_soft
12,1.3226861,val,1.3286095,0.39851730780456485,gumbel_soft
12,1.3226861,test,1.3058125,0.405444822557122,gumbel_soft
13,1.3059763,train,1.2975732,0.4114076317462815,gumbel_soft
13,1.3059763,val,1.3145474,0.4057556476562956,gumbel_soft
13,1.3059763,test,1.287511,0.41462755901258574,gumbel_soft
14,1.2888812,train,1.2797209,0.4172681206447849,gumbel_soft
14,1.2888812,val,1.2963202,0.4101336757924231,gumbel_soft
14,1.2888812,test,1.2741189,0.41857073407875545,gumbel_soft
15,1.2731631,train,1.2660531,0.42320727382380513,gumbel_soft
15,1.2731631,val,1.283345,0.415795925515148,gumbel_soft
15,1.2731631,test,1.2581626,0.42521471398476746,gumbel_soft
16,1.2596368,train,1.2526821,0.42871377345998285,gumbel_soft
16,1.2596368,val,1.2695019,0.42303426536687877,gumbel_soft
16,1.2596368,test,1.2441438,0.43266893534273215,gumbel_soft
17,1.2478074,train,1.2404671,0.4357148944259802,gumbel_soft
17,1.2478074,val,1.2566354,0.4314400793882435,gumbel_soft
17,1.2478074,test,1.2332112,0.43515367579538705,gumbel_soft
18,1.2353656,train,1.2283556,0.44055274767776487,gumbel_soft
18,1.2353656,val,1.2430922,0.43453388593777365,gumbel_soft
18,1.2353656,test,1.2260039,0.4400151245071031,gumbel_soft
19,1.2234554,train,1.2172437,0.4435354349806945,gumbel_soft
19,1.2234554,val,1.2350925,0.4367520868600782,gumbel_soft
