feature,value,0,1,2,3,4
attn_0_0_outputs,0,1.1294187,-0.4862119,-0.05616761,-0.3577436,-0.389647
attn_0_0_outputs,1,-0.18716633,0.91640973,-0.06391167,-0.3342918,-0.20690002
attn_0_0_outputs,2,-0.15903065,-0.52388084,1.380064,-0.44801608,-0.45060608
attn_0_0_outputs,3,-0.09513469,-0.2398774,-0.02806073,1.1452941,-0.2001974
attn_0_0_outputs,4,-0.496011,-0.545495,-0.40267706,-0.6370218,0.8756989
attn_0_0_outputs,</s>,-0.19615002,-0.51631385,0.14554223,-0.6474478,-0.11416732
attn_0_0_outputs,<pad>,0.3049292,0.120273195,0.38307908,0.39807987,0.33379504
attn_0_0_outputs,<s>,0.104359135,-0.12462319,0.26698184,-0.26772895,0.08044681
attn_0_0_outputs,_,0.2188739,0.5512845,0.5819948,-0.013066371,0.6474728
attn_0_0_outputs,_,-0.25166065,-0.045566622,-0.19727653,0.040773045,0.11107761
attn_0_0_outputs,_,-0.18115442,-0.019094968,0.64006865,-0.5223154,-0.015885675
attn_0_0_outputs,_,0.27361527,0.031486113,0.3188376,0.4197933,0.2414498
attn_0_0_outputs,_,0.0736368,-0.3696055,0.5799591,1.0530175,0.11398032
attn_0_0_outputs,_,-0.19941276,-1.2640058,-0.905047,1.7281859,-0.65264314
attn_0_0_outputs,_,0.35081387,-0.71660155,0.17825775,1.3375171,-0.64865434
attn_0_0_outputs,_,0.10648614,0.05997983,-0.3043216,0.052197695,-0.22515494
attn_0_1_outputs,0,0.16386026,0.12241404,-0.30171436,-0.26593578,-0.2187755
attn_0_1_outputs,1,-0.21746866,0.2826541,0.0007709352,-0.29153398,0.016657444
attn_0_1_outputs,2,-0.28128418,0.27578363,0.37839407,-0.2062351,-0.1286723
attn_0_1_outputs,3,-0.24491851,0.20560846,-0.027353225,0.003943663,-0.1974369
attn_0_1_outputs,4,-0.13131917,0.29351452,-0.076792575,-0.2669642,-0.081369445
attn_0_1_outputs,</s>,-0.5247359,0.33676973,-0.06614809,0.37348986,-0.702463
attn_0_1_outputs,<pad>,-0.24447808,0.20510598,-0.25717455,-0.38445592,0.2671336
attn_0_1_outputs,<s>,-0.38798133,0.006204117,0.034013245,-0.3906001,-0.26092413
attn_0_1_outputs,_,-0.33698428,0.36075193,-0.13692643,-0.272014,-0.24200693
attn_0_1_outputs,_,-0.32889256,0.17853351,0.59457994,0.21023867,0.13538602
attn_0_1_outputs,_,-0.47139916,0.021261958,-0.010631151,-0.10428845,-0.4109052
attn_0_1_outputs,_,-0.16628198,0.6146675,-0.2799407,-0.24449459,0.1719545
attn_0_1_outputs,_,-0.18317625,-0.103102654,0.4435249,0.0035356523,-0.35646445
attn_0_1_outputs,_,0.17491989,-0.22880757,0.02662651,0.71433896,-0.5885923
attn_0_1_outputs,_,-0.2597794,0.45343983,-0.31091276,0.12029971,0.24794467
attn_0_1_outputs,_,-0.03761559,0.30020815,-0.43965444,-0.25112545,-0.11609127
attn_0_2_outputs,0,0.8949938,0.40453893,0.20500372,0.26848954,0.29066733
attn_0_2_outputs,1,-0.07798064,0.61474746,-0.3805178,-0.24879682,-0.44152987
attn_0_2_outputs,2,0.038577713,-0.08406456,0.34807646,-0.25943297,-0.28954738
attn_0_2_outputs,3,0.20745775,0.24329412,-0.09505354,0.46716863,-0.00034175708
attn_0_2_outputs,4,-0.17890379,-0.2537643,-0.56269556,-0.3648073,0.5858538
attn_0_2_outputs,</s>,0.5170773,0.3389357,-0.63139194,0.19824521,-0.28015128
attn_0_2_outputs,<pad>,0.0983354,-0.1874595,-0.522169,0.031653434,-0.0069422387
attn_0_2_outputs,<s>,0.22550069,0.29032648,-0.24697097,0.029860262,0.085947976
attn_0_2_outputs,_,-0.14188115,0.2839081,0.12699895,-0.05273102,0.09425553
attn_0_2_outputs,_,0.014889367,0.1512535,-0.17446777,0.17681463,-0.1370014
attn_0_2_outputs,_,0.29380614,0.6041609,-0.23580241,-0.056015797,-0.053177822
attn_0_2_outputs,_,-0.09591864,0.46124575,0.37777132,0.023823693,0.46732366
attn_0_2_outputs,_,0.1840863,0.0037218814,-0.08416071,0.13024554,0.3623659
attn_0_2_outputs,_,0.23901452,-0.24288465,-0.3330503,0.7951661,-0.3410313
attn_0_2_outputs,_,0.4038764,-0.011994908,-0.607954,0.22924653,-0.5174605
attn_0_2_outputs,_,0.15771821,0.6000234,0.38601688,0.5839713,0.3762341
attn_0_3_outputs,0,0.42174223,-0.5136678,1.0273374,-1.0677273,0.8625556
attn_0_3_outputs,1,-0.8302034,0.5484564,0.86930466,-1.2571288,0.6453235
attn_0_3_outputs,2,-0.699359,-0.54134554,2.0077121,-1.2197379,0.60159636
attn_0_3_outputs,3,-0.8771453,-0.7480817,0.6888932,-0.25999105,0.4661453
attn_0_3_outputs,4,-0.9131161,-0.7610403,0.61596483,-1.3932871,1.533022
attn_0_3_outputs,</s>,3.2342646,2.0542388,-6.226174,8.09209,-8.857503
attn_0_3_outputs,<pad>,0.1588583,0.21799454,-0.27001587,0.6405012,-0.32079545
attn_0_3_outputs,<s>,-0.45162386,-0.29289028,0.7110736,-0.744787,0.61808676
attn_0_3_outputs,_,0.019147437,0.23746277,0.43475226,0.14284359,-0.003699773
attn_0_3_outputs,_,-0.48088375,-0.14273559,-0.1623559,-0.30022803,-0.29325718
attn_0_3_outputs,_,-0.18329018,0.045476865,0.40529153,0.1952842,-0.44338453
attn_0_3_outputs,_,-0.019318458,0.14600173,0.22922863,0.17424423,-0.2564974
attn_0_3_outputs,_,0.14365415,0.20151056,-0.046557214,0.60596263,0.23593587
attn_0_3_outputs,_,0.19784407,-0.23810758,-0.17761716,1.0254296,-0.5678588
attn_0_3_outputs,_,0.41094494,-0.04686125,0.36285317,1.8909224,0.79598415
attn_0_3_outputs,_,0.0625585,0.31190324,-0.18228412,-0.13973008,-0.39143342
attn_1_0_outputs,0,2.788773,-0.3216396,-2.8200343,1.0462365,-0.96452594
attn_1_0_outputs,1,-0.87271845,0.11137213,1.118469,0.054052956,0.31898654
attn_1_0_outputs,2,-0.7224626,0.81790125,1.0087467,0.35354176,0.38991553
attn_1_0_outputs,3,3.652861,0.16655312,-2.5945966,0.93594366,-0.52502954
attn_1_0_outputs,4,-1.0256193,0.5251087,1.1165365,-0.0046822983,-0.38318887
attn_1_0_outputs,</s>,0.4795604,-0.5571309,-1.3562055,-1.1744847,1.2864199
attn_1_0_outputs,<pad>,-0.17438154,0.46265048,-0.52632457,-0.24692833,-0.097270675
attn_1_0_outputs,<s>,-1.0335919,0.35302952,1.0136087,-0.1387173,-0.07638254
attn_1_0_outputs,_,0.6358034,-0.52441365,-0.3751203,-0.096087486,-0.7751184
