epoch,epoch_loss,split,loss,acc,sample_fn
0,2.3689692,train,1.9012686,0.3499114057900603,gumbel_soft
0,2.3689692,val,1.9006177,0.35359009096187344,gumbel_soft
0,2.3689692,test,1.8973842,0.35353418308227114,gumbel_soft
1,1.6319994,train,1.3887116,0.4921122574376268,gumbel_soft
1,1.6319994,val,1.3423178,0.49945164828075606,gumbel_soft
1,1.6319994,test,1.3839825,0.494090382387022,gumbel_soft
2,1.237522,train,1.122974,0.563837844017033,gumbel_soft
2,1.237522,val,1.1596816,0.5533836526675698,gumbel_soft
2,1.237522,test,1.1249698,0.5623406720741599,gumbel_soft
3,1.0394876,train,0.9564697,0.6309408133520048,gumbel_soft
3,1.0394876,val,0.97973156,0.6278949745177731,gumbel_soft
3,1.0394876,test,0.9416171,0.6385863267670916,gumbel_soft
4,0.8992356,train,0.82155585,0.6853405161327198,gumbel_soft
4,0.8992356,val,0.811895,0.6969872911425069,gumbel_soft
4,0.8992356,test,0.83608747,0.6869640787949015,gumbel_soft
5,0.7677513,train,0.6996461,0.7328098653939584,gumbel_soft
5,0.7677513,val,0.7174786,0.7220179343268176,gumbel_soft
5,0.7677513,test,0.7108794,0.7261297798377752,gumbel_soft
6,0.66644853,train,0.6080494,0.7707267583092795,gumbel_soft
6,0.66644853,val,0.6238961,0.7651764402296626,gumbel_soft
6,0.66644853,test,0.5952154,0.7791425260718424,gumbel_soft
7,0.5848706,train,0.5672983,0.7775785201909062,gumbel_soft
7,0.5848706,val,0.5605494,0.786271853428811,gumbel_soft
7,0.5848706,test,0.5791145,0.7808806488991888,gumbel_soft
8,0.52745104,train,0.5048305,0.8060715612586093,gumbel_soft
8,0.52745104,val,0.51736444,0.7988516869879363,gumbel_soft
8,0.52745104,test,0.49190882,0.8170915411355736,gumbel_soft
9,0.47181562,train,0.45123726,0.8313066217027235,gumbel_soft
9,0.47181562,val,0.47475085,0.8255596413134636,gumbel_soft
9,0.47181562,test,0.43232003,0.8422943221320973,gumbel_soft
10,0.4327985,train,0.41873112,0.8444314252236289,gumbel_soft
10,0.4327985,val,0.40530646,0.8468485904135217,gumbel_soft
10,0.4327985,test,0.41108027,0.8417728852838934,gumbel_soft
11,0.4249738,train,0.3890708,0.8571489811665857,gumbel_soft
11,0.4249738,val,0.38909844,0.8585252564350687,gumbel_soft
11,0.4249738,test,0.3857087,0.8657010428736964,gumbel_soft
12,0.39278135,train,0.36778787,0.8653510902803578,gumbel_soft
12,0.39278135,val,0.37859467,0.8671053480420619,gumbel_soft
12,0.39278135,test,0.39319775,0.8556778679026651,gumbel_soft
13,0.3625973,train,0.37979808,0.849718499042611,gumbel_soft
13,0.3625973,val,0.36047798,0.8596864718405264,gumbel_soft
13,0.3625973,test,0.3442207,0.8736964078794901,gumbel_soft
14,0.3569814,train,0.33490485,0.8784616044125633,gumbel_soft
14,0.3569814,val,0.3345697,0.8814270047093736,gumbel_soft
14,0.3569814,test,0.33746442,0.8799536500579375,gumbel_soft
15,0.32960376,train,0.32355145,0.8821839901689006,gumbel_soft
15,0.32960376,val,0.30260295,0.8938133023675892,gumbel_soft
15,0.32960376,test,0.33327392,0.8788528389339514,gumbel_soft
16,0.31862223,train,0.31548214,0.8796762024520591,gumbel_soft
16,0.31862223,val,0.32312283,0.8826527320818012,gumbel_soft
16,0.31862223,test,0.3350058,0.8669756662804171,gumbel_soft
17,0.30739173,train,0.2933204,0.8963376296762025,gumbel_soft
17,0.30739173,val,0.2972068,0.888845880910909,gumbel_soft
17,0.30739173,test,0.28507763,0.9015063731170336,gumbel_soft
18,0.3042871,train,0.2904937,0.8936655139893115,gumbel_soft
18,0.3042871,val,0.29820693,0.8855557705954454,gumbel_soft
18,0.3042871,test,0.28056464,0.8987253765932792,gumbel_soft
19,0.28637925,train,0.28044698,0.8962304592609528,gumbel_soft
19,0.28637925,val,0.27363208,0.9069092316624734,gumbel_soft
19,0.28637925,test,0.25625083,0.9094438006952491,gumbel_soft
20,0.28088212,train,0.29383922,0.8839130062015947,gumbel_soft
20,0.28088212,val,0.29078722,0.8876846655054512,gumbel_soft
20,0.28088212,test,0.28288037,0.8859212050984936,gumbel_soft
21,0.2701783,train,0.26104563,0.904146780600726,gumbel_soft
21,0.2701783,val,0.25953385,0.9038771692148894,gumbel_soft
21,0.2701783,test,0.25865838,0.9046929316338355,gumbel_soft
22,0.25259906,train,0.24751724,0.9126846903489468,gumbel_soft
22,0.25259906,val,0.22877377,0.9232952712728211,gumbel_soft
22,0.25259906,test,0.2361581,0.9206257242178447,gumbel_soft
23,0.25318167,train,0.24516915,0.9131848189534452,gumbel_soft
23,0.25318167,val,0.25154048,0.9158118831043158,gumbel_soft
23,0.25318167,test,0.24697725,0.9134994206257242,gumbel_soft
24,0.24420807,train,0.23610008,0.9158497899459861,gumbel_soft
24,0.24420807,val,0.27610627,0.9049093606864074,gumbel_soft
24,0.24420807,test,0.21669333,0.9290845886442642,gumbel_soft
25,0.23759606,train,0.22702788,0.9186290760481267,gumbel_soft
25,0.23759606,val,0.21227674,0.9299400038707181,gumbel_soft
25,0.23759606,test,0.2561651,0.907242178447277,gumbel_soft
26,0.23462996,train,0.22268486,0.9226158154954132,gumbel_soft
26,0.23462996,val,0.26016596,0.9034900974130701,gumbel_soft
26,0.23462996,test,0.24131578,0.9146581691772885,gumbel_soft
27,0.2237517,train,0.22514597,0.9210154039610186,gumbel_soft
27,0.2237517,val,0.21639574,0.9291658602670796,gumbel_soft
27,0.2237517,test,0.22267288,0.9176129779837775,gumbel_soft
28,0.21299031,train,0.23755991,0.9133062787573948,gumbel_soft
28,0.21299031,val,0.22124277,0.9161989549061351,gumbel_soft
28,0.21299031,test,0.22487585,0.9150057937427578,gumbel_soft
29,0.21281183,train,0.2101141,0.9255165614015033,gumbel_soft
29,0.21281183,val,0.2065176,0.9299400038707181,gumbel_soft
29,0.21281183,test,0.20742863,0.9275782155272306,gumbel_soft
30,0.21052001,train,0.2057691,0.9273456031550971,gumbel_soft
30,0.21052001,val,0.19095021,0.9342623056576995,gumbel_soft
30,0.21052001,test,0.21041332,0.9215527230590962,gumbel_soft
31,0.20798951,train,0.20528924,0.9273813266268469,gumbel_soft
31,0.20798951,val,0.18714666,0.9391652151474098,gumbel_soft
31,0.20798951,test,0.19717145,0.927694090382387,gumbel_soft
32,0.2069194,train,0.20190367,0.9287602526363922,gumbel_soft
32,0.2069194,val,0.20124775,0.930456099606477,gumbel_soft
32,0.2069194,test,0.19953473,0.9309385863267671,gumbel_soft
33,0.20214997,train,0.19811967,0.9309893972735847,gumbel_soft
33,0.20214997,val,0.20631388,0.9256822140507064,gumbel_soft
33,0.20214997,test,0.18896636,0.9387601390498261,gumbel_soft
34,0.1951667,train,0.19638263,0.9293389728787402,gumbel_soft
34,0.1951667,val,0.18905033,0.9371008322043739,gumbel_soft
34,0.1951667,test,0.19335978,0.9296060254924682,gumbel_soft
35,0.19338864,train,0.19693057,0.9296033265696894,gumbel_soft
35,0.19338864,val,0.17668973,0.9394877749822592,gumbel_soft
35,0.19338864,test,0.18285581,0.9369061413673233,gumbel_soft
36,0.19787908,train,0.19383262,0.9303035066159869,gumbel_soft
36,0.19787908,val,0.18603992,0.9383910715437713,gumbel_soft
36,0.19787908,test,0.18606624,0.933314020857474,gumbel_soft
37,0.1958164,train,0.1860638,0.9328898859706781,gumbel_soft
37,0.1958164,val,0.19756293,0.9299400038707181,gumbel_soft
37,0.1958164,test,0.18149918,0.9402665121668597,gumbel_soft
38,0.19280006,train,0.19048183,0.9296819182075391,gumbel_soft
38,0.19280006,val,0.19000442,0.9337462099219406,gumbel_soft
38,0.19280006,test,0.18969904,0.9325608342989571,gumbel_soft
39,0.18814668,train,0.18849976,0.9331971078277271,gumbel_soft
39,0.18814668,val,0.1947211,0.9307141474743565,gumbel_soft
39,0.18814668,test,0.17729522,0.9372537659327926,gumbel_soft
40,0.18582484,train,0.18374859,0.9345474550598726,gumbel_soft
40,0.18582484,val,0.16923045,0.9431004451325721,gumbel_soft
40,0.18582484,test,0.20071183,0.9289107763615295,gumbel_soft
41,0.18554366,train,0.18570292,0.9338901431796748,gumbel_soft
41,0.18554366,val,0.1734361,0.9401328946519579,gumbel_soft
41,0.18554366,test,0.18004075,0.9377752027809966,gumbel_soft
42,0.18537332,train,0.19005877,0.9295104455431397,gumbel_soft
42,0.18537332,val,0.22119579,0.9095542223082381,gumbel_soft
42,0.18537332,test,0.17411993,0.9384125144843569,gumbel_soft
43,0.1941796,train,0.18735825,0.9335114743791261,gumbel_soft
43,0.1941796,val,0.1868754,0.9367782723695246,gumbel_soft
43,0.1941796,test,0.15985464,0.9455967555040556,gumbel_soft
44,0.1921209,train,0.20315441,0.9254236803749536,gumbel_soft
44,0.1921209,val,0.17921259,0.9399393587510483,gumbel_soft
44,0.1921209,test,0.20105524,0.923406720741599,gumbel_soft
45,0.19047208,train,0.1912073,0.931453802406333,gumbel_soft
45,0.19047208,val,0.18143678,0.9345848654925488,gumbel_soft
45,0.19047208,test,0.1822446,0.9303592120509849,gumbel_soft
46,0.1947022,train,0.18707992,0.9317324454859821,gumbel_soft
46,0.1947022,val,0.19057083,0.9303270756725373,gumbel_soft
46,0.1947022,test,0.19649744,0.9292584009269989,gumbel_soft
47,0.18760842,train,0.19260909,0.9282172558657941,gumbel_soft
47,0.18760842,val,0.17536238,0.9348429133604284,gumbel_soft
47,0.18760842,test,0.17151871,0.9369640787949015,gumbel_soft
48,0.18776916,train,0.19211029,0.9286459375267926,gumbel_soft
48,0.18776916,val,0.18386199,0.9312947551770854,gumbel_soft
48,0.18776916,test,0.17739339,0.9355735805330243,gumbel_soft
49,0.1906944,train,0.18578863,0.9306393072504359,gumbel_soft
49,0.1906944,val,0.17057997,0.9372943681052835,gumbel_soft
49,0.1906944,test,0.17601526,0.9401506373117033,gumbel_soft
50,0.18879214,train,0.18929419,0.9299034037323883,gumbel_soft
50,0.18879214,val,0.17934763,0.93400425778982,gumbel_soft
50,0.18879214,test,0.18048592,0.9314020857473928,gumbel_soft
51,0.18811466,train,0.18327466,0.931189448715384,gumbel_soft
