epoch,epoch_loss,split,loss,acc,sample_fn
0,2.345927,train,1.8790061,0.3586565116744306,gumbel_soft
0,2.345927,val,1.8777976,0.3633959099412941,gumbel_soft
0,2.345927,test,1.867796,0.3600231749710313,gumbel_soft
1,1.633212,train,1.4135405,0.4754436855191335,gumbel_soft
1,1.633212,val,1.3725322,0.4824204890007096,gumbel_soft
1,1.633212,test,1.411135,0.4713209733487833,gumbel_soft
2,1.2759857,train,1.1483533,0.5503057929181789,gumbel_soft
2,1.2759857,val,1.1741661,0.5469969679375524,gumbel_soft
2,1.2759857,test,1.1487669,0.5527230590961761,gumbel_soft
3,1.0884818,train,0.9910241,0.6134934697493641,gumbel_soft
3,1.0884818,val,0.99137276,0.6168634281659248,gumbel_soft
3,1.0884818,test,0.98634034,0.6108342989571263,gumbel_soft
4,0.95366293,train,0.8735505,0.6596196164728073,gumbel_soft
4,0.95366293,val,0.8662247,0.6651183794593897,gumbel_soft
4,0.95366293,test,0.8759337,0.6687137891077636,gumbel_soft
5,0.8441347,train,0.79012525,0.6927424194792947,gumbel_soft
5,0.8441347,val,0.8066855,0.6830527062770144,gumbel_soft
5,0.8441347,test,0.7821758,0.7006373117033604,gumbel_soft
6,0.75455284,train,0.70916957,0.7285016147009231,gumbel_soft
6,0.75455284,val,0.7726934,0.6926649893555255,gumbel_soft
6,0.75455284,test,0.71096075,0.7265353418308227,gumbel_soft
7,0.6869152,train,0.6449576,0.7474922122831585,gumbel_soft
7,0.6869152,val,0.64794147,0.7524675827365976,gumbel_soft
7,0.6869152,test,0.6553656,0.7457126303592121,gumbel_soft
8,0.6247659,train,0.5842336,0.7775142179417565,gumbel_soft
8,0.6247659,val,0.5725999,0.7790465131281853,gumbel_soft
8,0.6247659,test,0.5575292,0.7960023174971032,gumbel_soft
9,0.56272185,train,0.5466895,0.7878383012774713,gumbel_soft
9,0.56272185,val,0.5320392,0.7987871750209664,gumbel_soft
9,0.56272185,test,0.55042714,0.7863267670915411,gumbel_soft
10,0.5191881,train,0.49752167,0.8076005258495041,gumbel_soft
10,0.5191881,val,0.48155656,0.8189149087155667,gumbel_soft
10,0.5191881,test,0.47094995,0.8221900347624566,gumbel_soft
11,0.4796148,train,0.45492026,0.8301563259123774,gumbel_soft
11,0.4796148,val,0.46221375,0.8270434165537707,gumbel_soft
11,0.4796148,test,0.45019132,0.8388180764774044,gumbel_soft
12,0.4507119,train,0.43759295,0.8390514703780972,gumbel_soft
12,0.4507119,val,0.4570096,0.839623250112896,gumbel_soft
12,0.4507119,test,0.44098765,0.8399188876013906,gumbel_soft
13,0.4400321,train,0.44968992,0.8151667571661284,gumbel_soft
13,0.4400321,val,0.4287031,0.8352364363589446,gumbel_soft
13,0.4400321,test,0.40988168,0.8362108922363847,gumbel_soft
14,0.39516932,train,0.379048,0.8616572833014203,gumbel_soft
14,0.39516932,val,0.3877634,0.8620089026514418,gumbel_soft
14,0.39516932,test,0.36368555,0.877404403244496,gumbel_soft
15,0.36380813,train,0.35584164,0.8719384984710354,gumbel_soft
15,0.36380813,val,0.36126238,0.875620927682085,gumbel_soft
15,0.36380813,test,0.37952948,0.8650057937427578,gumbel_soft
16,0.3588798,train,0.34278965,0.8776971221171158,gumbel_soft
16,0.3588798,val,0.36974737,0.8701374104896459,gumbel_soft
16,0.3588798,test,0.34350055,0.8736964078794901,gumbel_soft
17,0.3374586,train,0.32639474,0.8844774370552427,gumbel_soft
17,0.3374586,val,0.3647799,0.8729114250693504,gumbel_soft
17,0.3374586,test,0.31085107,0.8946118192352259,gumbel_soft
18,0.32960275,train,0.31228402,0.8912934754651196,gumbel_soft
18,0.32960275,val,0.3071942,0.8907167279530352,gumbel_soft
18,0.32960275,test,0.29043335,0.9071263035921205,gumbel_soft
19,0.31662527,train,0.32856148,0.8744891543539768,gumbel_soft
19,0.31662527,val,0.32201883,0.884781626991807,gumbel_soft
19,0.31662527,test,0.37464416,0.8460602549246814,gumbel_soft
20,0.306476,train,0.29221708,0.896787745420251,gumbel_soft
20,0.306476,val,0.29403397,0.8929746467969808,gumbel_soft
20,0.306476,test,0.28904945,0.8931054461181923,gumbel_soft
21,0.29203692,train,0.28796273,0.8972664399416993,gumbel_soft
21,0.29203692,val,0.28565088,0.9005870588994258,gumbel_soft
21,0.29203692,test,0.2961683,0.8935110081112398,gumbel_soft
22,0.2835734,train,0.28083462,0.9009745363093367,gumbel_soft
22,0.2835734,val,0.2732756,0.9028449777433714,gumbel_soft
22,0.2835734,test,0.2879513,0.8974507531865585,gumbel_soft
23,0.27769428,train,0.26872024,0.9043325426538252,gumbel_soft
23,0.27769428,val,0.25518075,0.9100058060770273,gumbel_soft
23,0.27769428,test,0.28154084,0.8989571263035921,gumbel_soft
24,0.26877826,train,0.27942726,0.896466234174502,gumbel_soft
24,0.26877826,val,0.29218167,0.8971034126830527,gumbel_soft
24,0.26877826,test,0.2800525,0.8984936268829664,gumbel_soft
