epoch,epoch_loss,split,loss,acc,sample_fn
0,2.1272757,train,1.2733458,0.47912446655784774,gumbel_soft
0,2.1272757,val,1.2782685,0.4769715720039694,gumbel_soft
0,2.1272757,test,1.2715172,0.4839302112029385,gumbel_soft
1,1.05535,train,0.9047259,0.6344798652218661,gumbel_soft
1,1.05535,val,0.89134777,0.6404763294612107,gumbel_soft
1,1.05535,test,0.91023666,0.6373899422027764,gumbel_soft
2,0.7909947,train,0.7117332,0.7099647977344687,gumbel_soft
2,0.7909947,val,0.73893017,0.6987332905259471,gumbel_soft
2,0.7909947,test,0.7071849,0.7208448117539027,gumbel_soft
3,0.6324283,train,0.59486645,0.7558195179190675,gumbel_soft
3,0.6324283,val,0.6071151,0.7564648882143482,gumbel_soft
3,0.6324283,test,0.5898703,0.7622211419002863,gumbel_soft
4,0.51773065,train,0.5029699,0.7958858581289701,gumbel_soft
4,0.51773065,val,0.510904,0.7906135076761427,gumbel_soft
4,0.51773065,test,0.50827444,0.8005725706260466,gumbel_soft
5,0.44087595,train,0.4445029,0.8205536654277042,gumbel_soft
5,0.44087595,val,0.4451253,0.8214931994629618,gumbel_soft
5,0.44087595,test,0.44776314,0.8213687678928321,gumbel_soft
6,0.38506678,train,0.3941895,0.8386267838764446,gumbel_soft
6,0.38506678,val,0.42282885,0.8272138228941684,gumbel_soft
6,0.38506678,test,0.39365947,0.8394101442229784,gumbel_soft
7,0.33896822,train,0.35864094,0.8581814129415852,gumbel_soft
7,0.33896822,val,0.36041382,0.8546494658805673,gumbel_soft
7,0.33896822,test,0.3490861,0.8593420839410144,gumbel_soft
8,0.30493027,train,0.32417026,0.869554956832976,gumbel_soft
8,0.30493027,val,0.31236804,0.8740295370964918,gumbel_soft
8,0.30493027,test,0.31504685,0.8739804461729596,gumbel_soft
9,0.27262738,train,0.29590604,0.8812693792732732,gumbel_soft
9,0.27262738,val,0.29652685,0.8772400910629853,gumbel_soft
9,0.27262738,test,0.3003786,0.8808404904661589,gumbel_soft
10,0.2464993,train,0.2574395,0.9005486833566049,gumbel_soft
10,0.2464993,val,0.25055557,0.9040336232560855,gumbel_soft
10,0.2464993,test,0.26814967,0.8947766434397451,gumbel_soft
11,0.22457318,train,0.23617938,0.9106898201865654,gumbel_soft
11,0.22457318,val,0.24119274,0.9076527931819508,gumbel_soft
11,0.22457318,test,0.24571115,0.9081726354453628,gumbel_soft
12,0.20978324,train,0.21176809,0.9231777747186113,gumbel_soft
12,0.20978324,val,0.22515386,0.9145408907827914,gumbel_soft
12,0.20978324,test,0.20103927,0.9291308810025387,gumbel_soft
13,0.19215381,train,0.19451027,0.929503693943506,gumbel_soft
13,0.19215381,val,0.1987897,0.922596462553266,gumbel_soft
13,0.19215381,test,0.19869022,0.9284286717441798,gumbel_soft
14,0.17486177,train,0.1778868,0.9385828629864894,gumbel_soft
14,0.17486177,val,0.1705523,0.9428521393964159,gumbel_soft
14,0.17486177,test,0.17419513,0.9387457462323773,gumbel_soft
15,0.16001615,train,0.1569352,0.9462657410502993,gumbel_soft
15,0.16001615,val,0.17335737,0.9388243535111785,gumbel_soft
15,0.16001615,test,0.18002823,0.9383676335547994,gumbel_soft
16,0.14689271,train,0.15220794,0.9475505909654074,gumbel_soft
16,0.14689271,val,0.18167572,0.9332788512054171,gumbel_soft
16,0.14689271,test,0.15676077,0.9446335007832334,gumbel_soft
17,0.13706212,train,0.13947378,0.9526047709886133,gumbel_soft
17,0.13706212,val,0.1460357,0.9528340435467866,gumbel_soft
17,0.13706212,test,0.12896198,0.9586236698536164,gumbel_soft
18,0.12943193,train,0.12378062,0.960838299016041,gumbel_soft
18,0.12943193,val,0.15095669,0.94436985581694,gumbel_soft
18,0.12943193,test,0.11511927,0.9606762815318965,gumbel_soft
19,0.12041704,train,0.11977092,0.9624246953397969,gumbel_soft
19,0.12041704,val,0.11418823,0.9635164321989376,gumbel_soft
19,0.12041704,test,0.124213286,0.9597039917895532,gumbel_soft
20,0.111824475,train,0.11522215,0.9611332900679791,gumbel_soft
20,0.111824475,val,0.1398071,0.9504407214990368,gumbel_soft
20,0.111824475,test,0.113859214,0.963647166855723,gumbel_soft
21,0.11103068,train,0.10676918,0.9650402826669813,gumbel_soft
21,0.11103068,val,0.0955295,0.9723308621796742,gumbel_soft
21,0.11103068,test,0.11085495,0.9637551990493167,gumbel_soft
22,0.1113246,train,0.13091348,0.952244226369578,gumbel_soft
22,0.1113246,val,0.102974035,0.9671939758332847,gumbel_soft
22,0.1113246,test,0.10838283,0.9635931507589262,gumbel_soft
23,0.10861512,train,0.09704043,0.9693930395222456,gumbel_soft
23,0.10861512,val,0.091435894,0.9706963983421867,gumbel_soft
23,0.10861512,test,0.10206077,0.96678010046994,gumbel_soft
24,0.09878319,train,0.100509085,0.9676099824971975,gumbel_soft
24,0.09878319,val,0.10302731,0.9669604809993579,gumbel_soft
24,0.09878319,test,0.083661795,0.9763409496029817,gumbel_soft
25,0.09338395,train,0.09568457,0.9681016342504277,gumbel_soft
