feature,value,0,1,2,3,4
attn_0_0_outputs,0,-1.0740273,-0.593767,0.17743282,0.7461133,0.34585977
attn_0_0_outputs,1,-1.7069949,0.17168108,0.23238091,0.6071962,0.33218324
attn_0_0_outputs,2,-2.0483494,-1.2888482,-0.26502278,0.25672576,-0.079022646
attn_0_0_outputs,3,-1.307659,-0.55178374,0.4391096,1.5805742,1.0669372
attn_0_0_outputs,4,-2.017466,-1.2978898,-0.37558234,0.76155305,0.9017411
attn_0_0_outputs,</s>,-0.88554657,-0.2979263,0.37016922,1.0916667,0.88843364
attn_0_0_outputs,<pad>,-0.81643754,-0.5335536,-0.33398956,0.58098114,0.5044223
attn_0_0_outputs,<s>,-1.4522003,-0.67895097,0.08445548,0.82553065,0.08964536
attn_0_0_outputs,_,0.18556085,0.18924925,0.40960684,-0.032798797,-1.8957094
attn_0_0_outputs,_,0.37674522,0.09320568,-0.13353135,-0.18405947,-1.6340342
attn_0_0_outputs,_,0.27015802,0.115762204,0.31262043,0.589381,-0.78711194
attn_0_0_outputs,_,0.20951907,0.31659093,0.21379282,0.06983177,-1.4250478
attn_0_0_outputs,_,0.8815715,0.21215336,0.61477757,0.5740595,-1.0152016
attn_0_0_outputs,_,0.29591343,0.27117243,-0.010328446,0.15436232,-1.3328484
attn_0_0_outputs,_,0.459674,0.48539987,0.34204164,0.7016552,-1.2758366
attn_0_0_outputs,_,0.7579334,0.93209726,0.2337369,1.2052712,-1.3142269
attn_0_1_outputs,0,-1.0968151,-0.8876889,-0.07784272,0.64186823,0.7707134
attn_0_1_outputs,1,-1.4606509,-0.4110452,-0.013946423,0.31778774,0.5510646
attn_0_1_outputs,2,-1.5393426,-1.0724905,0.1316411,0.58128303,0.7656427
attn_0_1_outputs,3,-1.7458439,-1.3368462,-0.17050849,0.8255763,0.8578649
attn_0_1_outputs,4,-1.6715086,-1.2604854,-0.08356144,0.8610128,1.4753939
attn_0_1_outputs,</s>,-1.2078341,-1.0510019,-0.16951281,0.3908424,0.9823578
attn_0_1_outputs,<pad>,-0.5336435,-1.0370258,0.34555337,0.4968036,0.88113505
attn_0_1_outputs,<s>,-0.85701233,-0.55823916,0.34153077,0.8586828,1.2455508
attn_0_1_outputs,_,-0.016789246,-0.32993588,0.22199082,-0.7698496,-0.19908853
attn_0_1_outputs,_,0.49519813,-0.5967014,0.002237763,-1.1526634,-0.0042145737
attn_0_1_outputs,_,0.36288536,0.10350647,0.27889013,-0.9286103,-0.03877921
attn_0_1_outputs,_,0.11238951,0.32600376,-0.052318245,0.16278851,-0.10143671
attn_0_1_outputs,_,0.6504231,-0.33970684,-0.48436448,-0.47203544,-0.8404114
attn_0_1_outputs,_,0.9697493,0.19551902,0.2919973,-0.8220388,-0.2944134
attn_0_1_outputs,_,0.35881343,0.04727697,0.15885365,-0.10613679,-0.698658
attn_0_1_outputs,_,1.5971712,0.09378218,-0.1002738,1.215424,-0.5809696
attn_0_2_outputs,0,-0.8324853,-0.21035835,0.09701851,0.79879004,1.0068408
attn_0_2_outputs,1,-1.1795479,0.2284121,0.1009224,0.5589496,0.5275967
attn_0_2_outputs,2,-1.9004847,-0.7893135,-0.27972,0.46882677,0.61679435
attn_0_2_outputs,3,-1.9755305,-1.1810857,-0.5679661,0.9242323,0.8026281
attn_0_2_outputs,4,-1.8312125,-0.94422936,-0.3369728,0.8757727,1.434243
attn_0_2_outputs,</s>,-1.2817522,-0.5068594,0.006769062,0.48012143,0.95758003
attn_0_2_outputs,<pad>,-0.56385183,0.620474,-0.058633067,0.08386486,0.856049
attn_0_2_outputs,<s>,-0.7032477,0.6555156,1.3406465,-2.2470334,2.469252
attn_0_2_outputs,_,0.45019034,0.36675742,-0.042927586,0.26312196,0.18049484
attn_0_2_outputs,_,0.43399596,-0.021790538,-0.33181348,-0.23429748,-0.57231367
attn_0_2_outputs,_,1.0163232,0.66538924,-0.47314185,-0.70293856,-0.9071692
attn_0_2_outputs,_,0.54862416,0.8219918,0.52600974,-0.048045598,-0.20817222
attn_0_2_outputs,_,0.27607712,0.67058164,0.16472998,-0.8994009,-1.576009
attn_0_2_outputs,_,0.4998364,0.14661287,0.074866794,0.15647909,-1.0018928
attn_0_2_outputs,_,0.5167344,-0.21195105,0.793998,0.09413341,-0.64222014
attn_0_2_outputs,_,0.91659886,0.39747736,0.08029703,0.6392341,-0.7086384
attn_0_3_outputs,0,-1.6169275,-0.7947124,0.04757467,0.6234238,0.42909688
attn_0_3_outputs,1,-1.781255,0.07153197,0.53636646,0.68206453,0.44663003
attn_0_3_outputs,2,-1.9017016,-0.4360676,0.76924264,0.89645416,0.54772854
attn_0_3_outputs,3,-2.0250452,-0.80306643,0.28306735,1.1173631,0.6669374
attn_0_3_outputs,4,-1.931054,-0.71680313,0.39268535,1.197554,1.3273764
attn_0_3_outputs,</s>,-1.5969486,-0.676649,0.009852525,0.7189533,0.86260235
attn_0_3_outputs,<pad>,-0.24741997,0.42801896,0.26442087,-0.017898327,0.22837223
attn_0_3_outputs,<s>,-1.4827033,-0.4001122,0.3749417,1.0144242,0.84018505
attn_0_3_outputs,_,0.06599764,0.061724152,-0.32043663,0.053394265,0.016384982
attn_0_3_outputs,_,0.33341447,-0.4667316,-0.50857985,-0.17512713,-0.14026166
attn_0_3_outputs,_,0.26345468,-0.014556423,-0.81869614,-0.87717426,-0.8710428
attn_0_3_outputs,_,0.15826981,-0.006971397,-0.37071794,-0.09280159,-0.21728724
attn_0_3_outputs,_,0.3574933,0.43615782,-0.4250165,-0.976118,-1.343051
attn_0_3_outputs,_,0.47886252,0.70618933,-0.25152296,0.5120271,0.083461694
attn_0_3_outputs,_,0.14831284,0.08895519,0.84442455,-0.120311365,-0.5508772
attn_0_3_outputs,_,0.80661845,0.55459034,0.42393813,1.6533633,-0.25638184
attn_1_0_outputs,0,-0.6451467,-0.6153237,-0.5096921,0.2599651,0.43644398
attn_1_0_outputs,1,-1.2118,-0.6796065,-0.46896487,0.30415204,0.4671364
attn_1_0_outputs,2,-1.6790662,-1.1282438,-0.5600881,0.1288676,0.31800738
attn_1_0_outputs,3,-1.1247623,-0.53780586,0.010234353,1.1562498,1.1046151
attn_1_0_outputs,4,-1.2239687,-0.6093682,-0.05935803,1.0848128,1.7320671
attn_1_0_outputs,</s>,-1.203027,-0.6273414,-0.10511747,1.1909992,1.2809111
attn_1_0_outputs,<pad>,-0.50095665,-0.44981107,-0.054132186,-0.21719885,-0.35178632
attn_1_0_outputs,<s>,-0.5769569,-0.24475825,0.16857034,0.6627825,1.0491309
attn_1_0_outputs,_,0.604385,-0.6383921,-0.33251497,-0.1378715,0.6167456
attn_1_0_outputs,_,-0.86671865,-0.20963907,-0.07250058,0.26768473,1.2947431
attn_1_0_outputs,_,-0.35938138,-0.444115,-0.19887792,-0.2202799,0.10922088
attn_1_0_outputs,_,0.08974451,-0.7848497,-0.54634684,-0.106854506,0.63671386
attn_1_0_outputs,_,-0.20660141,-0.89213455,0.30270848,0.15045561,0.20667996
attn_1_0_outputs,_,0.09644648,0.19101013,-0.059820198,-0.367774,-0.48654085
attn_1_0_outputs,_,-0.38988486,-0.19861338,-0.1901919,0.16192958,0.009882116
attn_1_0_outputs,_,0.82093453,-0.054989744,0.96122855,1.3607216,0.39043048
attn_1_1_outputs,0,-1.1978359,-0.42093107,0.4839629,0.6759078,1.0124582
attn_1_1_outputs,1,-1.4522117,-0.9672028,0.27674818,0.45693356,0.795083
attn_1_1_outputs,2,-1.9502498,-0.92253274,0.45896953,0.58464307,0.7484159
attn_1_1_outputs,3,-1.7703948,-0.9330836,0.56574595,1.0217358,1.0805855
attn_1_1_outputs,4,-2.010779,-1.2045807,0.33344564,0.8250705,1.7867208
attn_1_1_outputs,</s>,-1.6384065,-0.9534209,0.26009473,0.48915935,0.7634097
attn_1_1_outputs,<pad>,-0.74728423,0.11331926,0.120676674,0.3300435,0.2735365
attn_1_1_outputs,<s>,-0.069536045,0.9499501,2.3200743,2.6761642,-5.745292
attn_1_1_outputs,_,0.25076035,0.23705004,0.03968476,-0.21470287,-0.49878302
attn_1_1_outputs,_,-0.102075234,-1.0206693,0.11299022,0.5802944,-0.3080454
attn_1_1_outputs,_,-0.3812058,0.36412114,0.2531508,0.27026674,-0.7783761
attn_1_1_outputs,_,0.21981384,-0.36414424,0.54158616,-0.21060088,-1.113214
attn_1_1_outputs,_,-0.4257273,-0.24371028,0.8221611,0.36361924,-0.7550407
attn_1_1_outputs,_,0.5986827,0.18311849,0.2704204,0.5333478,-0.3183041
attn_1_1_outputs,_,-0.38443905,-0.0723743,0.3093409,0.2626587,-0.39757305
attn_1_1_outputs,_,-0.20321663,0.140189,-0.03726982,0.38620904,-0.08586331
attn_1_2_outputs,0,-1.5297154,-0.85207456,-0.20225513,0.50792915,0.9663495
